"","mouse","treatment","genotype","count","area","areaSE","perimeter","perimeterSE","casp","caspSE","edu","eduSE","tunel","tunelSE","caspArea","caspAreaSE","eduArea","eduAreaSE","tunelArea","tunelAreaSE"
"1","AG51","NOUV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",102,34655.4509803922,3847.35455104842,850.104098039216,61.9364110462195,0.0800934702745098,0.00967516526273924,0.126898187382353,0.0101659962722768,0.00340882542156863,0.00173876442772366,0.0157871651568627,0.00148782574401636,0.0294876078235294,0.00231146660833086,0.00055258787254902,0.000232801885182808
"2","AG51","UV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",63,39332.746031746,5264.24043075882,958.778888888889,84.7756899249934,0.292977180349206,0.0360774602746245,0.010346380968254,0.00198015255819841,0.0503461713809524,0.0117443468441896,0.0629264633809524,0.00638034211131527,0.0031935756984127,0.000661625122865241,0.00953518225396825,0.00174288967538916
"3","AG54","NOUV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",164,44733.493902439,3246.48144311254,1057.56796341463,52.7880099986822,0.23625300654878,0.0138822870543637,0.23291485947561,0.0158473598424005,0.00220417073170732,0.000380059950534477,0.0521193626707317,0.00294036281640949,0.0625859272469512,0.00450185645762965,0.000487351695121951,8.86890773939805e-05
"4","AG54","UV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",138,38672.2101449275,2808.87804065826,1043.53098550725,53.4305772089258,0.47712884515942,0.0288749756694173,0.0200182850797101,0.00262964017871008,0.0304470886811594,0.00332131395648488,0.109589299094203,0.00557057059500749,0.00616901843188406,0.000889383461968637,0.00649123241304348,0.000603618634321086
"5","AG55","NOUV","italic(""Villin-cre, Bai1""^{
    ""–/–""
})",200,41476.39,2757.29848260947,951.86543,39.4237747030833,0.068108946445,0.0050943479834692,0.293926147355,0.0150838378278794,0.002248283425,0.000393466743716323,0.013367586825,0.0010093321227179,0.061637912905,0.00324510411795357,0.00038216024,5.12829544711125e-05
"6","AG55","UV","italic(""Villin-cre, Bai1""^{
    ""–/–""
})",128,47986.828125,3826.5720839956,1116.2823125,64.9252643260033,0.10454321646875,0.00834815357256686,0.0014352356796875,0.00026754074474456,0.01241026484375,0.003059516502723,0.0234905659453125,0.0019475219020703,0.0003853897,7.55899948477801e-05,0.002661857125,0.000598096650268825
"7","AG56","NOUV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",91,32447.3626373626,3515.18316147739,833.215054945055,51.4154889290786,0.0487163362307692,0.00587016194510685,0.105773110087912,0.00844276933404579,0.038456321010989,0.0146203646204495,0.00976335448351648,0.00104990376514677,0.0262497947802198,0.00218012705797874,0.00532689761538462,0.00149422011395228
"8","AG56","UV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",81,40929.5061728395,4911.1361643442,994.828864197531,80.7475102245596,0.14748362837037,0.0173674852800657,0.0181047475308642,0.0021387774265427,0.149175998777778,0.0403248996214689,0.0334724816419753,0.00358633103652347,0.00551613266666667,0.000737758996803647,0.0274561449876543,0.00620212985798613
"9","AG59","NOUV","italic(""Villin-cre, Bai1""^{
    ""–/–""
})",87,43977.3333333333,4458.9439005229,1056.69462068966,73.3011686411737,0.0161194857471264,0.00541097019205418,0.0479155510344828,0.00683565681629463,0.00032437267816092,0.000274899301151813,0.00209183451724138,0.000637781890370415,0.0069563853908046,0.00101251497673373,3.3046775862069e-05,2.59226351258762e-05
"10","AG59","UV","italic(""Villin-cre, Bai1""^{
    ""–/–""
})",66,43455.1212121212,5182.1951424481,1048.56178787879,75.6119346878727,0.0459863795454545,0.0089725372798143,0.000813916521212121,0.000485236570630129,0.00131344801515152,0.000625166515623216,0.00798183706060606,0.00133126894723166,0.000185750637878788,0.000118883199685698,0.000153690613636364,5.78895435475942e-05
"11","AG61","NOUV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",87,30325.1494252874,2830.03498733589,932.236965517241,49.9992610950252,0.0166838725517241,0.00561411365544449,0.011535881954023,0.00268133953158251,0.000196913195402299,5.70789425642841e-05,0.00186928895402299,0.000549657578673526,0.0014280910183908,0.000347194360972288,3.1536375862069e-05,1.08446959051495e-05
"12","AG61","UV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",73,39261.7534246575,5077.16424977278,984.166739726027,79.9948309734706,0.0281071917123288,0.00525069326923139,9.40728767123288e-05,4.91438235418567e-05,0.000707755726027397,0.000216774610733896,0.0046808951369863,0.000836290848935828,2.66458082191781e-05,1.56496121666079e-05,0.000122046193150685,4.30833460514133e-05
"13","AU1","NOUV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",54,73253.1851851852,7585.97289455118,1569.91214814815,131.136092043851,0.0899792368333333,0.0169125111681472,0.0148335803888889,0.00312589188282172,0.0162941637222222,0.00339092901448123,0.0230031698333333,0.0034316580750414,0.00428668935185185,0.000749528872293446,0.00369928855555556,0.000728162602345508
"14","AU1","UV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",50,59787.64,7487.88916419803,1433.1354,138.368674646313,0.21986600118,0.0296406609932434,0.00056484773,0.000174706634030493,0.02776943378,0.0112667670835772,0.06375220458,0.00796327515904281,0.000215485918,6.87264650529105e-05,0.0061247476,0.0019885638644577
"15","AU2","NOUV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",39,42769.1794871795,6447.49525353539,1055.11938461538,114.019623745128,0.104404532076923,0.0176493194027196,0.174497575076923,0.0224852687843422,0.0113341345128205,0.00417623195460944,0.0211633634102564,0.00263132142534566,0.0459058856410256,0.00660771894848158,0.00196126405128205,0.000630499630112808
"16","AU2","UV","""Control,"" ~ italic(""Bai1""^{
    ""+/+""
})",30,55667,9446.33000912943,1281.73146666667,157.567630739222,0.1228079889,0.0184709897111679,0.00497427906666667,0.00141624038110054,0.0643097217666667,0.032665499648816,0.0344491912,0.00387513033695842,0.0017736531,0.000525227841511672,0.0118208262,0.00385921319459956
