x,diff,lwr,upr,p adj
"Villin-CRE BAI1"^{ Delta/Delta }:NOUV-"Villin-CRE BAI1"^{ FL/FL }:NOUV,area,2620.77507852201,-12439.1549426964,17680.7050997405,0.964400422692928
"Villin-CRE BAI1"^{ FL/FL }:UV-"Villin-CRE BAI1"^{ FL/FL }:NOUV,area,7319.86828013598,-5333.00376520466,19972.7403254766,0.408688871563149
"Villin-CRE BAI1"^{ Delta/Delta }:UV-"Villin-CRE BAI1"^{ FL/FL }:NOUV,area,6636.79294090277,-8423.13708031569,21696.7229621212,0.632645516361606
"Villin-CRE BAI1"^{ FL/FL }:UV-"Villin-CRE BAI1"^{ Delta/Delta }:NOUV,area,4699.09320161397,-10360.8368196045,19759.0232228324,0.830884491266215
"Villin-CRE BAI1"^{ Delta/Delta }:UV-"Villin-CRE BAI1"^{ Delta/Delta }:NOUV,area,4016.01786238076,-13116.0518751679,21148.0875999294,0.919069789860232
"Villin-CRE BAI1"^{ Delta/Delta }:UV-"Villin-CRE BAI1"^{ FL/FL }:UV,area,-683.075339233212,-15743.0053604517,14376.8546819852,0.999313845821382
"Villin-CRE BAI1"^{ Delta/Delta }:NOUV-"Villin-CRE BAI1"^{ FL/FL }:NOUV,perimeter,94.8627141669855,-245.741728790339,435.467157124309,0.872818865498461
"Villin-CRE BAI1"^{ FL/FL }:UV-"Villin-CRE BAI1"^{ FL/FL }:NOUV,perimeter,170.53048781763,-115.634482985127,456.695458620387,0.382870369892055
"Villin-CRE BAI1"^{ Delta/Delta }:UV-"Villin-CRE BAI1"^{ FL/FL }:NOUV,perimeter,224.420065046219,-116.184377911105,565.024508003543,0.297046922421233
"Villin-CRE BAI1"^{ FL/FL }:UV-"Villin-CRE BAI1"^{ Delta/Delta }:NOUV,perimeter,75.6677736506447,-264.936669306679,416.272216607969,0.92998096647455
"Villin-CRE BAI1"^{ Delta/Delta }:UV-"Villin-CRE BAI1"^{ Delta/Delta }:NOUV,perimeter,129.557350879233,-257.911851264621,517.026553023088,0.800090611135362
"Villin-CRE BAI1"^{ Delta/Delta }:UV-"Villin-CRE BAI1"^{ FL/FL }:UV,perimeter,53.8895772285885,-286.714865728736,394.494020185912,0.972824582485329
"Villin-CRE BAI1"^{ Delta/Delta }:NOUV-"Villin-CRE BAI1"^{ FL/FL }:NOUV,casp,0.106560644343578,-0.151462809168169,0.364584097855325,0.678488946005709
"Villin-CRE BAI1"^{ FL/FL }:UV-"Villin-CRE BAI1"^{ FL/FL }:NOUV,casp,0.0762788713258702,-0.140504190572906,0.293061933224646,0.774601565422314
"Villin-CRE BAI1"^{ Delta/Delta }:UV-"Villin-CRE BAI1"^{ FL/FL }:NOUV,casp,0.144038051309422,-0.113985402202325,0.402061504821169,0.439763435844746
"Villin-CRE BAI1"^{ FL/FL }:UV-"Villin-CRE BAI1"^{ Delta/Delta }:NOUV,casp,-0.0302817730177081,-0.288305226529455,0.227741680494039,0.98852797187102
"Villin-CRE BAI1"^{ Delta/Delta }:UV-"Villin-CRE BAI1"^{ Delta/Delta }:NOUV,casp,0.0374774069658437,-0.256048246424194,0.331003060355882,0.985339833902449
