x,diff,lwr,upr,p adj
zVAD:NOUV-DMSO:NOUV,area,-1157.96018876592,-34895.0822228684,32579.1618453366,0.998863404522307
DMSO:UV-DMSO:NOUV,area,24373.1494472789,-9363.97258682355,58110.2714813814,0.131352126273685
zVAD:UV-DMSO:NOUV,area,10078.8167091837,-23658.3053249188,43815.9387432862,0.649980984230609
DMSO:UV-zVAD:NOUV,area,25531.1096360449,-8206.01239805762,59268.2316701473,0.115638747338866
zVAD:UV-zVAD:NOUV,area,11236.7768979496,-22500.3451361529,44973.8989320521,0.580815189078682
zVAD:UV-DMSO:UV,area,-14294.3327380952,-48031.4547721977,19442.7892960072,0.418143626667454
zVAD:NOUV-DMSO:NOUV,perimeter,-91.5685808987755,-565.035188221443,381.898026423892,0.857217821100019
DMSO:UV-DMSO:NOUV,perimeter,475.091339285715,1.62473196304757,948.557946608383,0.0494528726147505
zVAD:UV-DMSO:NOUV,perimeter,280.715020238096,-192.751587084572,754.181627560763,0.215952332777321
DMSO:UV-zVAD:NOUV,perimeter,566.659920184491,93.1933128618231,1040.12652750716,0.0275506638024394
zVAD:UV-zVAD:NOUV,perimeter,372.283601136871,-101.183006185796,845.750208459539,0.103810992542784
zVAD:UV-DMSO:UV,perimeter,-194.376319047619,-667.842926370287,279.090288275048,0.439471174153137
zVAD:NOUV-DMSO:NOUV,casp,-0.0654461254954881,-0.726082485953535,0.595190234962559,0.975045866260735
DMSO:UV-DMSO:NOUV,casp,0.702196454078869,0.0415600936208227,1.36283281453692,0.0410118563231304
zVAD:UV-DMSO:NOUV,casp,0.327587183297024,-0.333049177161023,0.988223543755071,0.316201992254798
DMSO:UV-zVAD:NOUV,casp,0.767642579574357,0.107006219116311,1.4282789400324,0.0304639964170597
zVAD:UV-zVAD:NOUV,casp,0.393033308792512,-0.267603051665534,1.05366966925056,0.21423677171005
zVAD:UV-DMSO:UV,casp,-0.374609270781845,-1.03524563123989,0.286027089676201,0.238996592946826
zVAD:NOUV-DMSO:NOUV,edu,0.0803346082668766,-0.0644826561852114,0.225151872718965,0.250851877414882
DMSO:UV-DMSO:NOUV,edu,-0.07093834778125,-0.215755612233338,0.073878916670838,0.323748993983165
zVAD:UV-DMSO:NOUV,edu,-0.0714859227559524,-0.21630318720804,0.0733313416961356,0.318988171600877
DMSO:UV-zVAD:NOUV,edu,-0.151272956048127,-0.296090220500215,-0.00645569159603857,0.0434162614970928
zVAD:UV-zVAD:NOUV,edu,-0.151820531022829,-0.296637795474917,-0.00700326657074096,0.0429068262459618
zVAD:UV-DMSO:UV,edu,-0.000547574974702394,-0.14536483942679,0.144269689477386,0.999998461152624
zVAD:NOUV-DMSO:NOUV,tunel,0.00354158306360806,-0.116670527859023,0.123753693986239,0.999278805596002
DMSO:UV-DMSO:NOUV,tunel,0.119283490548895,-0.000928620373736644,0.239495601471526,0.0512581439120551
zVAD:UV-DMSO:NOUV,tunel,0.0211207427325256,-0.0990913681901057,0.141332853655157,0.886467750909478
DMSO:UV-zVAD:NOUV,tunel,0.115741907485287,-0.00447020343734471,0.235954018407918,0.0564136596216623
zVAD:UV-zVAD:NOUV,tunel,0.0175791596689175,-0.102632951253714,0.137791270591549,0.928448524922994
zVAD:UV-DMSO:UV,tunel,-0.098162747816369,-0.218374858739,0.0220493631062622,0.0930937447194612
zVAD:NOUV-DMSO:NOUV,count,-5.49999999999999,-35.6559423939278,24.6559423939278,0.875735463459385
DMSO:UV-DMSO:NOUV,count,-27,-57.1559423939278,3.15594239392785,0.0707092421455788
zVAD:UV-DMSO:NOUV,count,-20,-50.1559423939278,10.1559423939278,0.164406382414469
DMSO:UV-zVAD:NOUV,count,-21.5,-51.6559423939278,8.65594239392783,0.13610709327522
zVAD:UV-zVAD:NOUV,count,-14.5,-44.6559423939278,15.6559423939278,0.335367744988607
zVAD:UV-DMSO:UV,count,7,-23.1559423939278,37.1559423939278,0.785405578265611
