x,diff,lwr,upr,p adj
zVAD:NOUV-DMSO:NOUV,area,-1157.96018876594,-31040.7136098828,28724.7932323509,0.999988269205705
QVD:NOUV-DMSO:NOUV,area,-11074.8824184847,-38353.9793003353,16204.214463366,0.68297265469428
DMSO:UV-DMSO:NOUV,area,24373.1494472789,-5509.60397383794,54255.9028683958,0.122570570549181
zVAD:UV-DMSO:NOUV,area,10078.8167091837,-19803.9367119332,39961.5701303005,0.810968201423698
QVD:UV-DMSO:NOUV,area,-10473.5288226402,-37752.6257044908,16805.5680592105,0.725771273110822
QVD:NOUV-zVAD:NOUV,area,-9916.92222971871,-37196.0191115693,17362.1746521319,0.764178554183932
DMSO:UV-zVAD:NOUV,area,25531.1096360449,-4351.64378507199,55413.8630571617,0.101533170074783
zVAD:UV-zVAD:NOUV,area,11236.7768979496,-18645.9765231672,41119.5303190665,0.740832439107027
QVD:UV-zVAD:NOUV,area,-9315.56863387423,-36594.6655157249,17963.5282479764,0.803704352860786
DMSO:UV-QVD:NOUV,area,35448.0318657636,8168.93498391294,62727.1287476142,0.0123412877965817
zVAD:UV-QVD:NOUV,area,21153.6991276683,-6125.3977541823,48432.796009519,0.148806762054159
QVD:UV-QVD:NOUV,area,601.353595844477,-23797.8124012037,25000.5195928927,0.999998765761158
zVAD:UV-DMSO:UV,area,-14294.3327380952,-44177.0861592121,15588.4206830216,0.541008844284587
QVD:UV-DMSO:UV,area,-34846.6782699191,-62125.7751517697,-7567.58138806847,0.0136251940147325
QVD:UV-zVAD:UV,area,-20552.3455318238,-47831.4424136745,6726.75135002678,0.165382039068641
zVAD:NOUV-DMSO:NOUV,perimeter,-91.5685808987755,-467.561517129065,284.424355331514,0.938738798248947
QVD:NOUV-DMSO:NOUV,perimeter,-241.189994551425,-584.42301561131,102.04302650846,0.210177756615236
DMSO:UV-DMSO:NOUV,perimeter,475.091339285715,99.0984030554253,851.084275516004,0.014504492219678
zVAD:UV-DMSO:NOUV,perimeter,280.715020238096,-95.2779159921938,656.707956468385,0.170843794604587
QVD:UV-DMSO:NOUV,perimeter,-84.6918720821657,-427.924893142051,258.541148977719,0.935606769381006
QVD:NOUV-zVAD:NOUV,perimeter,-149.621413652649,-492.854434712534,193.611607407236,0.623891430100233
DMSO:UV-zVAD:NOUV,perimeter,566.65992018449,190.666983954201,942.65285641478,0.00503635044343398
zVAD:UV-zVAD:NOUV,perimeter,372.283601136871,-3.7093350934183,748.276537367161,0.0524440124724364
QVD:UV-zVAD:NOUV,perimeter,6.87670881660983,-336.356312243275,350.109729876495,0.999999560803465
DMSO:UV-QVD:NOUV,perimeter,716.28133383714,373.048312777255,1059.51435489702,0.000575779908101426
zVAD:UV-QVD:NOUV,perimeter,521.905014789521,178.671993729636,865.138035849406,0.00476302185524524
QVD:UV-QVD:NOUV,perimeter,156.498122469259,-150.498824415749,463.495069354267,0.48216395759889
zVAD:UV-DMSO:UV,perimeter,-194.376319047619,-570.369255277909,181.616617182671,0.469129070308542
QVD:UV-DMSO:UV,perimeter,-559.783211367881,-903.016232427766,-216.550190307995,0.00304499874516939
QVD:UV-zVAD:UV,perimeter,-365.406892320261,-708.639913380146,-22.1738712603764,0.0366511723217069
zVAD:NOUV-DMSO:NOUV,casp,-0.0654461258104703,-1.81814154084628,1.68724928922534,0.9999902409313
QVD:NOUV-DMSO:NOUV,casp,0.485664212794674,-1.11432047929031,2.08564890487966,0.865017552716026
DMSO:UV-DMSO:NOUV,casp,0.702196453930883,-1.05049896110492,2.45489186896669,0.693440281899649
zVAD:UV-DMSO:NOUV,casp,0.327587183147392,-1.42510823188841,2.0802825981832,0.979027795124725
QVD:UV-DMSO:NOUV,casp,1.46371086976417,-0.136273822320812,3.06369556184916,0.0756223125670856
QVD:NOUV-zVAD:NOUV,casp,0.551110338605144,-1.04887435347984,2.15109503069013,0.798547057365399
DMSO:UV-zVAD:NOUV,casp,0.767642579741353,-0.985052835294453,2.52033799477716,0.619819546624747
zVAD:UV-zVAD:NOUV,casp,0.393033308957862,-1.35966210607794,2.14572872399367,0.955593876053989
QVD:UV-zVAD:NOUV,casp,1.52915699557464,-0.0708276965103412,3.12914168765963,0.0619690517204309
DMSO:UV-QVD:NOUV,casp,0.216532241136209,-1.38345245094877,1.81651693322119,0.994988233027886
zVAD:UV-QVD:NOUV,casp,-0.158077029647282,-1.75806172173227,1.4419076624377,0.998853565368325
