ImageNumber,ObjectNumber,Metadata_Time,SEX,GENOTYPE,Metadata_Mouse,Metadata_Treatment,Metadata_Well,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
5,1,0HR,FEMALE,WT,CX23,IR,1,130.4902003,307.4444522,5.440523039,177.4326838,0.03407054838,0.08027270292,0.001420502099,0.04632707149,0.03137255087,0.07450980693,0.001307189581,0.04705882445,0.01177632988,0.02586297409,0.0007302360674,0.007733374259,1,2521,295.368,0.4244350463,0.01769595451,0.577121111,0.05176128533,0.002158081333,0.07038186585,0.0001683597962,0.000007019418686,0.0002289254704
5,2,0HR,FEMALE,WT,CX23,IR,1,238.1254977,484.9490318,11.05882392,263.4248432,0.0404493796,0.08237625817,0.001878516038,0.04474687331,0.03529411927,0.08104575425,0.001307189581,0.04444444552,0.0193078084,0.03027681679,0.001156309041,0.007860527985,2,4325,339.578,0.4910320096,0.02280409526,0.543201091,0.05505791854,0.002556953507,0.06090747819,0.0001135334126,0.000005272623181,0.000125595628
9,1,0HR,FEMALE,WT,CX23,IR,1,366.4941301,1511.026186,7.562091726,760.5490397,0.02105199208,0.0867956911,0.0004343782943,0.04368711814,0.01960784383,0.08104575425,0,0.04183006659,0.007673373695,0.02988625476,0.0006197079354,0.007665091117,1,14098,797.41,0.2425465114,0.005004606667,0.5033327989,0.0259961789,0.0005363946465,0.0539473003,0.00001720432057,0.0000003549869958,0.0000357024258
11,1,0HR,FEMALE,WT,CX23,IR,1,2818.090283,8440.391068,28.20261521,4394.170045,0.03399221126,0.1018092139,0.0003401840105,0.05300311258,0.02745098062,0.1019607857,0,0.04967320338,0.0199390576,0.03342809368,0.000574985846,0.01872336451,1,76009,1661.362,0.3338814825,0.003341387263,0.5206121387,0.03707574475,0.0003710431029,0.05781118085,0.000004392657218,0.00000004396041604,0.000006849348613
12,1,0HR,FEMALE,WT,CX23,IR,1,1486.776516,4813.098158,11.84705917,2311.50333,0.02821529048,0.09134053513,0.0002248274789,0.04386653755,0.02352941222,0.09150326997,0,0.04183006659,0.01597887288,0.02588260012,0.0004936941107,0.008272311317,1,47658,1143.912,0.3089021806,0.002461420645,0.4802526884,0.03119678787,0.0002485849002,0.04850189538,0.000006481643807,0.00000005164758582,0.00001007706342
18,1,0HR,FEMALE,WT,CX23,IR,1,407.1568756,760.1712628,3.777777889,519.6183127,0.03913840966,0.0730723121,0.0003631431211,0.04994889096,0.03529411927,0.071895428,0,0.04967320338,0.01366829939,0.01930571382,0.0005869127088,0.009455657257,1,8063,555.666,0.5356120332,0.004969640493,0.6835542701,0.05049694601,0.0004685325424,0.0644447864,0.00006642838065,0.0000006163512952,0.00008477666751
20,1,0HR,FEMALE,WT,CX23,IR,1,616.5764926,2864.988309,10.96862777,1329.80919,0.01907842356,0.088649926,0.0003393968616,0.04114763258,0.01960784383,0.08888889104,0,0.03921568766,0.008265044942,0.02763419687,0.0005742253564,0.007882997417,1,28916,807.334,0.2152108233,0.003828506993,0.4641586794,0.0213230216,0.000379327285,0.04598869794,0.000007442620808,0.0000001324009888,0.00001605196706
21,1,0HR,FEMALE,WT,CX23,IR,1,276.1451075,1069.154278,3.624836708,564.4732204,0.0193067963,0.07475035152,0.0002534319169,0.03946537233,0.01568627544,0.071895428,0,0.03921568766,0.01119039199,0.02363042725,0.0005174675161,0.007360754479,1,12087,498.004,0.2582836857,0.003390377594,0.5279623644,0.02284645549,0.0002998954834,0.04670085385,0.00002136871728,0.0000002804978567,0.00004368018238
21,2,0HR,FEMALE,WT,CX23,IR,1,1814.262805,7932.116559,28.26143874,4297.817097,0.02052263843,0.0897267803,0.0003196886841,0.04861619059,0.01960784383,0.08496732265,0,0.04705882445,0.007210263005,0.03293061926,0.0005632055814,0.0124290253,2,79755,2272.398,0.2287236694,0.00356291269,0.5418247532,0.02274795067,0.0003543531909,0.05388774493,0.000002867828593,0.00000004467322036,0.000006793614861
22,1,0HR,FEMALE,WT,CX23,IR,1,1937.086336,5697.46812,27.00784393,3407.270673,0.03297448865,0.09698643493,0.0004597471092,0.05800103283,0.03137255087,0.0941176489,0,0.05490196124,0.01414509408,0.03318929991,0.0006303081183,0.01775805165,1,51979,1774.674,0.3399907283,0.004740323836,0.5980324245,0.03726671032,0.0005195914491,0.06555090851,0.000006540924764,0.00000009119690328,0.00001150526991
