ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
3,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,863.6862993,6974.809348,795.9830287,0.264052298,0.037389017,0.301939799,0.03445814,1.14E-05,0.019607844,0.333333343,0.011764706,0,0.054861143,0.163939663,0.048747992,0.000310844,1,20296,617.15,0.123829377,0.11412255,3.79E-05,0.042554508,0.039218714,1.30E-05,6.10E-06,5.62E-06,1.87E-09
5,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,3796.172659,30892.26767,5223.815829,61.97385824,0.039245445,0.319369245,0.05400465,0.000640696,0.023529412,0.377777785,0.024836602,0,0.048729036,0.193050467,0.065467172,0.003790598,1,88600,2122.99,0.122884234,0.169097843,0.002006128,0.042846193,0.058959547,0.000699479,1.39E-06,1.91E-06,2.26E-08
8,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,501.9255055,3588.678528,216.2823591,87.2679765,0.02866344,0.204938526,0.012351228,0.004983609,0.019607844,0.189542487,0,0,0.032472725,0.137809407,0.026078847,0.014806202,1,14950,564.596,0.139863602,0.060267967,0.02431758,0.033573612,0.014467047,0.005837323,9.36E-06,4.03E-06,1.63E-06
15,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,108.3529449,1210.389577,62.7516357,0.078431376,0.013078207,0.146094095,0.007574126,9.47E-06,0.011764706,0.145098045,0,0,0.013929288,0.10117065,0.021714452,0.000259921,1,6670,342.094,0.089519066,0.051844164,6.48E-05,0.016244819,0.009408041,1.18E-05,1.34E-05,7.77E-06,9.71E-09
16,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,797.8666941,30735.44536,4057.668085,146.6483704,0.008736086,0.336531757,0.044428644,0.001605698,0,0.384313732,0.018300654,0,0.015783395,0.172826927,0.059114512,0.008134046,1,84634,1740.552,0.025959171,0.132019173,0.004771311,0.00942726,0.047943712,0.001732736,3.07E-07,1.56E-06,5.64E-08
17,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,125.1098081,1615.401351,45.08366153,0.227450988,0.010789979,0.139318788,0.003888198,1.96E-05,0.003921569,0.129411772,0,0,0.018521825,0.093921135,0.01536621,0.000399203,1,9604,433.552,0.077448126,0.027908644,0.000140802,0.013026844,0.004694259,2.37E-05,8.06E-06,2.91E-06,1.47E-08
19,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,213.4078506,6678.994949,242.0339941,4.449673354,0.009522035,0.298009769,0.010799304,0.00019854,0.003921569,0.359477133,0,0,0.0144026,0.184204286,0.018672929,0.001753374,1,19612,627.322,0.03195209,0.036238086,0.000666219,0.010881494,0.012341117,0.000226885,1.63E-06,1.85E-06,3.40E-08
22,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,339.4392275,13165.9703,1668.874557,9.984314065,0.006206378,0.240729363,0.030514052,0.000182555,0,0.253594786,0.010457517,0,0.014259102,0.115839296,0.043152752,0.001685203,1,50339,953.798,0.025781558,0.12675667,0.000758342,0.006743067,0.033152716,0.000198342,5.12E-07,2.52E-06,1.51E-08
23,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,401.3882488,11703.00293,2187.094175,1.704575223,0.00900822,0.262646504,0.049084209,3.83E-05,0,0.284967333,0.031372551,0,0.025963241,0.137551369,0.058001605,0.000752395,1,39946,1006.728,0.034297885,0.186883161,0.000145653,0.010048271,0.054751269,4.27E-05,8.59E-07,4.68E-06,3.65E-09
24,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,601.8706094,29378.6269,4466.813195,8.577778048,0.006710491,0.327553789,0.049802245,9.56E-05,0,0.359477133,0.031372551,0,0.016521996,0.142376463,0.058146272,0.001948147,1,83469,1450.35,0.020486683,0.152042953,0.000291973,0.007210708,0.053514637,0.000102766,2.45E-07,1.82E-06,3.50E-09
25,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,68.00392417,2211.214442,364.1634087,0.099346409,0.005754267,0.187105639,0.030814301,8.41E-06,0,0.20653595,0.011764706,0,0.009192287,0.111834733,0.045440225,0.000263309,1,9923,394.648,0.030754106,0.164689323,4.49E-05,0.006853162,0.036698923,1.00E-05,3.10E-06,1.66E-05,4.53E-09
28,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,275.4588328,1973.245804,20.67843205,3.673202738,0.015433597,0.110558371,0.001158585,0.000205805,0.011764706,0.095424838,0,0,0.016964033,0.071696452,0.004502692,0.001895328,1,15065,619.15,0.139596817,0.0104794,0.001861503,0.018284689,0.001372614,0.000243824,9.27E-06,6.96E-07,1.24E-07
29,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,351.4588346,3998.598804,134.6405268,1.351634035,0.01848713,0.210330798,0.007082243,7.11E-05,0.011764706,0.216993466,0,0,0.024107798,0.136560113,0.017079118,0.000755347,1,16249,606.978,0.087895498,0.033671927,0.000338027,0.021629567,0.008286081,8.32E-05,5.41E-06,2.07E-06,2.08E-08
29,2,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,1016.709835,15154.16778,1557.845796,2.169934721,0.023008211,0.342939822,0.035254154,4.91E-05,0.011764706,0.424836606,0.015686275,0,0.034881254,0.19036639,0.044341253,0.000667712,2,40229,895.104,0.067091103,0.102799825,0.000143191,0.025273058,0.038724447,5.39E-05,1.67E-06,2.56E-06,3.56E-09
33,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,1264.384356,41898.95275,7339.563601,132.2666708,0.008613735,0.285440487,0.050001455,0.000901079,0,0.305882365,0.031372551,0,0.01803685,0.125698398,0.055564153,0.005037347,1,137856,2526.894,0.030176992,0.175172961,0.003156801,0.009171776,0.053240799,0.000959455,2.19E-07,1.27E-06,2.29E-08
36,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,447.8823682,12797.02913,2737.843212,0.371241843,0.009307807,0.265945451,0.056897342,7.72E-06,0,0.288888901,0.039215688,0,0.018435057,0.118607817,0.060238681,0.000235239,1,43999,908.55,0.034998933,0.213943657,2.90E-05,0.010179376,0.062225124,8.44E-06,7.95E-07,4.86E-06,6.59E-10
37,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,481.3764862,7586.396293,1112.051011,1.016993498,0.015368148,0.242198905,0.035502698,3.25E-05,0.003921569,0.264052302,0.003921569,0,0.022219798,0.122064622,0.054913307,0.000713373,1,28118,693.296,0.063452589,0.146584883,0.000134055,0.017119869,0.039549435,3.62E-05,2.26E-06,5.21E-06,4.77E-09
39,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,548.5411943,9761.311357,672.7817185,0.721568652,0.013884307,0.247071767,0.017029,1.83E-05,0.003921569,0.240522876,0,0,0.020682619,0.151139444,0.030236766,0.000456028,1,35092,1001.25,0.056195441,0.068923293,7.39E-05,0.015631517,0.01917194,2.06E-05,1.60E-06,1.96E-06,2.11E-09
40,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,1856.760847,53286.31535,6873.419799,4.928104751,0.012035475,0.345400491,0.044553326,3.19E-05,0.003921569,0.424836606,0.031372551,0,0.017342987,0.18800267,0.047117812,0.000707556,1,143690,2926.668,0.034844985,0.128990337,9.25E-05,0.012921991,0.04783506,3.43E-05,2.43E-07,8.98E-07,6.44E-10
40,2,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,421.0980529,2607.806606,6.577778023,1.23137259,0.018111744,0.112163725,0.000282915,5.30E-05,0.011764706,0.108496733,0,0,0.021526351,0.059518185,0.001651364,0.00070014,2,19954,736.538,0.161475951,0.002522341,0.000472187,0.021103441,0.000329647,6.17E-05,8.09E-06,1.26E-07,2.37E-08
40,3,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,246.8156943,3988.296841,263.3098116,1.500653649,0.012331536,0.199265393,0.013155624,7.50E-05,0.003921569,0.202614382,0,0,0.016816376,0.128372565,0.023974609,0.000799448,3,17297,609.15,0.061884986,0.066020615,0.000376264,0.014269278,0.01522286,8.68E-05,3.58E-06,3.82E-06,2.18E-08
42,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,6.23529439,238.6496796,3.869281177,0,0.001733471,0.066346867,0.001075697,0,0,0.060130719,0,0,0.004770617,0.042982428,0.003916914,0,1,2331,286.368,0.026127395,0.016213226,0,0.002674944,0.001659923,0,1.12E-05,6.96E-06,0
45,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,391.3882485,4970.277253,1786.495475,2.705882445,0.009745723,0.123761884,0.044484449,6.74E-05,0,0.122875817,0.026143791,0,0.016902788,0.058362441,0.052161004,0.000889064,1,36323,868.754,0.078745758,0.359435779,0.000544413,0.010775218,0.049183588,7.45E-05,2.17E-06,9.90E-06,1.50E-08
46,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,401.7490335,13787.29187,3658.043237,18.64052344,0.005541825,0.190185283,0.050459945,0.000257132,0,0.190849677,0.026143791,0,0.013335579,0.086300928,0.061127792,0.00321329,1,67395,1166.09,0.029139082,0.265319924,0.001352008,0.00596111,0.054277665,0.000276586,4.32E-07,3.94E-06,2.01E-08
49,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,92.25490531,1781.411813,165.738567,0.007843137,0.00750528,0.144924489,0.01348345,6.38E-07,0,0.13464053,0,0,0.011054007,0.093816538,0.022302984,4.08E-05,1,10280,429.826,0.051787523,0.093037761,4.40E-06,0.008974213,0.016122429,7.63E-07,5.04E-06,9.05E-06,4.28E-10
49,2,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,29.34117767,672.46407,18.49934694,0.026143792,0.003938413,0.090263634,0.002483134,3.51E-06,0,0.078431375,0,0,0.006965188,0.058628075,0.009572774,0.000154406,2,5891,330.61,0.043632335,0.027509792,3.89E-05,0.004980679,0.003140273,4.44E-06,7.41E-06,4.67E-06,6.60E-09
50,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,941.3098308,1431.226182,0,0.718954273,0.065688055,0.099876216,0,5.02E-05,0.047058824,0.095424838,0,0,0.078794896,0.053627951,0,0.000611402,1,11823,590.838,0.65769467,0,0.000502334,0.079616834,0,6.08E-05,5.56E-05,0,4.25E-08
52,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,737.3882617,32902.163,5579.244599,6.807843365,0.005346105,0.238542471,0.040449827,4.94E-05,0,0.244444445,0.024836602,0,0.011645148,0.099752731,0.047166409,0.000908849,1,130520,1647.814,0.022411544,0.169570754,0.000206912,0.005649619,0.042746281,5.22E-05,1.72E-07,1.30E-06,1.59E-09
53,1,DAY4,Male,WT,AG51,-,nan,NOUV,1,Z3,877.4039497,7215.661628,2654.045823,2.711111205,0.018835282,0.154899032,0.056974558,5.82E-05,0.007843138,0.156862751,0.03267974,0,0.026244591,0.077548255,0.066396578,0.000953933,1,42207,983.996,0.121597158,0.367817389,0.000375726,0.020788115,0.062881651,6.42E-05,2.88E-06,8.71E-06,8.90E-09
