ImageNumber,ObjectNumber,Metadata_Day,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,CRE,BELMO,Metadata_Treatment,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
12,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,4925.741317,30783.06751,17686.82009,737.8980647,0.028202208,0.176247681,0.101265445,0.004224817,0,0.173856214,0.082352944,0,0.053226503,0.079054018,0.077995368,0.006535966,1,164542,2473.912,0.1600146352,0.5745632752,0.02397090753,0.02993607296,0.1074912186,0.004484557528,0.0000009724850504,0.00000349189432,0.000000145682607,26.10375126,17.37118565,4.545151444,10.36364217,5.197033858,0.229643788,9.233828797,5.603462367,0.3221433466,0.9350817793,0.2838938472,0.005093797449
29,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,397.9960912,7696.374088,3650.471996,443.8039353,0.012632791,0.24429056,0.115869608,0.014086778,0,0.275817007,0.112418301,0.010457517,0.020603685,0.120681316,0.080850694,0.014898051,1,28099,767.372,0.05171215518,0.474310624,0.05766402857,0.01416406602,0.1299146587,0.01579429643,0.000001840355713,0.00001687998235,0.000002052173692,2.109162925,3.585326611,2.733651427,3.349232849,4.290229603,0.5524273931,4.368928447,6.772384859,1.134566226,1.769572801,1.372356288,0.07175432489
32,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,1475.94514,7857.47601,5004.698177,157.8274566,0.027031467,0.143907181,0.09165946,0.00289056,0,0.152941182,0.073202617,0,0.063123107,0.057750083,0.070014255,0.004976549,1,49612,1153.918,0.1878395986,0.6369345793,0.02008627916,0.02974976094,0.1008767673,0.00318123552,0.000003786172673,0.00001283831693,0.0000004048673538,7.821706891,4.91538562,0.9721528306,12.16577711,5.76119414,0.1924286441,9.176360563,5.258654395,0.2285206177,3.640550647,1.043765604,0.01415620118
32,2,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,784.7137488,5010.709939,2462.894189,343.986939,0.018094303,0.115539336,0.056790587,0.007931815,0,0.112418301,0.035294119,0.002614379,0.041322581,0.049846239,0.056253583,0.014508307,2,38745,1072.148,0.1566072988,0.4915259951,0.06865033961,0.02025329072,0.06356676188,0.008878227875,0.000004042000228,0.00001268617874,0.000001771850293,4.158556284,2.418942013,2.118819397,10.14295977,4.445945902,0.6576773958,6.247159382,3.313702856,0.6377579107,3.886538681,1.031396645,0.06195280745
36,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,90.83921877,2151.943852,1691.35168,152.8444492,0.005933713,0.140567238,0.110480873,0.00998396,0,0.142483667,0.094117649,0.005228758,0.01279361,0.075030154,0.088831811,0.01613368,1,13049,475.45,0.04221263426,0.7859645959,0.07102622546,0.006961393116,0.1296154249,0.01171311589,0.000003234932505,0.00006023178756,0.000005443039731,0.4813984776,1.661168253,0.9414595352,2.733978903,7.109198921,0.6804386294,2.147252658,6.756785953,0.8413990293,3.110512024,4.896893298,0.1903160745
38,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,14068.15326,5764.211917,1781.346457,744.5830296,0.342724451,0.140426133,0.043396669,0.018139325,0.286274523,0.146405235,0.019607844,0.015686275,0.305497971,0.063966357,0.055265577,0.015115434,1,36913,981.244,2.440603063,0.3090355599,0.1291734309,0.3811164972,0.04825797028,0.02017129547,0.00006611771091,0.000008371997938,0.000003499402131,74.55356457,1.749557006,4.586328104,158.0701466,2.795285284,1.237494907,117.5559831,2.515663362,1.448983224,63.57472203,0.6806502388,0.1223567179
39,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,1311.094153,1185.00526,40.62091677,474.5777916,0.103906653,0.093913874,0.003219283,0.037611174,0.062745102,0.087581702,0.002614379,0.031372551,0.112998339,0.051201102,0.001352054,0.034137729,1,10078,574.112,1.106403657,0.0342791025,0.4004858102,0.1300946768,0.004030652587,0.04709047347,0.0001097840501,0.00000340137949,0.00003973861978,6.948086276,0.03989600633,2.923205844,71.65826793,0.3100609872,3.836695728,40.12790772,0.2101158623,3.382693303,105.5615866,0.2765349179,1.38946223
39,2,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,2428.513788,9087.507451,5198.737394,697.5555767,0.060027036,0.224621387,0.128500319,0.017241901,0.019607844,0.241830066,0.104575165,0.013071896,0.11600257,0.108881554,0.10311527,0.016738519,2,36561,889.276,0.2672365113,0.5720751727,0.07675983546,0.066423615,0.142193523,0.01907922586,0.000007309332659,0.00001564714238,0.000002099500437,12.86980289,5.105962063,4.296658154,17.30806421,5.174528498,0.7353672098,20.48846854,7.412475785,1.370535584,7.02820448,1.272125397,0.07340910617
48,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,2727.811842,13237.7886,6722.355741,961.7830361,0.045043872,0.21859325,0.111005065,0.015881752,0.015686275,0.23137255,0.083660133,0.013071896,0.070438863,0.108533688,0.091347752,0.015478045,1,54823,1298.758,0.2060625022,0.5078156136,0.0726543583,0.04975670507,0.1226192609,0.01754342222,0.000003758687087,0.000009262820598,0.000001325253239,14.45591987,6.602390309,5.924191653,13.34601698,4.593288592,0.6960363115,15.34753395,6.392079493,1.260212788,3.614122199,0.7530748453,0.04633752583
56,1,DAY4,nan,WT,AY10,+,WT/WT,NOUV,1,Z3,1410.152984,16088.54685,8183.576693,874.4104851,0.018148453,0.20705714,0.105321382,0.011253529,0,0.223529413,0.086274512,0.007843138,0.035672156,0.096728407,0.083094735,0.017752195,1,70644,1687.266,0.08764949359,0.5086585364,0.05434987344,0.01996139777,0.1158424876,0.01237770349,0.00000124072099,0.000007200307689,0.0000007693487549,7.47304423,8.037534688,5.386012336,5.676780673,4.600912989,0.5206774421,6.157124543,6.038809758,0.8891389617,1.193000952,0.585390869,0.02690030611
