ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Secondary Treatment,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
1,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,7706.043344,20401.00711,8080.140081,16662.60433,0.075456973,0.199765064,0.079120099,0.163158916,0.023529412,0.214379087,0.070588239,0.060130719,0.089491596,0.101563405,0.063417312,0.173423085,1,94164,2030.048,0.377728575,0.396065745,0.816754008,0.081836406,0.085809227,0.176953022,4.01E-06,4.21E-06,8.67E-06,40.83784058,7.935943979,102.634854,24.46428594,3.582489824,7.824588372,25.2425682,4.473191228,12.7112292,3.857106249,0.341961547,0.303277606
11,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,78.40000318,4098.121668,1630.856256,399.1607974,0.002720711,0.142216882,0.056595511,0.013852054,0,0.151633993,0.047058824,0.013071896,0.006998463,0.073999567,0.047358442,0.00990432,1,25460,791.958,0.019130716,0.397952132,0.097400914,0.00307934,0.064055627,0.015677957,7.51E-07,1.56E-05,3.83E-06,0.415477397,1.601752414,2.458667886,1.239036033,3.599552554,0.933110893,0.949827349,3.339187129,1.126209143,0.722502732,1.270771087,0.133763801
12,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,531.8039379,2094.556918,1110.035326,311.5294222,0.020564731,0.080996014,0.0429248,0.012046768,0.007843138,0.077124186,0.031372551,0.010457517,0.030695948,0.036770077,0.042761244,0.007472272,1,22233,877.308,0.25389806,0.529961882,0.148732851,0.023919576,0.049927375,0.014012028,1.14E-05,2.38E-05,6.69E-06,2.818271772,1.090225921,1.918894318,16.44417486,4.793605792,1.424876188,7.37803091,2.602688573,1.00653891,10.98064813,1.93794503,0.233906775
15,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,363.2666796,9811.664334,3349.252377,571.283679,0.008749197,0.236311761,0.080666001,0.013759241,0.003921569,0.254901975,0.075816996,0.013071896,0.013711648,0.110535011,0.05921308,0.009143885,1,37752,846.544,0.037023961,0.341354154,0.058224951,0.009622449,0.088717217,0.015132541,9.81E-07,9.04E-06,1.54E-06,1.925115923,3.289482481,3.51887471,2.397924948,3.087613101,0.557801092,2.968059408,4.624783247,1.087029722,0.942995409,0.735123179,0.053926612
16,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,345.0392286,17311.25145,5999.900818,1013.479773,0.003945425,0.197949201,0.068607147,0.011588851,0,0.210457519,0.06797386,0.010457517,0.010731118,0.096856548,0.050395131,0.007281617,1,80882,1528.006,0.019931501,0.346589664,0.05854457,0.004265958,0.074180916,0.01253035,2.46E-07,4.29E-06,7.24E-07,1.828520342,5.892828131,6.24262249,1.290900335,3.134969279,0.560863072,1.315841508,3.867013274,0.900104163,0.23694895,0.348384331,0.025308634
18,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,768.6039478,13378.42126,3345.188331,1180.71115,0.009818776,0.1709069,0.042734173,0.01508337,0,0.173856214,0.039215688,0.013071896,0.014265997,0.071718225,0.035762888,0.010109343,1,72672,1274.108,0.05745102,0.250043579,0.088254894,0.010576342,0.046031323,0.016247126,7.91E-07,3.44E-06,1.21E-06,4.073183096,3.28549096,7.272699636,3.720920986,2.26169162,0.845491066,3.262289421,2.399589394,1.167094758,0.760146486,0.279732858,0.042462509
24,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,289.1333442,2946.63145,428.5647182,676.2562307,0.007161552,0.072985199,0.010615132,0.01675021,0.003921569,0.06666667,0,0.013071896,0.009788255,0.041231643,0.023048399,0.017648579,1,35899,1060.498,0.098123348,0.145442253,0.229501464,0.008054078,0.011938068,0.018837746,2.73E-06,4.05E-06,6.39E-06,1.532249546,0.420916662,4.16546286,6.355139142,1.315552783,2.198647899,2.484293013,0.622325414,1.353189113,2.62818946,0.32938448,0.223530647
26,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,50.91372773,2275.411825,1208.851013,235.1555636,0.002400572,0.107285201,0.056997077,0.011087537,0,0.105882354,0.054901961,0.010457517,0.005637455,0.057777687,0.044114238,0.007115974,1,18556,575.596,0.02237561,0.531266912,0.103346375,0.002743788,0.065146099,0.012672751,1.21E-06,2.86E-05,5.57E-06,0.269815079,1.187278169,1.448462465,1.449197543,4.805410035,0.990069024,0.846325685,3.396032895,0.910333366,1.159463768,2.327680096,0.194735375
33,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,3194.862841,19529.80181,5080.742625,1276.920306,0.023457143,0.143390615,0.037303544,0.009375333,0.003921569,0.139869288,0.023529412,0.007843138,0.043464168,0.060578203,0.042061603,0.006895624,1,127420,1994.474,0.163589107,0.260153312,0.065383168,0.02507348,0.039873981,0.010021349,1.28E-06,2.04E-06,5.13E-07,16.93103627,4.990072998,7.865308841,10.59514943,2.353136076,0.626377549,7.733954395,2.078610266,0.719872791,1.234478248,0.165991805,0.017941648
34,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,1798.231426,8634.211992,2084.895485,545.3202804,0.029840717,0.143280264,0.034597758,0.009049307,0.007843138,0.146405235,0.027450981,0.007843138,0.045638711,0.062210048,0.034950192,0.006875965,1,55582,1042.594,0.208268158,0.24146911,0.063158083,0.032352766,0.037510264,0.009811095,3.75E-06,4.34E-06,1.14E-06,9.529649004,2.047688976,3.358950753,13.48887032,2.184133922,0.605061009,9.979261488,1.955390911,0.704769411,3.6029262,0.353201305,0.039730931
