ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Secondary Treatment,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
1,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,7706.043344,20401.00711,8080.140081,16662.60433,0.07545697277,0.1997650635,0.07912009872,0.1631589163,0.02352941222,0.2143790871,0.07058823854,0.0601307191,0.08949159638,0.1015634052,0.06341731161,0.1734230847,1,94164,2030.048,0.3777285749,0.396065745,0.816754008,0.0000008013356779,0.000000840237232,0.000001732710126,0.000004011390499,0.000004206127023,0.000008673739519
11,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,78.40000318,4098.121668,1630.856256,399.1607974,0.002720710827,0.1422168819,0.05659551138,0.01385205433,0,0.1516339928,0.04705882445,0.01307189558,0.00699846252,0.07399956707,0.04735844196,0.009904319614,1,25460,791.958,0.01913071634,0.3979521322,0.09740091431,0.0000001068621692,0.00000222291875,0.0000005440712618,0.0000007514028415,0.00001563048437,0.00000382564471
12,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,531.8039379,2094.556918,1110.035326,311.5294222,0.02056473078,0.08099601386,0.04292479993,0.01204676807,0.007843137719,0.07712418586,0.03137255087,0.01045751665,0.03069594779,0.03677007736,0.04276124425,0.007472271818,1,22233,877.308,0.2538980599,0.5299618819,0.1487328511,0.0000009249642773,0.000001930679617,0.0000005418417698,0.00001141987406,0.00002383672387,0.000006689733778
15,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,363.2666796,9811.664334,3349.252377,571.283679,0.008749197485,0.2363117614,0.08066600138,0.01375924082,0.003921568859,0.2549019754,0.0758169964,0.01307189558,0.01371164779,0.1105350107,0.05921308046,0.009143884907,1,37752,846.544,0.0370239612,0.3413541539,0.0582249514,0.0000002317545424,0.000002136734514,0.0000003644638913,0.0000009807152256,0.000009042015097,0.000001542301107
16,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,345.0392286,17311.25145,5999.900818,1013.479773,0.003945424726,0.1979492008,0.0686071469,0.01158885085,0,0.2104575187,0.06797385961,0.01045751665,0.01073111805,0.09685654764,0.05039513094,0.007281617108,1,80882,1528.006,0.01993150117,0.3465896636,0.05854457003,0.00000004878000947,0.0000008482375176,0.000000143280963,0.0000002464269079,0.000004285127267,0.0000007238269334
18,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,768.6039478,13378.42126,3345.188331,1180.71115,0.009818775761,0.1709069005,0.04273417303,0.01508337038,0,0.1738562137,0.03921568766,0.01307189558,0.01426599657,0.07171822537,0.03576288768,0.01010934294,1,72672,1274.108,0.05745102002,0.2500435788,0.08825489394,0.000000135110851,0.0000005880417909,0.0000002075540838,0.0000007905523451,0.000003440714151,0.000001214427757
24,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,289.1333442,2946.63145,428.5647182,676.2562307,0.007161552132,0.07298519927,0.01061513185,0.01675021006,0.003921568859,0.06666667014,0,0.01307189558,0.009788254668,0.0412316429,0.02304839885,0.01764857938,1,35899,1060.498,0.09812334835,0.1454422535,0.2295014637,0.0000001994916887,0.0000002956943606,0.0000004665926644,0.000002733317038,0.000004051429105,0.000006392976508
26,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,50.91372773,2275.411825,1208.851013,235.1555636,0.00240057182,0.1072852008,0.05699707734,0.0110875366,0,0.1058823541,0.05490196124,0.01045751665,0.005637454547,0.05777768689,0.04411423831,0.007115974016,1,18556,575.596,0.02237561007,0.5312669119,0.103346375,0.0000001293690354,0.000003071625207,0.0000005975176005,0.000001205842319,0.00002863046518,0.000005569431718
33,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,3194.862841,19529.80181,5080.742625,1276.920306,0.02345714274,0.1433906154,0.0373035435,0.009375332642,0.003921568859,0.1398692876,0.02352941222,0.007843137719,0.04346416762,0.06057820256,0.04206160346,0.0068956238,1,127420,1994.474,0.1635891071,0.2601533121,0.06538316765,0.0000001840930995,0.0000002927605046,0.00000007357818743,0.000001283857378,0.0000020416992,0.0000005131311226
34,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,1798.231426,8634.211992,2084.895485,545.3202804,0.02984071664,0.1432802641,0.03459775783,0.009049306856,0.007843137719,0.1464052349,0.02745098062,0.007843137719,0.04563871083,0.06221004813,0.03495019153,0.006875965382,1,55582,1042.594,0.2082681578,0.2414691099,0.06315808332,0.000000536877346,0.0000006224633484,0.0000001628100258,0.000003747043248,0.000004344376056,0.000001136304619
35,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,226.0313799,1708.694163,494.8183144,179.785627,0.01371882616,0.1037080701,0.03003267264,0.01091197057,0.003921568859,0.1019607857,0.0169934649,0.01045751665,0.02202604899,0.05428869721,0.03812935743,0.008584996939,1,13896,596.838,0.1322831112,0.2895885789,0.1052181432,0.0000009872500118,0.000002161245872,0.0000007852598277,0.000009519510015,0.00002083970775,0.000007571829531
41,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,385.2353065,4848.325627,2989.874593,229.9686357,0.008920168258,0.1122635429,0.0692308934,0.005324950465,0,0.1176470593,0.0601307191,0.005228758324,0.03462200419,0.0464217114,0.0433639641,0.006546687731,1,38744,1001.664,0.07945739131,0.6166818864,0.04743258878,0.0000002302335396,0.000001786880379,0.0000001374393575,0.000002050830872,0.0000159168358,0.00000122425637
41,2,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,52.90196308,5037.269418,1242.805264,253.1058913,0.00129474444,0.1232842071,0.03041692808,0.006194617864,0,0.1281045824,0.01307189558,0.005228758324,0.004391154898,0.05531382117,0.039316904,0.006469287567,2,36769,965.384,0.0105021111,0.2467220157,0.05024664561,0.0000000352129359,0.0000008272438216,0.0000001684739282,0.0000002856240611,0.000006710055092,0.000001366549148
42,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,863.5059101,7113.955753,3418.990942,488.6692981,0.0161463334,0.133020863,0.06393027192,0.00913742143,0.003921568859,0.1398692876,0.05490196124,0.007843137719,0.02751099177,0.05409246628,0.05074406873,0.006647997237,1,48839,1068.288,0.1213819624,0.4806033466,0.06869164148,0.000000330603276,0.000001309000428,0.0000001870927216,0.000002485349054,0.000009840564847,0.000001406491564
45,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,15.20000072,1316.150362,616.3843315,106.786932,0.0008990359446,0.07784647556,0.03645734497,0.006316137221,0,0.07450980693,0.02483660169,0.005228758324,0.003021904083,0.0444864815,0.03903942846,0.005442768119,1,13410,834.996,0.01154883298,0.4683236423,0.08113581476,0.00000006704220318,0.000002718668529,0.0000004710020299,0.0000008612105133,0.00003492346326,0.000006050396328
51,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,141.6862791,941.4418546,83.77385874,126.6797429,0.01160792062,0.07712943262,0.006863334323,0.01037848131,0,0.071895428,0,0.007843137719,0.02251047857,0.0352522891,0.01301916005,0.00890118024,1,9901,567.08,0.1504992352,0.08898463387,0.134559285,0.00000117239881,0.0000006931960734,0.000001048225564,0.00001520040755,0.000008987439034,0.0000135904742
53,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,53.28627666,2599.89288,858.5451223,119.0588278,0.002874435034,0.140246676,0.04631271563,0.006422420317,0,0.1464052349,0.03137255087,0.005228758324,0.006502213679,0.06745092164,0.05092564487,0.005566723478,1,15795,620.99,0.02049556621,0.3302232676,0.04579374356,0.0000001819838578,0.000002932112417,0.0000004066109729,0.000001297598367,0.0000209068229,0.000002899255686
54,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,2374.117724,31964.7172,8363.49043,1260.034031,0.0133222473,0.1793684715,0.04693132385,0.007070620298,0,0.180392161,0.03660130873,0.005228758324,0.02607624871,0.07771441621,0.03942298156,0.007144606055,1,167244,2695.408,0.07427307143,0.2616475653,0.03941952696,0.00000007965755003,0.0000002806158897,0.00000004227727331,0.000000444100066,0.000001564466081,0.0000002357006945
