ImageNumber,ObjectNumber,Metadata_Day,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Stain,Metadata_Treatment,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
3,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,863.6862993,6974.809348,795.9830287,0.264052298,0.037389017,0.301939799,0.03445814,1.14E-05,0.019607844,0.333333343,0.011764706,0,0.054861143,0.163939663,0.048747992,0.000310844,1,20296,617.15,0.123829377,0.11412255,3.7858E-05,0.042554508,0.039218714,1.30101E-05,6.10117E-06,5.62291E-06,1.86529E-09,4.577067871,0.78177812,0.001626455,8.020037399,1.032260122,0.000362684,13.12600501,2.04445157,0.000934564,5.86651109,0.457147029,6.522E-05
5,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,3796.172659,30892.26767,5223.815829,61.97385824,0.039245445,0.319369245,0.05400465,0.000640696,0.023529412,0.377777785,0.024836602,0,0.048729036,0.193050467,0.065467172,0.003790598,1,88600,2122.99,0.122884234,0.169097843,0.002006128,0.042846193,0.058959547,0.000699479,1.38696E-06,1.90855E-06,2.26425E-08,20.11765142,5.130592955,0.381733717,7.958823466,1.529522079,0.01921892,13.21597549,3.073531075,0.050246334,1.333610808,0.155166954,0.000791697
8,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,501.9255055,3588.678528,216.2823591,87.2679765,0.02866344,0.204938526,0.012351228,0.004983609,0.019607844,0.189542487,0,0,0.032472725,0.137809407,0.026078847,0.014806202,1,14950,564.596,0.139863602,0.060267967,0.02431758,0.033573612,0.014467047,0.005837323,9.35542E-06,4.0313E-06,1.62659E-06,2.659932323,0.21242264,0.537535181,9.058523448,0.545135198,0.232964945,10.35583356,0.754159799,0.419317782,8.995600852,0.327748142,0.056873915
15,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,108.3529449,1210.389577,62.7516357,0.078431376,0.013078207,0.146094095,0.007574126,9.47E-06,0.011764706,0.145098045,0,0,0.013929288,0.10117065,0.021714452,0.000259921,1,6670,342.094,0.089519066,0.051844164,6.47985E-05,0.016244819,0.009408041,1.17588E-05,1.34211E-05,7.77274E-06,9.71491E-09,0.574211705,0.061631786,0.000483105,5.797866994,0.468940301,0.000620776,5.010740076,0.490436393,0.000844683,12.90495133,0.631929937,0.000339682
16,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,797.8666941,30735.44536,4057.668085,146.6483704,0.008736086,0.336531757,0.044428644,0.001605698,0,0.384313732,0.018300654,0,0.015783395,0.172826927,0.059114512,0.008134046,1,84634,1740.552,0.025959171,0.132019173,0.004771311,0.00942726,0.047943712,0.001732736,3.06723E-07,1.55988E-06,5.63758E-08,4.228259744,3.985255984,0.903294214,1.681293484,1.194138475,0.045709656,2.907853072,2.499281216,0.124469212,0.2949257,0.12681979,0.001971182
17,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,125.1098081,1615.401351,45.08366153,0.227450988,0.010789979,0.139318788,0.003888198,1.96E-05,0.003921569,0.129411772,0,0,0.018521825,0.093921135,0.01536621,0.000399203,1,9604,433.552,0.077448126,0.027908644,0.000140802,0.013026844,0.004694259,2.36829E-05,8.06415E-06,2.90594E-06,1.46607E-08,0.663013971,0.04427911,0.001401005,5.016070366,0.252438983,0.001348893,4.018150471,0.244709316,0.001701239,7.753993373,0.236255254,0.000512613
19,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,213.4078506,6678.994949,242.0339941,4.449673354,0.009522035,0.298009769,0.010799304,0.00019854,0.003921569,0.359477133,0,0,0.0144026,0.184204286,0.018672929,0.001753374,1,19612,627.322,0.03195209,0.036238086,0.000666219,0.010881494,0.012341117,0.000226885,1.62921E-06,1.84775E-06,3.397E-08,1.130945596,0.237714718,0.027408175,2.069435909,0.327780366,0.006382447,3.356413789,0.643336151,0.016298056,1.566549249,0.150223632,0.001187761
22,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,339.4392275,13165.9703,1668.874557,9.984314065,0.006206378,0.240729363,0.030514052,0.000182555,0,0.253594786,0.010457517,0,0.014259102,0.115839296,0.043152752,0.001685203,1,50339,953.798,0.025781558,0.12675667,0.000758342,0.006743067,0.033152716,0.000198342,5.12159E-07,2.51806E-06,1.50647E-08,1.79884338,1.639092251,0.061499307,1.669790029,1.146538138,0.007264999,2.079909488,1.728234151,0.014247649,0.492460312,0.204720403,0.000526738
23,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,401.3882488,11703.00293,2187.094175,1.704575223,0.00900822,0.262646504,0.049084209,3.83E-05,0,0.284967333,0.031372551,0,0.025963241,0.137551369,0.058001605,0.000752395,1,39946,1006.728,0.034297885,0.186883161,0.000145653,0.010048271,0.054751269,4.2672E-05,8.58606E-07,4.67839E-06,3.64624E-09,2.127139517,2.148063855,0.010499489,2.22136561,1.690393651,0.001395369,3.099405116,2.854155689,0.003065296,0.825582927,0.380357305,0.000127491
24,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,601.8706094,29378.6269,4466.813195,8.577778048,0.006710491,0.327553789,0.049802245,9.56E-05,0,0.359477133,0.031372551,0,0.016521996,0.142376463,0.058146272,0.001948147,1,83469,1450.35,0.020486683,0.152042953,0.000291973,0.007210708,0.053514637,0.000102766,2.45441E-07,1.82155E-06,3.49799E-09,3.189587042,4.387099595,0.052835618,1.326857692,1.375257365,0.002797136,2.224154312,2.78969069,0.007382087,0.236000592,0.148093492,0.000122307
