ImageNumber,ObjectNumber,Metadata_Time,SEX,GENOTYPE,Metadata_Mouse,Metadata_Treatment,Metadata_Well,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
1,1,3HR,Male,WT,Mouse 1,IR,1,1046.568668,7429.656414,637.2052522,1187.495463,0.011336807,0.080480701,0.006902436,0.012863376,0.011764706,0.081045754,0.006535948,0.013071896,0.003590292,0.014562683,0.002358299,0.002711766,1,82444,3389.334,0.14086367,0.085765104,0.159831814,1.37509E-07,8.37227E-08,1.56026E-07,1.7086E-06,1.04028E-06,1.93867E-06
1,2,3HR,Male,WT,Mouse 1,IR,1,79.5568659,517.6235433,47.4941194,83.52157133,0.012508941,0.08138735,0.007467629,0.013132323,0.011764706,0.081045754,0.007843138,0.013071896,0.003485406,0.015175744,0.00169743,0.002761823,2,5678,368.686,0.153696382,0.091754172,0.16135582,2.20305E-06,1.31519E-06,2.31284E-06,2.70688E-05,1.61596E-05,2.84177E-05
3,1,3HR,Male,WT,Mouse 1,IR,1,480.4235474,3362.328199,292.0509901,423.5451113,0.014062686,0.098420168,0.008548751,0.012397773,0.011764706,0.095424838,0.007843138,0.013071896,0.005526183,0.030227135,0.004135152,0.002743307,1,29924,1122.084,0.142884192,0.086859751,0.125967807,4.69947E-07,2.85682E-07,4.14309E-07,4.7749E-06,2.90268E-06,4.20959E-06
17,1,3HR,Male,WT,Mouse 1,IR,1,155.6078496,1204.251015,82.13464351,183.5477181,0.009666885,0.07481214,0.005102481,0.011402604,0.007843138,0.071895428,0.005228758,0.010457517,0.003175471,0.014540946,0.00171696,0.002508489,1,12782,1006.25,0.129215461,0.068203923,0.152416494,7.56289E-07,3.99193E-07,8.92083E-07,1.01092E-05,5.33594E-06,1.19243E-05
20,1,3HR,Male,WT,Mouse 1,IR,1,1037.549051,2415.781756,577.1307355,465.482369,0.040240035,0.093693056,0.022383289,0.018053148,0.035294119,0.094117649,0.020915033,0.018300654,0.020381865,0.024543757,0.010129535,0.00407973,1,21905,936.518,0.429487907,0.238900196,0.192683949,1.83703E-06,1.02183E-06,8.24156E-07,1.96068E-05,1.09062E-05,8.79635E-06
27,1,3HR,Male,WT,Mouse 1,IR,1,1712.058876,3686.737357,624.4405422,916.0784621,0.034480472,0.074250042,0.012576089,0.01844961,0.031372551,0.071895428,0.010457517,0.018300654,0.015894646,0.018054032,0.006664915,0.00439487,1,43742,1608.604,0.464383196,0.169374838,0.248479448,7.88269E-07,2.87506E-07,4.21782E-07,1.06164E-05,3.87213E-06,5.68057E-06
27,2,3HR,Male,WT,Mouse 1,IR,1,350.6156988,1472.597424,375.9346515,276.4941275,0.018108444,0.07605606,0.019416106,0.014280246,0.015686275,0.074509807,0.016993465,0.013071896,0.008395293,0.019481759,0.008094519,0.003455299,2,16638,716.436,0.238093381,0.255286778,0.187759481,1.08838E-06,1.16697E-06,8.58291E-07,1.43102E-05,1.53436E-05,1.1285E-05
28,1,3HR,Male,WT,Mouse 1,IR,1,123.6980439,624.6157046,81.01307455,115.304579,0.01382101,0.069789464,0.00905174,0.012883193,0.011764706,0.070588239,0.007843138,0.013071896,0.007887724,0.015440617,0.003610979,0.003100449,1,6816,504.418,0.198038639,0.129700669,0.184600832,2.02773E-06,1.32801E-06,1.89014E-06,2.9055E-05,1.90289E-05,2.70835E-05
35,1,3HR,Male,WT,Mouse 1,IR,1,785.3804175,1904.609197,522.2810605,375.9843276,0.034230318,0.08301121,0.022763296,0.016387044,0.027450981,0.083660133,0.020915033,0.015686275,0.021197898,0.023202714,0.012559843,0.003737659,1,19305,872.722,0.412357779,0.274219541,0.197407598,1.77313E-06,1.17914E-06,8.4885E-07,2.13602E-05,1.42046E-05,1.02257E-05
35,2,3HR,Male,WT,Mouse 1,IR,1,152.8588287,407.1398808,93.66797664,107.2339905,0.027233,0.072535165,0.016687685,0.019104577,0.027450981,0.071895428,0.015686275,0.018300654,0.008759462,0.01587771,0.005619006,0.004310317,2,3930,391.514,0.375445482,0.230063379,0.263383656,6.92952E-06,4.24623E-06,4.86122E-06,9.55332E-05,5.85403E-05,6.70187E-05
46,1,3HR,Male,WT,Mouse 1,IR,1,124.2313766,430.6849781,36.33856331,89.17124508,0.021991747,0.076240924,0.006432743,0.015785315,0.019607844,0.074509807,0.006535948,0.015686275,0.009572411,0.027440648,0.004336775,0.003652495,1,4043,356.508,0.288450684,0.084373882,0.207045171,5.43946E-06,1.59108E-06,3.90436E-06,7.13457E-05,2.08691E-05,5.12108E-05
52,1,3HR,Male,WT,Mouse 1,IR,1,657.5137476,2365.330785,847.636625,441.2392312,0.023297089,0.083808624,0.030033541,0.01563403,0.015686275,0.078431375,0.024836602,0.015686275,0.023629163,0.033647719,0.019248736,0.004341862,1,24294,945.658,0.277979618,0.358358598,0.186544408,9.58965E-07,1.23625E-06,6.43535E-07,1.14423E-05,1.47509E-05,7.67862E-06
52,2,3HR,Male,WT,Mouse 1,IR,1,53.36078614,227.1333395,53.9032695,42.13856352,0.017141274,0.072962846,0.017315538,0.01353632,0.015686275,0.06797386,0.014379085,0.013071896,0.007427917,0.024216487,0.012352127,0.003082911,2,2158,257.228,0.234931544,0.237319936,0.185523462,7.94313E-06,8.02388E-06,6.27262E-06,0.000108865,0.000109972,8.59701E-05
57,1,3HR,Male,WT,Mouse 1,IR,1,213.749028,985.5032973,382.9869388,276.0679825,0.015546515,0.07167818,0.027855621,0.020079132,0.015686275,0.070588239,0.026143791,0.020915033,0.004563244,0.014515383,0.012202951,0.004088104,1,10809,784.544,0.216893265,0.388620657,0.280128928,1.43829E-06,2.57708E-06,1.85763E-06,2.0066E-05,3.59534E-05,2.59163E-05
58,1,3HR,Male,WT,Mouse 1,IR,1,3275.000104,9543.251217,1706.28894,1908.33993,0.032485569,0.094661964,0.016925119,0.018929315,0.019607844,0.094117649,0.014379085,0.018300654,0.032084103,0.028188902,0.010481328,0.005009752,1,93042,1940.482,0.343174462,0.17879535,0.199967483,3.4915E-07,1.81908E-07,2.03449E-07,3.68838E-06,1.92166E-06,2.14922E-06
65,1,3HR,Male,WT,Mouse 1,IR,1,193.117653,368.9477236,41.64575298,127.5111144,0.035762528,0.068323653,0.007712176,0.023613169,0.031372551,0.06797386,0.006535948,0.023529412,0.014082904,0.012711248,0.005337492,0.004581516,1,3826,378.444,0.523428227,0.112877111,0.345607538,9.34724E-06,2.01573E-06,6.17176E-06,0.000136808,2.95026E-05,9.03313E-05
67,1,3HR,Male,WT,Mouse 1,IR,1,3487.90598,4460.16613,1015.568657,1116.175197,0.064307422,0.082233234,0.018724301,0.02057921,0.062745102,0.081045754,0.016993465,0.020915033,0.041332036,0.01994922,0.009159438,0.00547091,1,48561,1568.49,0.78201257,0.227697495,0.250254175,1.32426E-06,3.85583E-07,4.23781E-07,1.61037E-05,4.6889E-06,5.1534E-06
75,1,3HR,Male,WT,Mouse 1,IR,1,46.16078642,387.505892,18.75032747,64.43398893,0.008586456,0.072080709,0.003487784,0.011985489,0.007843138,0.070588239,0.002614379,0.013071896,0.004137335,0.030399174,0.003073707,0.0026486,1,4194,423.756,0.119122799,0.048387206,0.166278733,2.04732E-06,8.31613E-07,2.85777E-06,2.84031E-05,1.15372E-05,3.96468E-05
75,2,3HR,Male,WT,Mouse 1,IR,1,662.8470868,5676.444592,421.5124323,817.411791,0.01028515,0.088079268,0.006540451,0.012683473,0.007843138,0.084967323,0.003921569,0.013071896,0.005213283,0.035452263,0.006325271,0.00286202,2,57855,1971.438,0.116771524,0.074256416,0.144000664,1.77775E-07,1.13049E-07,2.19229E-07,2.01835E-06,1.28349E-06,2.48899E-06
89,1,3HR,Male,WT,Mouse 1,IR,1,2388.592233,7520.801507,1015.59088,1306.724229,0.030885504,0.097247133,0.013132018,0.016896495,0.019607844,0.095424838,0.009150327,0.015686275,0.031155423,0.030923587,0.010538231,0.004177606,1,68596,2177.544,0.317598095,0.135037586,0.173748001,4.50252E-07,1.9144E-07,2.46319E-07,4.62998E-06,1.96859E-06,2.53292E-06
103,1,3HR,Male,WT,Mouse 1,IR,1,657.5176663,1067.602642,51.43529586,244.0549097,0.052804181,0.085737443,0.004130686,0.019599655,0.047058824,0.083660133,0.002614379,0.018300654,0.036131701,0.029478091,0.003968758,0.006506567,1,10237,553.596,0.61588239,0.048178315,0.228600886,5.15817E-06,4.03506E-07,1.91459E-06,6.01624E-05,4.70629E-06,2.23308E-05
103,2,3HR,Male,WT,Mouse 1,IR,1,400.7804046,1215.083694,131.7660172,216.9542558,0.030984183,0.093937665,0.010186781,0.016772652,0.019607844,0.09150327,0.006535948,0.015686275,0.031956193,0.036324866,0.011658379,0.0045462,2,10930,504.488,0.329837695,0.108441927,0.178550874,2.83478E-06,9.32002E-07,1.53455E-06,3.01773E-05,9.92149E-06,1.63359E-05
114,1,3HR,Male,WT,Mouse 1,IR,1,184.290202,573.2915208,94.25621204,190.4130769,0.022136961,0.068863846,0.011322068,0.022872442,0.019607844,0.06797386,0.010457517,0.023529412,0.006024949,0.012327657,0.005105828,0.004490485,1,6379,452.724,0.321459843,0.16441236,0.332140054,3.47029E-06,1.7749E-06,3.58558E-06,5.03935E-05,2.5774E-05,5.20677E-05
