ImageNumber,ObjectNumber,Metadata_Time,SEX,GENOTYPE,Metadata_Mouse,Metadata_Treatment,Metadata_Well,CASP_Intensity_IntegratedIntensity_CASPGray,DNA_Intensity_IntegratedIntensity_,EDU_Intensity_IntegratedIntensity_EdU,TUNEL_Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
3,1,0HR,Male,WT,BY51,NOIR,1,1204.40788,3991.06024,1904.60528,483.6862913,0.041057027,0.136051142,0.064926036,0.016488369,0.035294119,0.142483667,0.048366014,0.015686275,0.0285816,0.052013394,0.05297083,0.005974328,1,26159,719.398,0.301776422,0.477217873,0.121192431,0.046041817,0.072808795,0.018490244,1.15362E-05,1.8243E-05,4.63292E-06
13,1,0HR,Male,WT,BY51,NOIR,1,393.168639,369.573866,59.19477302,72.97255165,0.085230574,0.080115731,0.012832164,0.015818893,0.054901961,0.071895428,0.010457517,0.015686275,0.073593072,0.031396291,0.010422654,0.003719292,1,3165,316.024,1.063843186,0.160170343,0.197450519,0.124223899,0.01870293,0.023056098,0.000336127,5.06067E-05,6.23856E-05
17,1,0HR,Male,WT,BY51,NOIR,1,3437.14127,4170.858943,1936.598745,543.231392,0.10447873,0.126781535,0.058866762,0.016512596,0.050980393,0.129411772,0.048366014,0.015686275,0.110807721,0.045246522,0.043325016,0.00418034,1,29537,748.194,0.824084755,0.464316528,0.130244489,0.116367311,0.065565181,0.018391556,2.79001E-05,1.57198E-05,4.40954E-06
32,1,0HR,Male,WT,BY51,NOIR,1,3848.505993,9244.482593,3274.823619,2211.668041,0.059824436,0.143704066,0.050906632,0.034380041,0.050980393,0.135947719,0.037908498,0.020915033,0.037349886,0.064813208,0.043565628,0.038019638,1,58926,1253.026,0.416303017,0.354246285,0.23924195,0.06531083,0.05557519,0.037532974,7.06484E-06,6.01171E-06,4.06004E-06
34,1,0HR,Male,WT,BY51,NOIR,1,143.2745144,541.7503414,36.63006668,87.55032956,0.021873972,0.082709976,0.005592377,0.013366463,0.019607844,0.077124186,0.003921569,0.013071896,0.007728817,0.027667679,0.004327724,0.005920853,1,4957,460.138,0.264465942,0.067614294,0.161606413,0.028903473,0.007389564,0.017661959,5.3352E-05,1.36402E-05,3.26017E-05
34,2,0HR,Male,WT,BY51,NOIR,1,5643.855074,16459.77429,2710.915109,2316.117723,0.044530969,0.129870398,0.021389578,0.01827456,0.039215688,0.122875817,0.015686275,0.015686275,0.028349757,0.053445777,0.020519634,0.00799032,2,118180,2223.55,0.342887756,0.16469941,0.14071382,0.047756431,0.022938865,0.019598221,2.9014E-06,1.39363E-06,1.19067E-06
37,1,0HR,Male,WT,BY51,NOIR,1,1313.35298,4146.802729,1399.053633,385.4509931,0.044512895,0.140545763,0.04741751,0.013063921,0.035294119,0.146405235,0.043137256,0.013071896,0.047144549,0.051333192,0.035849579,0.003307648,1,26101,727.296,0.316714603,0.337381285,0.09295137,0.05031811,0.053601534,0.014767671,1.21342E-05,1.2926E-05,3.56122E-06
45,1,0HR,Male,WT,BY51,NOIR,1,2555.972623,6902.685155,1832.705932,1203.126834,0.06173996,0.166735553,0.044269329,0.029061737,0.043137256,0.168627456,0.03398693,0.018300654,0.053021807,0.076001744,0.038378906,0.034864083,1,37479,873.652,0.370286717,0.265506233,0.174298379,0.068197461,0.048899542,0.032101359,9.87985E-06,7.08413E-06,4.65056E-06
46,1,0HR,Male,WT,BY51,NOIR,1,2757.243215,5291.044586,2022.389597,739.2758414,0.079864535,0.153256998,0.058579238,0.021413389,0.070588239,0.155555561,0.044444446,0.018300654,0.051523197,0.065304571,0.047100004,0.009004039,1,30707,860.34,0.521115097,0.382228795,0.139722096,0.089792009,0.065860866,0.024075157,1.69706E-05,1.24476E-05,4.55017E-06
46,2,0HR,Male,WT,BY51,NOIR,1,818.0000229,1852.56737,979.898066,293.0431478,0.048577708,0.110016472,0.058192177,0.017402646,0.039215688,0.111111112,0.041830067,0.015686275,0.037279044,0.051472952,0.052025834,0.006677425,2,13761,718.946,0.441549407,0.528940584,0.158182181,0.059443356,0.071208347,0.021295193,3.2087E-05,3.84377E-05,1.1495E-05
