ImageNumber,ObjectNumber,Metadata_Day,Sex,Metadata_Genotype,Metadata_Mouse,Cre,Tg,Metadata_Treatment,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized ,,,,,Averages of NOUV,,,,,,,,,,,
5,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,1.203921605,1029.274536,235.1424903,0.4601307355,0.0001497042533,0.1279873833,0.02923930493,5.72E-05,0,0.1045751646,0.01307189558,0,0.002316146023,0.0960355431,0.03538517857,0.0008843321996,1,6550,358.202,0.001169679772,0.2284545882,0.0004470437375,0.0001838048252,0.03589961683,0.00007024896726,0.0000001785770645,0.00003487856308,0.00000006825095229,0.006380130032,0.2309461978,0.002834217864,0.07575646193,2.066415103,0.004282725516,0.05669488747,1.871428704,0.005046258692,0.1717087158,2.835655535,0.002386396933,,,,Mouse,CASP,EDU,TUNEL,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
5,2,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,6.450980641,3217.073288,177.1660184,86.95686502,0.0001974346772,0.09845973214,0.005422232307,0.002661347402,0,0.08366013318,0,0,0.002210137557,0.06114656645,0.01980958316,0.01690186588,2,28860,935.034,0.002005232727,0.05507055716,0.02702980543,0.0002235267028,0.006138808677,0.003013058386,0.00000006948138346,0.000001908196714,0.0000009365836946,0.03418669053,0.1740043592,0.5356188605,0.1298725859,0.4981236402,0.2589483482,0.06894716309,0.3200129634,0.216439795,0.06680902256,0.1551379442,0.03274768163,,,,AL16,188.6985694,1018.169576,162.3483615,0.01544028248,0.1105561639,0.1043831312,0.003242427162,0.01918252214,0.01392108632,0.000001038873453,0.00001231070229,0.00002856760164
5,3,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,50.33725639,4584.077253,547.576486,0.7267974124,0.001809130836,0.1647526327,0.01968000597,2.61E-05,0,0.1568627506,0.001307189581,0,0.01761458756,0.1022292463,0.03226444635,0.0004529600093,3,24220,826.786,0.01098089182,0.1194518451,0.000158548247,0.002078334285,0.02260844286,0.0000300081508,0.000000453381165,0.000004931950666,0.000000006546170395,0.2667600946,0.5378045769,0.004476775948,0.7111976564,1.080464607,0.001518908701,0.6410654797,1.178566588,0.002155603103,0.4359434278,0.4009715988,0.0002288870767,,,,AL17,531.8249442,4587.026103,479.0551777,0.0803439289,0.4914385762,0.5241917814,0.01228553872,0.08753481241,0.04121885898,0.000005958257887,0.00002190938582,0.00009092384781
6,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,385.2915138,71.27059032,0.01830065413,0,0.06882663698,0.01273143807,3.27E-06,0,0.06143790856,0.001307189581,0,0,0.0398526269,0.0200972769,0.0001047760658,1,4155,303.094,0,0.1849783547,0.00004749820195,0,0.01715296999,0.000004404489563,0,0.00004451945962,0.00000001143157688,0,0.06999871369,0.0001127245734,0,1.673164322,0.0004550377164,0,0.8941755717,0.0003163917508,0,3.619468262,0.0003997054855,,,,AL18,1283.787874,2863.800424,746.6561066,0.2555858697,0.4938540993,0.1664758967,0.02719174903,0.05719756228,0.01719107927,0.00002094925487,0.00002877546069,0.00001412527398
6,2,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0.349019622,423.4431479,2.977777882,0.01830065437,6.84E-05,0.08304435141,0.0005839925243,3.59E-06,0,0.06666667014,0,0,0.001161683753,0.05550763477,0.002743736862,0.0001417530934,2,3673,303.75,0.0008242419879,0.007032296771,0.00004321868109,0.00009502303892,0.0008107209043,0.00000498248145,0.0000002244056597,0.000001914592097,0.00000001176658892,0.001849614263,0.002924637223,0.0001127245748,0.05338354844,0.0636084588,0.0004140394613,0.02931000584,0.04226246699,0.0003579111738,0.2157746728,0.155657894,0.0004114191929,,,,AL21,244.8629202,1489.254132,59.90330716,0.02881271879,0.1774225432,0.0158161986,0.004180866294,0.02755329406,0.001938442228,0.00000128804193,0.000005804738834,0.000001298457888
6,3,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,410.6052396,77.2130742,0.04967320478,0,0.07158389812,0.01346113567,8.66E-06,0,0.0601307191,0,0,0,0.04276879399,0.02122940806,0.0002208626899,3,4140,342.438,0,0.1880469774,0.0001209755746,0,0.01865050101,0.00001199835864,0,0.00004542197521,0.00000002922115327,0,0.07583514953,0.0003059667036,0,1.700920596,0.001158958591,0,0.9722410996,0.0008618891345,0,3.692843513,0.001021718646,,,,,,,,,,,,,,,,
6,4,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,1893.011813,295.1973942,0.07843137486,0,0.08545171367,0.01332539133,3.54E-06,0,0.08104575425,0,0,0,0.04946581135,0.02730302176,0.0001510598017,4,18556,837.474,0,0.1559405981,0.0000414320578,0,0.01590846056,0.000004226739322,0,0.000008403783038,0.00000000223281191,0,0.2899293775,0.0004831053146,0,1.410512302,0.0003969234244,0,0.8292999304,0.0003036232542,0,0.6832343933,0.00007807034651,,,,,,,,,,,,,,,,
6,5,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,2032.094172,110.3464087,0.2248366093,0,0.07117917165,0.003865158452,7.88E-06,0,0.05751634017,0,0,0,0.04292257372,0.01173520706,0.0002696651282,5,24281,1034.46,0,0.05430181839,0.00011064281,0,0.004544557829,0.000009259775517,0,0.000002236391351,0.00000000455676496,0,0.108377195,0.00138490191,0,0.4911702521,0.001059969631,0,0.2369054803,0.0006651659735,0,0.181820435,0.0001593274462,,,,,,,,,,,,,,,,
6,6,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,1028.075844,77.48104833,47.19215812,0,0.07771379881,0.005856908937,0.003567326186,0,0.071895428,0,0,0,0.0364675532,0.009980969434,0.02107352526,6,10853,520.258,0,0.07536510925,0.04590338191,0,0.007139136491,0.004348305364,0,0.000006944172971,0.000004229556981,0,0.07609834147,0.290684467,0,0.6816917151,0.4397591745,0,0.3721595418,0.3123558196,0,0.5645669082,0.1478866077,,,,,,,,,,,,,,,,
6,7,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0.02745098155,1620.007885,174.0274562,0.2248366093,1.22E-06,0.07173572533,0.007706126564,9.96E-06,0,0.06797385961,0,0,0.0001075884777,0.03352599378,0.01872526906,0.0002737894137,7,18632,934.518,0.00001694496786,0.1074238328,0.0001387873549,0.000001473324471,0.009340245609,0.00001206722892,0.0000000009094551236,0.000005765555646,0.000000007448870487,0.0001454752794,0.170921807,0.00138490191,0.001097472012,0.9716689533,0.0013295973,0.0004544492509,0.4869022368,0.0008668363569,0.0008744760804,0.4687443615,0.000260450017,,,,,,,,,,,,,,,,
