ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
6,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,2047.486334,8164.461671,2544.983079,1166.190884,0.05432583336,0.2166271769,0.06752588498,0.03094247351,0.03137255087,0.236601308,0.03660130873,0.02614379115,0.07760525585,0.1059557094,0.07364312514,0.02061075212,1,33716,882.62,0.2507803228,0.3117147439,0.1428374498,0.06072743901,0.07548294813,0.03458864884,0.000007438021202,0.000009245306203,0.000004236488605,10.85056452,2.499565965,7.183260717,16.24224889,2.819519012,1.36839763,18.73147409,3.934887563,2.484638233,7.151943463,0.7516509108,0.1481289722
9,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,1387.576512,6070.658977,1205.542519,961.2366306,0.03404260334,0.1489366776,0.02957660744,0.02358284177,0.01960784383,0.1529411823,0.01176470611,0.0209150333,0.0481526092,0.08027215903,0.0414980417,0.01663836125,1,36007,1168.638,0.2285709867,0.1985851164,0.1583413982,0.03853629884,0.03348078205,0.02669582666,0.000006347959749,0.000005515180836,0.0000043975171,7.353401203,1.184028718,5.920826017,14.80382038,1.796240063,1.516927069,11.886582,1.745336082,1.917665876,6.103807451,0.4483886859,0.1537593392
28,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,1124.451014,9531.147998,2656.333406,952.2693102,0.02780610337,0.2356919805,0.06568741576,0.02354829027,0.01568627544,0.2758170068,0.04836601391,0.02352941222,0.04606166297,0.1205141495,0.05702720791,0.01147519102,1,36107,1016.008,0.117976451,0.278700258,0.09991129194,0.03114218889,0.07356837749,0.02637353727,0.000003267412163,0.000007718732046,0.000002767089261,5.958979104,2.608929163,5.865590977,7.64096185,2.520896722,0.9571605716,9.605857154,3.835081973,1.894514566,3.141742464,0.6275391908,0.09675137276
40,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,2497.658894,15868.46715,8718.89828,1444.868018,0.03867722091,0.2457293952,0.1350155362,0.02237434409,0.01568627544,0.2745098174,0.1346405298,0.0209150333,0.06315698649,0.1068303332,0.0873163053,0.01299378043,1,59254,1225.816,0.1573976157,0.5494480466,0.09105277809,0.04215173481,0.1471444675,0.02438431192,0.000002656320513,0.000009272758744,0.000001536652008,13.23623437,8.563303063,8.899798324,10.19414609,4.969861849,0.8722950872,13.00176891,7.670565998,1.751620711,2.554154339,0.7538828247,0.05372909119
45,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,293.7843231,957.9608102,12.42352978,465.4588368,0.02575248274,0.08397272179,0.00108901909,0.04080109018,0.02352941222,0.07450980693,0.001307189581,0.03660130873,0.01821115985,0.03998463546,0.000668797803,0.02416781281,1,9266,493.176,0.3066767658,0.01296872445,0.4858850506,0.0317056252,0.001340765139,0.05023298476,0.0000330969961,0.000001399603329,0.00005243741103,1.556897206,0.01220182266,2.867036797,19.86248483,0.1173045737,4.654829336,9.779649968,0.06989340244,3.608432207,31.82403471,0.1137888885,1.83347591
48,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,589.2431547,1118.848396,107.3150369,278.0679825,0.04873402983,0.09253563771,0.008875613006,0.0229979309,0.04705882445,0.08758170158,0.009150327183,0.0209150333,0.03669158606,0.03810771905,0.003131863471,0.0109559903,1,9883,495.558,0.5266514722,0.09591561939,0.248530528,0.0596218916,0.01085854871,0.02813598933,0.00005328862413,0.000009705111746,0.00002514727593,3.122668397,0.1053999203,1.712785482,34.10955131,0.8675749791,2.380948315,18.39046626,0.5660506024,2.021118406,51.23906166,0.7890334753,0.8792753822
51,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,3164.796171,15255.68019,5256.702107,2040.282413,0.04686018287,0.2258862578,0.07783440346,0.03020984665,0.01960784383,0.2483660132,0.07320261747,0.02875817008,0.05926352522,0.1035366866,0.0557551163,0.01645677138,1,61566,1352.14,0.2074503483,0.3445734336,0.1337391966,0.05140493407,0.08538320025,0.03313975917,0.000003369560282,0.000005596813722,0.000002172289845,16.77169926,5.162892353,12.56730841,13.43590339,3.116732096,1.281235418,15.85593278,4.450982654,2.380558808,3.23996181,0.4550255059,0.0759541904
51,2,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,3093.396172,24626.25692,8882.164949,2807.359562,0.02964073639,0.2359673152,0.08510837125,0.02689995077,0.01176470611,0.2575163543,0.07450980693,0.02352941222,0.04531583611,0.1087778715,0.06114782276,0.01667144675,2,96152,1940.762,0.1256137375,0.3606786439,0.1139986305,0.03217193789,0.09237628909,0.02919710003,0.000001306407953,0.000003751129918,0.000001185608521,16.39331809,8.723656117,17.29219113,8.13560476,3.262406779,1.09211874,9.923484852,4.815528806,2.097342147,1.256161493,0.304969912,0.04145484338
56,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,5810.329574,22026.25681,3506.818402,2057.717711,0.06325476369,0.2397911601,0.03817734717,0.02240156017,0.03529411927,0.2758170068,0.01830065437,0.0209150333,0.07957984985,0.1270317537,0.04362655953,0.01135852775,1,84505,1842.004,0.2637910574,0.1592108197,0.09342112592,0.06875722825,0.04149835397,0.02435024804,0.000003121602951,0.000001884040231,0.00000110551004,30.79158814,3.444236622,12.67470274,17.08491304,1.440092078,0.8949841058,21.20827522,2.163288014,1.749173769,3.001541299,0.1531740025,0.0386541972
57,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,828.325516,6335.000164,983.1307482,701.4483876,0.02571481175,0.1966658439,0.03052063666,0.02177599614,0.01960784383,0.2196078449,0.01568627544,0.0209150333,0.02470635693,0.08758873293,0.03677333444,0.01300615666,1,28862,753.78,0.1307538271,0.1551903272,0.1107258673,0.02869951895,0.03406315391,0.0243035267,0.000004530310689,0.00000537697759,0.000003836389277,4.389674942,0.9655860496,4.320636283,8.468512118,1.40372596,1.060765329,8.852411768,1.775694829,1.745817592,4.35606797,0.4371526496,0.1341394852
