gene,FPKM.refGTF_NoRad_CD24Pos_1,FPKM.refGTF_NoRad_CD24Pos_2,FPKM.refGTF_Rad_CD24Neg_3,FPKM.refGTF_Rad_CD24Neg_1,FPKM.refGTF_Rad_CD24Neg_2,FPKM.refGTF_Rad_CD24Pos_1,FPKM.refGTF_Rad_CD24Pos_2,FPKM.refGTF_Rad_CD24Pos_3
0610005C13Rik,1.986383222,5.139669273,31.54561185,26.92336273,32.99849864,2.944963118,3.275696535,1.40259262
0610007P14Rik,14.465277,22.532269,55.532677,52.525181,58.780529,20.980406,26.170759,29.829611
0610009B22Rik,7.870163,12.791678,24.604856,27.594521,26.842228,13.044758,14.150626,12.460791
0610009L18Rik,0.62523,0.502243,0.780662,0.907782,1.152058,0.512621,0.539958,0.318782
0610009O20Rik,5.143535,8.979607,12.698249,19.049494,13.704913,8.774503,11.781644,10.741791
0610010B08Rik,0.313075093,0.472550887,0.261372125,0.499541205,0.453594053,0.530218459,0.582157266,0.436819212
0610010F05Rik,2.233168,3.16785,3.856222,3.138566,3.754483,3.135048,3.492374,4.531408
0610010K14Rik,6.552648404,10.65509777,12.36758754,15.90706818,16.6185526,9.753742128,12.65844332,15.49905542
0610011F06Rik,9.69839,16.376343,35.323078,41.214653,42.947483,16.034866,21.301807,19.873045
0610012G03Rik,3.598266,6.586162,22.336531,22.664141,25.777767,7.111882,8.202609,7.789471
0610030E20Rik,1.876631,3.140069,6.272909,8.140872,6.365771,3.876349,3.818624,3.2043
0610031J06Rik,18.324972,26.780603,76.652237,63.806942,62.733948,26.7365,28.840521,31.375641
0610031O16Rik,0,0,0,0,0,0,0,0
0610037L13Rik,4.616261,7.187986,9.450298,9.442923,10.134103,6.806214,7.783034,9.10934
0610038B21Rik,0,0,0.023651,0.007769,0.028196,0,0.02309,0.016195
0610039K10Rik,0.023123,0.233971,0.126257,0.652578,0.242164,0.160652,0.844442,0.208867
0610040B10Rik,0.327512,1.020554,1.339659,0.887721,0.874498,0.793282,0.795694,1.0317
0610040F04Rik,0,0.014643731,0.090853765,0.019974472,0.052565757,0.026590148,0.077573737,0.117136415
0610040J01Rik,11.535027,17.964508,37.070793,31.975998,30.825424,16.398842,19.444403,21.990074
0610043K17Rik,0.106746,0.129709,0,0,0.093162,0.066682,0,0
1010001N08Rik,5.165984514,7.588924525,12.35280747,10.63066112,13.32278997,6.898796356,7.956987418,6.095517981
1100001G20Rik,0,0.106557,0.142523,0.304661,0,0.05788,0,0
1110001J03Rik,5.895812,12.055736,23.006649,32.801594,40.06892,11.514381,15.278329,12.334923
1110002L01Rik,1.67572,1.665707,1.165347,1.15614,1.005637,1.872613,2.212314,1.64332
1110004E09Rik,3.31149,6.243727,8.61322,10.310526,10.911209,5.634068,7.254313,9.326089
1110004F10Rik,13.678382,25.60211,32.899467,34.968266,36.202503,22.02457,26.741508,30.578205
1110006O24Rik,0.21646,0.244497,0.511812,0.558093,0.316196,0.577779,0.550687,0.449849
1110007C09Rik,2.769489,6.35269,24.440252,13.842652,14.125824,3.548039,5.186749,4.163786
1110008F13Rik,10.482976,18.022003,39.365128,36.706032,40.753033,16.227798,18.629467,22.307938
1110008L16Rik,3.360361,4.950219,4.496779,7.716348,6.310164,6.152476,7.231248,7.175952
1110008P14Rik,4.341918,7.461832,18.625891,11.480453,15.183514,6.949943,9.480857,9.133896
1110012L19Rik,4.1057,6.192287,12.26306,13.489025,14.113021,7.57333,7.421076,8.279516
1110015O18Rik,0,0,0,0,0,0,0,0
1110017D15Rik,0,0,0.194727983,0,0.066775665,0,0.091431456,0.047738386
1110019D14Rik,1.73216,1.671568,2.010065,2.540165,2.52841,2.507819,2.702892,1.977314
1110020A21Rik,0.78508325,0.818240949,0.704078785,1.392495931,1.733648387,0.761423458,0.843442205,0.434348998
1110025L11Rik,0,0,0,0,0,0,0,0
