ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
3,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,288.7294202,372.878441,26.76078526,0.060252383,0.077812696,0.005584471,0.05882353,0.071895428,0.003921569,0.022619526,0.031435424,0.004775863,1,3330,318.406,13.93376306,0.002251518,0.002907713,1.68E-06,2.16E-05,1.18E-06,0.00023253,4.85E-08,6.27E-08
11,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,5982.949181,10719.3363,5474.571384,0.118051127,0.211506014,0.108020193,0.109803922,0.241830066,0.095424838,0.072701883,0.090083455,0.066881027,1,46430,979.696,1.95802293,2.16E-05,3.86E-05,2.33E-06,5.21E-06,2.06E-06,1.20E-05,2.37E-10,4.25E-10
12,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,6468.717827,13781.57552,5391.657655,0.085669304,0.182518084,0.071405118,0.086274512,0.193464056,0.050980393,0.037114899,0.072709988,0.059516857,1,70124,1270.026,2.556092468,1.59E-05,3.39E-05,1.02E-06,2.76E-06,7.27E-07,6.69E-06,8.86E-11,1.89E-10
20,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,11941.08659,21461.85687,9984.906151,0.122844366,0.220789639,0.102720088,0.094117649,0.240522876,0.092810459,0.10821877,0.091578797,0.061755425,1,90103,1709.814,2.149430004,1.23E-05,2.21E-05,1.14E-06,2.67E-06,1.03E-06,6.18E-06,6.35E-11,1.14E-10
21,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,19718.3574,33712.97213,24533.59281,0.117455771,0.200817089,0.146138545,0.101960786,0.20653595,0.139869288,0.073861807,0.075935445,0.071288201,1,158831,2121.786,1.374155526,4.79E-06,8.19E-06,9.20E-07,1.30E-06,8.81E-07,3.68E-06,2.19E-11,3.75E-11
24,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,5417.274664,14092.76506,7393.676016,0.068071607,0.177084832,0.092906386,0.06666667,0.186928108,0.074509807,0.032602465,0.069752055,0.064559168,1,73493,1387.662,1.906056612,9.21E-06,2.40E-05,1.26E-06,2.54E-06,1.01E-06,5.23E-06,6.57E-11,1.71E-10
28,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,4273.368748,6609.656354,4952.094245,0.097338817,0.150554789,0.11279883,0.082352944,0.166013077,0.103267975,0.065054449,0.055586262,0.060771125,1,39383,1014.422,1.334719419,1.97E-05,3.04E-05,2.86E-06,4.22E-06,2.62E-06,1.64E-05,3.74E-10,5.78E-10
30,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,12654.27877,17075.46706,10713.4578,0.119379988,0.161089312,0.101070357,0.098039217,0.168627456,0.083660133,0.081425516,0.056342144,0.060861311,1,99076,1610.948,1.593833418,1.11E-05,1.50E-05,1.02E-06,1.70E-06,8.44E-07,7.48E-06,7.06E-11,9.52E-11
36,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,11692.4513,20261.98488,18796.09729,0.123271777,0.213619096,0.198164461,0.105882354,0.23137255,0.198692814,0.080306038,0.076585525,0.08626055,1,88692,1444.35,1.077988934,6.56E-06,1.14E-05,2.23E-06,2.61E-06,2.24E-06,6.51E-06,6.86E-11,1.19E-10
38,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,784.501984,934.9032921,160.4457563,0.06765281,0.080622912,0.013836302,0.06666667,0.077124186,0.005228758,0.02290133,0.027574622,0.016501313,1,8889,688.328,5.826911934,0.000421655,0.000502493,1.56E-06,8.68E-06,5.88E-07,9.44E-05,8.14E-09,9.70E-09
