ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EDU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EDU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EDU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EDU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
1,1,MALE,WT,BM30,+,Tg/WT,12HR,NOUV,1,188.1307245,4033.241941,4778.214505,458.4209305,0.003583784,0.076830973,0.091022278,0.008732659,0,0.077124186,0.088888891,0.007843138,0.010089532,0.037983465,0.059103703,0.009152406,1,47013,1187.256,0.046645038,1.184708127,1.14E-01,0.004001675,0.101636026,9.75E-03,9.92E-07,2.52E-05,2.42E-06
18,1,MALE,WT,BM30,+,Tg/WT,12HR,NOUV,1,3.929411886,319.4627537,62.46013272,44.33464207,0.00046651,0.037927431,0.007415426,0.005263522,0,0.03398693,0,0.002614379,0.003273602,0.021498482,0.0144877,0.006471239,1,6752,375.438,0.012300063,0.195516166,1.39E-01,0.000581963,0.009250612,6.57E-03,1.82E-06,2.90E-05,2.06E-05
37,1,MALE,WT,BM30,+,Tg/WT,12HR,NOUV,1,0.03267974,327.181708,51.43921716,33.8483672,4.71E-06,0.047185132,0.007418405,0.004881507,0,0.037908498,0,0.002614379,0.000200364,0.032615842,0.021043813,0.006306542,1,5455,315.368,9.99E-05,0.157219111,1.03E-01,5.99E-06,0.009429737,6.21E-03,1.83E-08,2.88E-05,1.90E-05
37,2,MALE,WT,BM30,+,Tg/WT,12HR,NOUV,1,23.86797461,1038.960811,313.3215778,179.5947772,0.001226011,0.053367619,0.016094184,0.009225127,0,0.050980393,0,0.007843138,0.004046635,0.027290757,0.036357725,0.009515932,2,16820,592.494,0.022972931,0.301572085,1.73E-01,0.001419023,0.018627918,1.07E-02,1.37E-06,1.79E-05,1.03E-05
41,1,MALE,WT,BM30,+,Tg/WT,12HR,NOUV,1,180.2235351,13866.42651,4847.469415,856.7451271,0.001492275,0.114815862,0.040137694,0.007093964,0,0.11503268,0.018300654,0.005228758,0.004694589,0.056907791,0.050814871,0.008961405,1,112706,1903.616,0.012997115,0.349583176,6.18E-02,0.001599059,0.043009861,7.60E-03,1.15E-07,3.10E-06,5.48E-07
43,1,MALE,WT,BM30,+,Tg/WT,12HR,NOUV,1,219.0640578,490.9477258,88.14117896,96.63791168,0.021086154,0.047256495,0.008484087,0.009301945,0,0.043137256,0,0.007843138,0.046057836,0.029910417,0.019529109,0.009451416,1,8484,417.998,0.446206482,0.179532717,1.97E-01,0.025820846,0.010389106,1.14E-02,5.26E-05,2.12E-05,2.32E-05
53,1,MALE,WT,BM30,+,Tg/WT,12HR,NOUV,1,17.24052337,2726.392232,1587.658868,152.8810511,0.00052094,0.08238079,0.047972771,0.004619461,0,0.083660133,0.03398693,0.002614379,0.004522949,0.042775703,0.050904757,0.005995029,1,29696,749.57,0.006323567,0.582329589,5.61E-02,0.000580567,0.053463728,5.15E-03,2.13E-07,1.96E-05,1.89E-06
56,1,MALE,WT,BM30,+,Tg/WT,12HR,NOUV,1,8.935948004,847.3882576,69.12549232,230.5882425,0.000529914,0.050251335,0.00409924,0.013674212,0,0.044444446,0,0.007843138,0.002826521,0.03135689,0.01434757,0.015733489,1,14481,525.036,0.010545282,0.081574758,2.72E-01,0.000617081,0.00477353,1.59E-02,7.28E-07,5.63E-06,1.88E-05
63,1,MALE,WT,BM30,+,Tg/WT,12HR,NOUV,1,46.0640537,4217.878544,4466.356984,353.1085089,0.000928486,0.085017305,0.090025739,0.007117401,0,0.087581702,0.083660133,0.005228758,0.004427566,0.045024463,0.066543657,0.008549897,1,45250,1051.964,0.010921143,1.058910762,8.37E-02,0.00101799,0.098704022,7.80E-03,2.41E-07,2.34E-05,1.85E-06
68,1,MALE,WT,BM30,+,Tg/WT,12HR,NOUV,1,37.14379194,3098.432763,1172.130752,238.3032763,0.0007973,0.066508527,0.025160039,0.005115231,0,0.064052291,0.00130719,0.002614379,0.00417635,0.038284215,0.039719657,0.00631906,1,42143,1003.448,0.011987929,0.378297947,7.69E-02,0.000881375,0.027813178,5.65E-03,2.84E-07,8.98E-06,1.82E-06
