ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EDU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EDU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EDU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EDU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
4,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0.043137256,531.0418445,35.70196216,447.6235428,3.10E-06,0.038190712,0.002567563,0.032191553,0,0.03006536,0.00130719,0.02875817,0.000144077,0.023973747,0.003792974,0.02113321,1,10990,737.048,8.12E-05,0.067230036,8.43E-01,3.93E-06,0.003248586,4.07E-02,7.39E-09,6.12E-06,7.67E-05
5,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,1.632679791,4806.308627,150.2705944,1159.568663,3.00E-05,0.088195622,0.002757461,0.021278051,0,0.088888891,0.002614379,0.015686275,0.000791275,0.046674797,0.002986929,0.021328476,1,49392,1242.294,0.000339695,0.031265282,2.41E-01,3.31E-05,0.003042408,2.35E-02,6.88E-09,6.33E-07,4.88E-06
5,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0.682352966,1003.214406,27.77516447,293.8143888,3.30E-05,0.048508989,0.001343028,0.014206972,0,0.044444446,0,0.013071896,0.000769513,0.027138149,0.001980807,0.008088987,2,17456,864.474,0.000680167,0.02768617,2.93E-01,3.91E-05,0.001591153,1.68E-02,3.90E-08,1.59E-06,1.68E-05
6,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0.164705887,246.5437979,8.600000311,130.3921612,1.82E-05,0.027278579,0.000951538,0.014427103,0,0.026143791,0,0.013071896,0.000339667,0.011421044,0.001640805,0.0086337,1,7141,457.412,0.000668059,0.034882242,5.29E-01,2.31E-05,0.001204313,1.83E-02,9.36E-08,4.88E-06,7.41E-05
7,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,49.00523013,2076.662799,32.05882471,457.4248513,0.001747192,0.074039603,0.001142999,0.016308644,0,0.078431375,0.00130719,0.015686275,0.00807458,0.034695102,0.001431633,0.008811884,1,25161,779.722,0.023598068,0.015437665,2.20E-01,0.001947666,0.001274147,1.82E-02,9.38E-07,6.14E-07,8.75E-06
7,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,288.4536028,4253.80141,88.14510141,1006.802646,0.005358703,0.079024344,0.001637502,0.018703722,0,0.084967323,0.00130719,0.015686275,0.015388986,0.034826534,0.001975218,0.011557131,2,48706,1354.522,0.067810783,0.02072149,2.37E-01,0.005922342,0.001809738,2.07E-02,1.39E-06,4.25E-07,4.86E-06
8,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,60.65098198,1286.384348,42.8692828,295.9764799,0.003801616,0.080630835,0.002687055,0.018551867,0,0.081045754,0.002614379,0.018300654,0.012258732,0.046884987,0.00267039,0.010043022,1,13671,491.042,0.047148414,0.033325408,2.30E-01,0.00443647,0.003135783,2.16E-02,3.45E-06,2.44E-06,1.68E-05
10,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,158.8248409,2720.661512,59.76209375,710.9751863,0.003528892,0.060449741,0.00132784,0.015796991,0,0.061437909,0.00130719,0.015686275,0.014200909,0.025270692,0.001654725,0.008893487,1,40168,1087.664,0.058377288,0.021966016,2.61E-01,0.003954014,0.001487804,1.77E-02,1.45E-06,5.47E-07,6.51E-06
10,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,15.91764754,1954.205281,62.43921809,677.7072111,0.000415561,0.051018308,0.001630097,0.017692857,0,0.049673203,0.00130719,0.015686275,0.003044179,0.023441648,0.001677934,0.010207403,2,34565,815.678,0.00814533,0.031951207,3.47E-01,0.000460513,0.001806429,1.96E-02,2.36E-07,9.24E-07,1.00E-05
10,3,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,267.0705954,1612.636646,52.59477334,485.9111266,0.010020659,0.060507153,0.001973389,0.018231695,0,0.064052291,0.00130719,0.018300654,0.024622185,0.025287959,0.001950417,0.00929726,3,23453,700.118,0.165611141,0.03261415,3.01E-01,0.011387481,0.002242561,2.07E-02,7.06E-06,1.39E-06,1.28E-05
12,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,6.470588404,277.278439,14.2810463,200.4104635,0.000859308,0.036823166,0.001896553,0.026614935,0,0.027450981,0.00130719,0.023529412,0.005067921,0.027853883,0.002340521,0.01784452,1,5779,373.96,0.023336068,0.051504352,7.23E-01,0.001119673,0.002471197,3.47E-02,4.04E-06,8.91E-06,1.25E-04
12,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,45.81699478,6828.524365,463.2692982,1404.303311,0.000669917,0.099843905,0.006773735,0.020533152,0,0.101960786,0.005228758,0.018300654,0.004319289,0.053898481,0.006531313,0.015355528,2,60864,1864.388,0.006709648,0.067843252,2.06E-01,0.000752777,0.007611549,2.31E-02,1.10E-07,1.11E-06,3.38E-06
15,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0,299.8993546,13.73856262,90.44183309,0,0.03942413,0.001806042,0.011889291,0,0.037908498,0.00130719,0.010457517,0,0.020337459,0.002534062,0.007081283,1,6028,335.68,0,0.045810577,3.02E-01,0,0.002279125,1.50E-02,0.00E+00,7.60E-06,5.00E-05
16,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,4.440523012,2529.559542,31.64313838,407.8954383,0.000156417,0.08910351,0.001114627,0.014368081,0,0.088888891,0.00130719,0.013071896,0.002219381,0.040722726,0.001333289,0.007576542,1,25095,705.888,0.001755453,0.012509347,1.61E-01,0.000176949,0.001260934,1.63E-02,7.00E-08,4.98E-07,6.43E-06
18,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0.274509812,480.3385754,21.73987013,217.4980461,2.15E-05,0.037694309,0.001706024,0.017068041,0,0.03398693,0.00130719,0.015686275,0.000459202,0.02078556,0.001947747,0.009024359,1,10469,529.31,0.000571492,0.045259472,4.53E-01,2.62E-05,0.002076595,2.08E-02,5.46E-08,4.32E-06,4.33E-05
20,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,115.4183038,2985.6942,51.21960974,656.0157077,0.002566106,0.066381213,0.00113877,0.014585257,0,0.06797386,0,0.013071896,0.011393697,0.026583049,0.001609911,0.009737664,1,40881,1023.18,0.038657108,0.017155009,2.20E-01,0.002823275,0.001252895,1.60E-02,9.46E-07,4.20E-07,5.37E-06
20,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,117.5163429,2928.985697,42.65490349,537.552959,0.002969084,0.07400166,0.001077688,0.013581429,0,0.078431375,0,0.013071896,0.014039262,0.031778382,0.00138417,0.007802659,2,35767,956.824,0.040121856,0.014563029,1.84E-01,0.003285608,0.001192577,1.50E-02,1.12E-06,4.07E-07,5.13E-06
