x,diff,lwr,upr,p adj
24HR-12HR,eduDiff,-0.255745278643583,-0.488638542398132,-0.0228520148890339,0.0322235268390516
3HR-12HR,eduDiff,0.115163244207238,-0.117730019547312,0.348056507961787,0.437977275039143
6HR-12HR,eduDiff,0.128746626316059,-0.104146637438491,0.361639890070608,0.352180286701982
3HR-24HR,eduDiff,0.370908522850821,0.138015259096271,0.60380178660537,0.00409584756861991
6HR-24HR,eduDiff,0.384491904959642,0.151598641205092,0.617385168714191,0.00327671749342462
6HR-3HR,eduDiff,0.0135833821088211,-0.219309881645728,0.24647664586337,0.997493316914858
24HR-12HR,caspDiff,-0.026258312062723,-0.420797620531959,0.368280996406513,0.996295436749314
3HR-12HR,caspDiff,-0.00628185984632351,-0.400821168315559,0.388257448622912,0.999948151068847
6HR-12HR,caspDiff,0.280681486983621,-0.113857821485615,0.675220795452857,0.182431663202325
3HR-24HR,caspDiff,0.0199764522163995,-0.374562856252836,0.414515760685635,0.998352815530394
6HR-24HR,caspDiff,0.306939799046344,-0.0875995094228918,0.70147910751558,0.136046563926571
6HR-3HR,caspDiff,0.286963346829945,-0.107575961639291,0.681502655299181,0.170172729045405
24HR-12HR,tunelDiff,0.0269840747105761,-0.211185695244497,0.26515384466565,0.982503913404435
3HR-12HR,tunelDiff,0.125899007242023,-0.112270762713051,0.364068777197097,0.386303101013796
6HR-12HR,tunelDiff,0.107672718237185,-0.130497051717889,0.345842488192258,0.507371704441406
3HR-24HR,tunelDiff,0.0989149325314469,-0.139254837423627,0.337084702486521,0.571135434528145
6HR-24HR,tunelDiff,0.0806886435266084,-0.157481126428465,0.318858413481682,0.707778280471201
6HR-3HR,tunelDiff,-0.0182262890048386,-0.256396058959912,0.219943480950235,0.99441009938308
24HR-12HR,eduAreaDiff,-1.75961960863507e-06,-4.48076135374685e-06,9.61522136476706e-07,0.240780497972975
3HR-12HR,eduAreaDiff,3.40765389237938e-07,-2.38037635587384e-06,3.06190713434972e-06,0.976715642300512
6HR-12HR,eduAreaDiff,7.70712361400758e-07,-1.95042938371102e-06,3.49185410651254e-06,0.801899219213334
3HR-24HR,eduAreaDiff,2.10038499787301e-06,-6.20756747238768e-07,4.82152674298479e-06,0.139786158228152
6HR-24HR,eduAreaDiff,2.53033197003583e-06,-1.90809775075948e-07,5.25147371514761e-06,0.0686333809101138
6HR-3HR,eduAreaDiff,4.2994697216282e-07,-2.29119477294896e-06,3.1510887172746e-06,0.955374502779879
24HR-12HR,caspAreaDiff,4.06670819675645e-07,-4.92366054888573e-06,5.73700218823702e-06,0.994459917390639
3HR-12HR,caspAreaDiff,-1.06323848495803e-06,-6.39356985351941e-06,4.26709288360335e-06,0.916524630346898
6HR-12HR,caspAreaDiff,1.44124936992722e-06,-3.88908199863416e-06,6.7715807384886e-06,0.822067085535604
3HR-24HR,caspAreaDiff,-1.46990930463368e-06,-6.80024067319506e-06,3.8604220639277e-06,0.813717706387185
6HR-24HR,caspAreaDiff,1.03457855025157e-06,-4.29575281830981e-06,6.36490991881295e-06,0.922301146625164
6HR-3HR,caspAreaDiff,2.50448785488525e-06,-2.82584351367613e-06,7.83481922344663e-06,0.477659653720433
24HR-12HR,tunelAreaDiff,9.00834508064175e-07,-2.97875158704198e-06,4.78042060317033e-06,0.876900727925319
3HR-12HR,tunelAreaDiff,1.91150522995984e-06,-1.96808086514631e-06,5.791091325066e-06,0.440782600981487
6HR-12HR,tunelAreaDiff,1.00737546498101e-06,-2.87221063012515e-06,4.88696156008716e-06,0.838293062471159
3HR-24HR,tunelAreaDiff,1.01067072189567e-06,-2.86891537321049e-06,4.89025681700183e-06,0.837029953801533
6HR-24HR,tunelAreaDiff,1.06540956916831e-07,-3.77304513818933e-06,3.98612705202299e-06,0.999734667079935
6HR-3HR,tunelAreaDiff,-9.04129764978839e-07,-4.78371586008499e-06,2.97545633012732e-06,0.875775558174882
