Measurement,Mouse,Time,Pval
AreaShape_Area,DH7,0HR,0.889895742275411
AreaShape_Area,DH7,12HR,0.875882432517263
AreaShape_Area,DH7,24HR,0.413620257498157
AreaShape_Area,DH7,6HR,0.0618308207459042
AreaShape_Area,DH8,0HR,0.437648619475332
AreaShape_Area,DH8,12HR,0.000518715058287258
AreaShape_Area,DH8,24HR,0.000268295187129889
AreaShape_Area,DH8,6HR,0.418246070540029
AreaShape_Area,DH9,0HR,0.00564649727555763
AreaShape_Area,DH9,12HR,1.55868532754526e-05
AreaShape_Area,DH9,24HR,0.149410552850974
AreaShape_Area,DH9,6HR,0.483506406798453
AreaShape_Area,DH10,0HR,0.18880264322873
AreaShape_Area,DH10,12HR,0.00825370940893793
AreaShape_Area,DH10,24HR,0.119609447396221
AreaShape_Area,DH10,6HR,0.178977770406055
AreaShape_Area,CX36,0HR,1.4359059988715e-07
AreaShape_Area,CX36,12HR,0.000121670718964258
AreaShape_Area,CX36,24HR,0.116212488592235
AreaShape_Area,CX36,6HR,0.381850145877003
AreaShape_Area,CX37,0HR,0.153145638975635
AreaShape_Area,CX37,12HR,8.10216355758497e-07
AreaShape_Area,CX37,24HR,0.00153860080083892
AreaShape_Area,CX37,6HR,0.298377832036052
AreaShape_Area,CX38,0HR,0.0394948186727613
AreaShape_Area,CX38,12HR,4.36089764909584e-06
AreaShape_Area,CX38,24HR,0.403851766700113
AreaShape_Area,CX38,6HR,0.184475672831558
AreaShape_Area,BY51,0HR,0.757943000482358
AreaShape_Area,BY51,24HR,0.00692031954933552
AreaShape_Area,BY51,3HR,0.0189276774634708
AreaShape_Area,BY51,6HR,0.00845457369844517
AreaShape_Area,BY53,24HR,9.7781523073907e-06
AreaShape_Area,BY53,6HR,0.00092187279893847
AreaShape_Area,BY52,0HR,0.328201820323085
AreaShape_Area,BY52,24HR,0.00359904533184106
AreaShape_Area,BY52,3HR,0.69794920349244
AreaShape_Area,BY52,6HR,0.662598067626703
AreaShape_Area,BY53,0HR,1.00474047999209e-08
AreaShape_Area,BY53,12HR,0.000532257852459445
AreaShape_Area,BY53,3HR,0.00165354291052702
AreaShape_Area,CX23,0HR,0.166073844265333
AreaShape_Area,CX23,12HR,1.19374952464167e-07
AreaShape_Area,CX23,24HR,0.255635436735994
AreaShape_Area,CX23,3HR,5.7550054838853e-07
AreaShape_Area,CX23,6HR,0.00548759872452821
AreaShape_Area,CX24,0HR,0.00420713644104182
AreaShape_Area,CX24,12HR,1.72611123174478e-08
AreaShape_Area,CX24,24HR,0.147653841718513
AreaShape_Area,CX24,3HR,0.136924348232144
AreaShape_Area,CX24,6HR,0.749584400114792
AreaShape_Perimeter,DH7,0HR,0.320048062372286
AreaShape_Perimeter,DH7,12HR,0.48491729768785
AreaShape_Perimeter,DH7,24HR,0.798363345272408
AreaShape_Perimeter,DH7,6HR,0.265570340796586
AreaShape_Perimeter,DH8,0HR,0.65677647614597
AreaShape_Perimeter,DH8,12HR,0.399415403803663
AreaShape_Perimeter,DH8,24HR,0.0514968549139644
AreaShape_Perimeter,DH8,6HR,0.965207475205702
AreaShape_Perimeter,DH9,0HR,0.0277999853125295
AreaShape_Perimeter,DH9,12HR,0.00225432076383032
AreaShape_Perimeter,DH9,24HR,0.610033681624731
AreaShape_Perimeter,DH9,6HR,0.00186438244379441
AreaShape_Perimeter,DH10,0HR,0.65072521150506
AreaShape_Perimeter,DH10,12HR,0.27922548011513
AreaShape_Perimeter,DH10,24HR,0.720567342900688
AreaShape_Perimeter,DH10,6HR,0.758593687772394
AreaShape_Perimeter,CX36,0HR,0.0244968926559945
AreaShape_Perimeter,CX36,12HR,0.246734102951495
AreaShape_Perimeter,CX36,24HR,0.499568831192946
AreaShape_Perimeter,CX36,6HR,0.282438689771413
AreaShape_Perimeter,CX37,0HR,0.00348694808157852
AreaShape_Perimeter,CX37,12HR,0.379946560587655
AreaShape_Perimeter,CX37,24HR,0.000117320022182131
AreaShape_Perimeter,CX37,6HR,0.0679636049821437
AreaShape_Perimeter,CX38,0HR,0.47327628302316
AreaShape_Perimeter,CX38,12HR,3.69782901045222e-05
AreaShape_Perimeter,CX38,24HR,0.637557087712522
AreaShape_Perimeter,CX38,6HR,0.0356882610523014
AreaShape_Perimeter,BY51,0HR,0.534204911355178
AreaShape_Perimeter,BY51,24HR,0.628813153543435
AreaShape_Perimeter,BY51,3HR,0.00291073570322984
AreaShape_Perimeter,BY51,6HR,0.026095882725736
AreaShape_Perimeter,BY53,24HR,5.35655691094226e-10
AreaShape_Perimeter,BY53,6HR,0.0808537551660636
AreaShape_Perimeter,BY52,0HR,0.891202094227233
AreaShape_Perimeter,BY52,24HR,0.582171344880217
AreaShape_Perimeter,BY52,3HR,0.771933097819629
AreaShape_Perimeter,BY52,6HR,0.113930773685657
AreaShape_Perimeter,BY53,0HR,0.0185841790779772
AreaShape_Perimeter,BY53,12HR,0.293601225249636
AreaShape_Perimeter,BY53,3HR,0.216644756128067
AreaShape_Perimeter,CX23,0HR,0.0397346045353819
AreaShape_Perimeter,CX23,12HR,0.0186512745228066
AreaShape_Perimeter,CX23,24HR,0.833163260217001
AreaShape_Perimeter,CX23,3HR,0.000417742646306149
AreaShape_Perimeter,CX23,6HR,0.971809530092248
AreaShape_Perimeter,CX24,0HR,0.400798233995529
AreaShape_Perimeter,CX24,12HR,0.000776760847376889
AreaShape_Perimeter,CX24,24HR,0.575075467807429
AreaShape_Perimeter,CX24,3HR,1.84380981164567e-05
AreaShape_Perimeter,CX24,6HR,0.27364088835723
CASP.intensity.corrected,DH7,0HR,0.96019915860631
CASP.intensity.corrected,DH7,12HR,0.0802479827261128
CASP.intensity.corrected,DH7,24HR,0.346733929452832
CASP.intensity.corrected,DH7,6HR,2.68354180852805e-34
CASP.intensity.corrected,DH8,0HR,0.0007112472546285
CASP.intensity.corrected,DH8,12HR,0.108077836154805
CASP.intensity.corrected,DH8,24HR,0.418987678206006
CASP.intensity.corrected,DH8,6HR,2.10425875090865e-25
CASP.intensity.corrected,DH9,0HR,0.902883388767979
CASP.intensity.corrected,DH9,12HR,2.42552292868882e-12
CASP.intensity.corrected,DH9,24HR,2.34628803231471e-06
CASP.intensity.corrected,DH9,6HR,5.81448861709806e-16
CASP.intensity.corrected,DH10,0HR,0.00146636176654617
CASP.intensity.corrected,DH10,12HR,0.000109963312280421
CASP.intensity.corrected,DH10,24HR,0.80504406927642
CASP.intensity.corrected,DH10,6HR,4.12630533635711e-24
CASP.intensity.corrected,CX36,0HR,5.6572156986639e-06
CASP.intensity.corrected,CX36,12HR,8.96429571497334e-17
CASP.intensity.corrected,CX36,24HR,3.51406809376593e-05
CASP.intensity.corrected,CX36,6HR,3.9882743554398e-25
CASP.intensity.corrected,CX37,0HR,0.247057987071168
CASP.intensity.corrected,CX37,12HR,3.59078020187318e-07
CASP.intensity.corrected,CX37,24HR,0.848820281990772
CASP.intensity.corrected,CX37,6HR,1.75039568496298e-23
CASP.intensity.corrected,CX38,0HR,0.490224949487873
CASP.intensity.corrected,CX38,12HR,1.20066006912684e-36
CASP.intensity.corrected,CX38,24HR,0.00764417032657753
CASP.intensity.corrected,CX38,6HR,4.61352596227174e-53
CASP.intensity.corrected,BY51,0HR,0.0754326392036564
CASP.intensity.corrected,BY51,24HR,2.82537836892353e-05
CASP.intensity.corrected,BY51,3HR,7.8193354758169e-05
CASP.intensity.corrected,BY51,6HR,2.47730733654898e-05
CASP.intensity.corrected,BY53,24HR,5.81284528670902e-74
CASP.intensity.corrected,BY53,6HR,2.21021728879312e-15
CASP.intensity.corrected,BY52,0HR,1.16501326596042e-05
CASP.intensity.corrected,BY52,24HR,7.7062507434646e-07
CASP.intensity.corrected,BY52,3HR,0.591042635691923
CASP.intensity.corrected,BY52,6HR,9.26356926429516e-23
CASP.intensity.corrected,BY53,0HR,0.144880261713282
CASP.intensity.corrected,BY53,12HR,0.0223622570130204
CASP.intensity.corrected,BY53,3HR,0.0609352294988595
CASP.intensity.corrected,CX23,0HR,0.0395933022655622
CASP.intensity.corrected,CX23,12HR,0.207343068318434
CASP.intensity.corrected,CX23,24HR,0.000794227283220836
CASP.intensity.corrected,CX23,3HR,0.0163006517662474
CASP.intensity.corrected,CX23,6HR,9.26863001563533e-12
CASP.intensity.corrected,CX24,0HR,1.28802198384918e-11
CASP.intensity.corrected,CX24,12HR,0.118528119964022
CASP.intensity.corrected,CX24,24HR,1.03350776745442e-06
CASP.intensity.corrected,CX24,3HR,1.55928720529914e-06
CASP.intensity.corrected,CX24,6HR,2.53084265066124e-05
