Measurement,Time,Pval
AreaShape_Area,0HR,0.683317670817498
AreaShape_Area,3HR,0.000910867991787942
AreaShape_Area,6HR,0.162510176763073
AreaShape_Area,12HR,0.00440946583586202
AreaShape_Area,24HR,3.9895969169557e-09
AreaShape_Perimeter,0HR,0.811992159240275
AreaShape_Perimeter,3HR,0.000303196306291804
AreaShape_Perimeter,6HR,0.877729646289256
AreaShape_Perimeter,12HR,0.954531844175406
AreaShape_Perimeter,24HR,1.44571529242414e-10
CASP.intensity.corrected,0HR,2.93167080926287e-11
CASP.intensity.corrected,3HR,0.0163675186835891
CASP.intensity.corrected,6HR,2.00368642879863e-113
CASP.intensity.corrected,12HR,9.37983121700908e-97
CASP.intensity.corrected,24HR,4.18875232401704e-55
EDU.Intensity.corrected,0HR,0.476460322845491
EDU.Intensity.corrected,3HR,4.39856647800835e-55
EDU.Intensity.corrected,6HR,1.15592169092887e-304
EDU.Intensity.corrected,12HR,2.16103557774761e-55
EDU.Intensity.corrected,24HR,8.8041713805009e-127
TUNEL.Intensity.Corrected,0HR,7.52020017237169e-46
TUNEL.Intensity.Corrected,3HR,1.91370414755275e-92
TUNEL.Intensity.Corrected,6HR,2.74816166004656e-06
TUNEL.Intensity.Corrected,12HR,0.000754901785058761
TUNEL.Intensity.Corrected,24HR,6.63264183907382e-05
CASP.area.corrected,0HR,3.3695354180134e-18
CASP.area.corrected,3HR,0.00263254891163285
CASP.area.corrected,6HR,3.29179121797414e-165
CASP.area.corrected,12HR,2.23091523308397e-111
CASP.area.corrected,24HR,5.58389652991956e-24
EDU.area.corrected,0HR,0.90415707589049
EDU.area.corrected,3HR,1.0654512946108e-69
EDU.area.corrected,6HR,0
EDU.area.corrected,12HR,1.4136431538885e-71
EDU.area.corrected,24HR,1.08569301414237e-138
TUNEL.area.Corrected,0HR,6.05173476047093e-76
TUNEL.area.Corrected,3HR,3.19039261967669e-64
TUNEL.area.Corrected,6HR,1.36616646159715e-15
TUNEL.area.Corrected,12HR,0.113393383803282
TUNEL.area.Corrected,24HR,1.75632659668549e-06
