x,diff,lwr,upr,p adj
12HR-0HR,eduDiff,-0.680352572101319,-1.5706448253332,0.20993968113056,0.209539573592343
24HR-0HR,eduDiff,-1.08030522456863,-1.92916558152039,-0.231444867616871,0.00639117498770292
3HR-0HR,eduDiff,-0.417725329274855,-1.52450382541907,0.689053166869363,0.820072864706356
6HR-0HR,eduDiff,-0.958293373548232,-1.80715373049999,-0.109433016596473,0.0197687485095424
24HR-12HR,eduDiff,-0.399952652467312,-1.29024490569919,0.490339600764566,0.707356144322708
3HR-12HR,eduDiff,0.262627242826464,-0.876238434102858,1.40149291975579,0.964893416230836
6HR-12HR,eduDiff,-0.277940801446913,-1.16823305467879,0.612351451784965,0.900518145534148
3HR-24HR,eduDiff,0.662579895293776,-0.444198600850441,1.76935839143799,0.444305304055863
6HR-24HR,eduDiff,0.122011851020398,-0.726848505931361,0.970872207972157,0.993972004303769
6HR-3HR,eduDiff,-0.540568044273377,-1.64734654041759,0.56621045187084,0.639177161729385
12HR-0HR,caspDiff,0.381767285961708,0.0551379241566492,0.708396647766768,0.0145834136185984
24HR-0HR,caspDiff,0.0582514234020081,-0.253177453628279,0.369680300432295,0.983675230240105
3HR-0HR,caspDiff,0.132523258268375,-0.273530318568706,0.538576835105457,0.885149425389172
6HR-0HR,caspDiff,0.516143562735359,0.204714685705072,0.827572439765646,0.000219514054368597
24HR-12HR,caspDiff,-0.3235158625597,-0.65014522436476,0.00311349924535892,0.0533559617044523
3HR-12HR,caspDiff,-0.249244027693333,-0.66706971121102,0.168581655824354,0.447920708033957
6HR-12HR,caspDiff,0.134376276773651,-0.192253085031409,0.46100563857871,0.769300931949738
3HR-24HR,caspDiff,0.0742718348663671,-0.331781741970714,0.480325411703449,0.984980377677083
6HR-24HR,caspDiff,0.457892139333351,0.146463262303064,0.769321016363638,0.00119071916455948
6HR-3HR,caspDiff,0.383620304466984,-0.0224332723700977,0.789673881304065,0.0723080710745839
12HR-0HR,tunelDiff,0.0481869331937798,-0.0667117356039679,0.163085601991527,0.75664897384788
24HR-0HR,tunelDiff,-0.0416611664451306,-0.151212748697903,0.0678904158076416,0.816003872882522
3HR-0HR,tunelDiff,0.0600740536425538,-0.0827637340606519,0.202911841345759,0.754743661448443
6HR-0HR,tunelDiff,-0.00394103998567655,-0.113492622238449,0.105610542267096,0.999974417105615
24HR-12HR,tunelDiff,-0.0898480996389103,-0.204746768436658,0.0250505691588373,0.190690598705661
3HR-12HR,tunelDiff,0.011887120448774,-0.135091750527141,0.158865991424689,0.999360290555263
6HR-12HR,tunelDiff,-0.0521279731794563,-0.167026641977204,0.0627706956182913,0.69977993745712
3HR-24HR,tunelDiff,0.101735220087684,-0.0411025676155213,0.24457300779089,0.271993753508175
6HR-24HR,tunelDiff,0.037720126459454,-0.0718314557933182,0.147271708712226,0.863962846916542
6HR-3HR,tunelDiff,-0.0640150936282304,-0.206852881331436,0.0788226940749753,0.709172283604405
12HR-0HR,eduAreaDiff,-0.0873822464687692,-0.173276038541263,-0.00148845439627497,0.0443702716432118
24HR-0HR,eduAreaDiff,-0.108590013087622,-0.190486530477185,-0.0266934956980594,0.00411596038067363
3HR-0HR,eduAreaDiff,-0.0516015719307773,-0.158381566559529,0.0551784226979745,0.648320329244035
6HR-0HR,eduAreaDiff,-0.109647591858001,-0.191544109247564,-0.0277510744684379,0.00369388503115042
24HR-12HR,eduAreaDiff,-0.0212077666188531,-0.107101558691347,0.0646860254536412,0.955241913186556
3HR-12HR,eduAreaDiff,0.035780674537992,-0.0740950334641418,0.145656382540126,0.885961728915944
6HR-12HR,eduAreaDiff,-0.0222653453892316,-0.108159137461726,0.0636284466832626,0.946921382759695
3HR-24HR,eduAreaDiff,0.056988441156845,-0.0497915534719067,0.163768435785597,0.558192580057496
6HR-24HR,eduAreaDiff,-0.00105757877037851,-0.0829540961599414,0.0808389386191844,0.999999573252984
6HR-3HR,eduAreaDiff,-0.0580460199272236,-0.164826014555975,0.0487339747015282,0.540486092613454
12HR-0HR,caspAreaDiff,0.0394193790094133,0.00879952329954548,0.070039234719281,0.00566538648518422
24HR-0HR,caspAreaDiff,0.0201132527685781,-0.0090816341388789,0.049308139676035,0.303574826586031
3HR-0HR,caspAreaDiff,0.0135821900582247,-0.0244832853311179,0.0516476654475672,0.848102960373096
6HR-0HR,caspAreaDiff,0.0604613014609037,0.0312664145534468,0.0896561883683607,4.25759607169951e-06
24HR-12HR,caspAreaDiff,-0.0193061262408352,-0.049925981950703,0.0113137294690326,0.391655770847235
3HR-12HR,caspAreaDiff,-0.0258371889511886,-0.065006239983484,0.0133318620811069,0.34623389772697
6HR-12HR,caspAreaDiff,0.0210419224514905,-0.00957793325837727,0.0516617781613583,0.306006524419407
3HR-24HR,caspAreaDiff,-0.00653106271035337,-0.0445965380996959,0.0315344126789892,0.988184363482457
6HR-24HR,caspAreaDiff,0.0403480486923257,0.0111531617848687,0.0695429355997827,0.00256217127501324
6HR-3HR,caspAreaDiff,0.0468791114026791,0.00881363601333652,0.0849445867920216,0.00890802352617037
12HR-0HR,tunelAreaDiff,0.00136560483749438,-0.0106438444056526,0.0133750540806413,0.997564145248254
24HR-0HR,tunelAreaDiff,-0.00167010725981025,-0.0131206678305947,0.00978045331097417,0.993624557264581
3HR-0HR,tunelAreaDiff,0.00629707670659982,-0.00863262769619546,0.0212267811093951,0.75280511577989
6HR-0HR,tunelAreaDiff,-0.00107636659980649,-0.0125269271705909,0.0103741939709779,0.998843407169617
24HR-12HR,tunelAreaDiff,-0.00303571209730463,-0.0150451613404516,0.00897373714584234,0.951387874414803
3HR-12HR,tunelAreaDiff,0.00493147186910545,-0.0104310672209462,0.0202940109591571,0.891106614362352
6HR-12HR,tunelAreaDiff,-0.00244197143730087,-0.0144514206804478,0.00956747780584609,0.977767556168286
3HR-24HR,tunelAreaDiff,0.00796718396641007,-0.00696252043638521,0.0228968883692054,0.558287733772489
6HR-24HR,tunelAreaDiff,0.000593740660003756,-0.0108568199107807,0.0120443012307882,0.999890203303786
6HR-3HR,tunelAreaDiff,-0.00737344330640632,-0.0223031477092016,0.00755626109638897,0.62947276471256
