Measurement,Mouse,Time,Pval
AreaShape_Area,DH7,0HR,0.889895742275411
AreaShape_Area,DH7,12HR,0.875882432517263
AreaShape_Area,DH7,24HR,0.0049517884146069
AreaShape_Area,DH7,3HR,0.0539071573613481
AreaShape_Area,DH7,6HR,0.0618308207459042
AreaShape_Area,DH8,0HR,0.437648619475332
AreaShape_Area,DH8,12HR,0.000518715058287258
AreaShape_Area,DH8,24HR,0.046215632449491
AreaShape_Area,DH8,3HR,0.00191806425809789
AreaShape_Area,DH8,6HR,0.418246070540029
AreaShape_Area,DH9,0HR,0.00564649727555763
AreaShape_Area,DH9,12HR,1.55868532754526e-05
AreaShape_Area,DH9,24HR,0.721778007626828
AreaShape_Area,DH9,3HR,0.00024283061474753
AreaShape_Area,DH9,6HR,0.483506406798453
AreaShape_Area,DH10,0HR,0.18880264322873
AreaShape_Area,DH10,12HR,0.00825370940893793
AreaShape_Area,DH10,24HR,0.708069281340874
AreaShape_Area,DH10,3HR,0.0119412699469747
AreaShape_Area,DH10,6HR,0.178977770406055
AreaShape_Area,CX36,0HR,1.4359059988715e-07
AreaShape_Area,CX36,12HR,0.000121670718964258
AreaShape_Area,CX36,24HR,0.19501546806574
AreaShape_Area,CX36,3HR,5.3760053356082e-07
AreaShape_Area,CX36,6HR,0.381850145877003
AreaShape_Area,CX37,0HR,0.153145638975635
AreaShape_Area,CX37,12HR,8.10216355758497e-07
AreaShape_Area,CX37,24HR,0.000567252990692822
AreaShape_Area,CX37,3HR,0.00438506603231634
AreaShape_Area,CX37,6HR,0.298377832036052
AreaShape_Area,CX38,0HR,0.0394948186727613
AreaShape_Area,CX38,12HR,4.36089764909584e-06
AreaShape_Area,CX38,24HR,0.0977939570193675
AreaShape_Area,CX38,3HR,2.68653496999311e-07
AreaShape_Area,CX38,6HR,0.184475672831558
AreaShape_Perimeter,DH7,0HR,0.320048062372286
AreaShape_Perimeter,DH7,12HR,0.48491729768785
AreaShape_Perimeter,DH7,24HR,0.115451234306893
AreaShape_Perimeter,DH7,3HR,0.190570637468641
AreaShape_Perimeter,DH7,6HR,0.265570340796586
AreaShape_Perimeter,DH8,0HR,0.65677647614597
AreaShape_Perimeter,DH8,12HR,0.399415403803663
AreaShape_Perimeter,DH8,24HR,0.340997757037545
AreaShape_Perimeter,DH8,3HR,0.00726234639730969
AreaShape_Perimeter,DH8,6HR,0.965207475205702
AreaShape_Perimeter,DH9,0HR,0.0277999853125295
AreaShape_Perimeter,DH9,12HR,0.00225432076383032
AreaShape_Perimeter,DH9,24HR,0.0914226019270624
AreaShape_Perimeter,DH9,3HR,0.00229595962793245
AreaShape_Perimeter,DH9,6HR,0.00186438244379441
AreaShape_Perimeter,DH10,0HR,0.65072521150506
AreaShape_Perimeter,DH10,12HR,0.27922548011513
AreaShape_Perimeter,DH10,24HR,0.957407267935895
AreaShape_Perimeter,DH10,3HR,0.128409775561962
AreaShape_Perimeter,DH10,6HR,0.758593687772394
AreaShape_Perimeter,CX36,0HR,0.0244968926559945
AreaShape_Perimeter,CX36,12HR,0.246734102951495
AreaShape_Perimeter,CX36,24HR,0.562790427551508
AreaShape_Perimeter,CX36,3HR,0.000298032992960115
AreaShape_Perimeter,CX36,6HR,0.282438689771413
AreaShape_Perimeter,CX37,0HR,0.00348694808157852
AreaShape_Perimeter,CX37,12HR,0.379946560587655
AreaShape_Perimeter,CX37,24HR,0.00128190367630393
AreaShape_Perimeter,CX37,3HR,0.0409201800742185
AreaShape_Perimeter,CX37,6HR,0.0679636049821437
AreaShape_Perimeter,CX38,0HR,0.47327628302316
AreaShape_Perimeter,CX38,12HR,3.69782901045222e-05
AreaShape_Perimeter,CX38,24HR,0.588184578674257
AreaShape_Perimeter,CX38,3HR,0.000243335970256726
AreaShape_Perimeter,CX38,6HR,0.0356882610523014
CASP.intensity.corrected,DH7,0HR,0.96019915860631
CASP.intensity.corrected,DH7,12HR,0.0802479827261128
CASP.intensity.corrected,DH7,24HR,0.384492316871389
CASP.intensity.corrected,DH7,3HR,0.000227470235936567
CASP.intensity.corrected,DH7,6HR,2.68354180852805e-34
CASP.intensity.corrected,DH8,0HR,0.0007112472546285
CASP.intensity.corrected,DH8,12HR,0.108077836154805
CASP.intensity.corrected,DH8,24HR,0.0110511974003664
CASP.intensity.corrected,DH8,3HR,1.00381671653464e-05
CASP.intensity.corrected,DH8,6HR,2.10425875090865e-25
CASP.intensity.corrected,DH9,0HR,0.902883388767979
CASP.intensity.corrected,DH9,12HR,2.42552292868882e-12
CASP.intensity.corrected,DH9,24HR,0.000964594559664842
CASP.intensity.corrected,DH9,3HR,0.000570894592384351
CASP.intensity.corrected,DH9,6HR,5.81448861709806e-16
CASP.intensity.corrected,DH10,0HR,0.00146636176654617
CASP.intensity.corrected,DH10,12HR,0.000109963312280421
CASP.intensity.corrected,DH10,24HR,0.0309286141814332
CASP.intensity.corrected,DH10,3HR,0.819924084277013
CASP.intensity.corrected,DH10,6HR,4.12630533635711e-24
CASP.intensity.corrected,CX36,0HR,5.6572156986639e-06
CASP.intensity.corrected,CX36,12HR,8.96429571497334e-17
CASP.intensity.corrected,CX36,24HR,0.000230758435278774
CASP.intensity.corrected,CX36,3HR,9.57115879981045e-16
CASP.intensity.corrected,CX36,6HR,3.9882743554398e-25
CASP.intensity.corrected,CX37,0HR,0.247057987071168
CASP.intensity.corrected,CX37,12HR,3.59078020187318e-07
CASP.intensity.corrected,CX37,24HR,0.0149954568118182
CASP.intensity.corrected,CX37,3HR,0.163602127582827
CASP.intensity.corrected,CX37,6HR,1.75039568496298e-23
CASP.intensity.corrected,CX38,0HR,0.490224949487873
CASP.intensity.corrected,CX38,12HR,1.20066006912684e-36
CASP.intensity.corrected,CX38,24HR,0.00166784440754964
CASP.intensity.corrected,CX38,3HR,6.86451545203887e-10
CASP.intensity.corrected,CX38,6HR,4.61352596227174e-53
EDU.Intensity.corrected,DH7,0HR,4.02172933030326e-39
EDU.Intensity.corrected,DH7,12HR,3.45197233928749e-28
EDU.Intensity.corrected,DH7,24HR,2.45905953834485e-13
EDU.Intensity.corrected,DH7,3HR,3.68679142358085e-11
EDU.Intensity.corrected,DH7,6HR,1.91831476735966e-60
EDU.Intensity.corrected,DH8,0HR,8.31873313909173e-19
EDU.Intensity.corrected,DH8,12HR,2.66781259143088e-19
EDU.Intensity.corrected,DH8,24HR,5.83016671478492e-18
EDU.Intensity.corrected,DH8,3HR,0.635972796365298
EDU.Intensity.corrected,DH8,6HR,4.65029043555745e-54
EDU.Intensity.corrected,DH9,0HR,5.27084388264068e-36
EDU.Intensity.corrected,DH9,12HR,3.44724174021823e-38
EDU.Intensity.corrected,DH9,24HR,2.41149342554861e-13
EDU.Intensity.corrected,DH9,3HR,2.98311486049261e-07
EDU.Intensity.corrected,DH9,6HR,6.30970677266782e-63
EDU.Intensity.corrected,DH10,0HR,9.4489499637592e-34
EDU.Intensity.corrected,DH10,12HR,3.24062985478029e-15
EDU.Intensity.corrected,DH10,24HR,4.56911627699728e-15
EDU.Intensity.corrected,DH10,3HR,0.000119906642819772
EDU.Intensity.corrected,DH10,6HR,4.90351827981628e-69
EDU.Intensity.corrected,CX36,0HR,2.21289886106257e-38
EDU.Intensity.corrected,CX36,12HR,8.47918393430852e-06
EDU.Intensity.corrected,CX36,24HR,1.35871914239331e-30
EDU.Intensity.corrected,CX36,3HR,1.50379860626811e-13
EDU.Intensity.corrected,CX36,6HR,5.96460976496555e-69
EDU.Intensity.corrected,CX37,0HR,6.59233138766525e-21
EDU.Intensity.corrected,CX37,12HR,0.00135338417524512
EDU.Intensity.corrected,CX37,24HR,2.86951061622107e-83
EDU.Intensity.corrected,CX37,3HR,0.000873488951519145
EDU.Intensity.corrected,CX37,6HR,8.1032710425179e-81
EDU.Intensity.corrected,CX38,0HR,2.7733215723553e-33
EDU.Intensity.corrected,CX38,12HR,3.14428669916131e-12
EDU.Intensity.corrected,CX38,24HR,1.86812093854882e-13
EDU.Intensity.corrected,CX38,3HR,2.03422996265547e-14
EDU.Intensity.corrected,CX38,6HR,4.22863378214661e-31
TUNEL.Intensity.Corrected,DH7,0HR,0.000378118072952838
TUNEL.Intensity.Corrected,DH7,12HR,0.000266860680715982
TUNEL.Intensity.Corrected,DH7,24HR,1.96919400758575e-13
TUNEL.Intensity.Corrected,DH7,3HR,0.00517585604796883
TUNEL.Intensity.Corrected,DH7,6HR,0.285958847260113
TUNEL.Intensity.Corrected,DH8,0HR,3.45981755205873e-06
TUNEL.Intensity.Corrected,DH8,12HR,8.34256445038897e-16
