Measurement,Time,Pval
AreaShape_Area,0HR,0.0196646916993763
AreaShape_Area,3HR,0.00620124444143306
AreaShape_Area,6HR,0.981592274904801
AreaShape_Area,12HR,6.05700853346651e-16
AreaShape_Area,24HR,0.323875338010193
AreaShape_Perimeter,0HR,0.652775204866516
AreaShape_Perimeter,3HR,0.0361306521964314
AreaShape_Perimeter,6HR,0.353829591102937
AreaShape_Perimeter,12HR,2.08016840641887e-06
AreaShape_Perimeter,24HR,0.232646708819762
CASP.intensity.corrected,0HR,0.019074661963408
CASP.intensity.corrected,3HR,0.0304125447115
CASP.intensity.corrected,6HR,1.0689740742471e-157
CASP.intensity.corrected,12HR,4.91435850485129e-69
CASP.intensity.corrected,24HR,0.00525598398563311
EDU.Intensity.corrected,0HR,1.29635371765513e-135
EDU.Intensity.corrected,3HR,4.87578098440118e-36
EDU.Intensity.corrected,6HR,0
EDU.Intensity.corrected,12HR,3.25145165720883e-61
EDU.Intensity.corrected,24HR,1.15704354384889e-147
TUNEL.Intensity.Corrected,0HR,1.33503091932174e-05
TUNEL.Intensity.Corrected,3HR,0.0360802966259419
TUNEL.Intensity.Corrected,6HR,0.0851832157631181
TUNEL.Intensity.Corrected,12HR,2.25966408276019e-23
TUNEL.Intensity.Corrected,24HR,1.19050446277503e-08
CASP.area.corrected,0HR,0.331101774286643
CASP.area.corrected,3HR,2.60518285878389e-07
CASP.area.corrected,6HR,9.35383952684618e-200
CASP.area.corrected,12HR,2.45986538680361e-51
CASP.area.corrected,24HR,3.2041794169127e-19
EDU.area.corrected,0HR,4.24901998800386e-130
EDU.area.corrected,3HR,1.59371434809101e-28
EDU.area.corrected,6HR,0
EDU.area.corrected,12HR,8.9717407171699e-77
EDU.area.corrected,24HR,3.92263057340404e-153
TUNEL.area.Corrected,0HR,1.51325865957541e-06
TUNEL.area.Corrected,3HR,1.15277242676955e-16
TUNEL.area.Corrected,6HR,1.40439711080888e-06
TUNEL.area.Corrected,12HR,1.62410977143185e-15
TUNEL.area.Corrected,24HR,7.45951152737833e-58
