x,diff,lwr,upr,p adj
12HR-0HR,eduDiff,-0.126803120779532,-0.740478472747201,0.486872231188136,0.940041697439308
24HR-0HR,eduDiff,-1.2925356629759,-1.90621101494357,-0.678860311008231,3.06416401346654e-05
6HR-0HR,eduDiff,-0.88741324038711,-1.50108859235478,-0.273737888419442,0.00284602040213811
24HR-12HR,eduDiff,-1.16573254219637,-1.77940789416403,-0.552057190228698,0.000125774766747133
6HR-12HR,eduDiff,-0.760610119607578,-1.37428547157525,-0.14693476763991,0.011268115689109
6HR-24HR,eduDiff,0.405122422588789,-0.208552929378879,1.01879777455646,0.288339614381086
12HR-0HR,caspDiff,0.443788038609521,0.197116506770775,0.690459570448268,0.000251403580436627
24HR-0HR,caspDiff,0.100017014246847,-0.1466545175919,0.346688546085593,0.681913934386046
6HR-0HR,caspDiff,0.361614999404716,0.11494346756597,0.608286531243462,0.0024859345303242
24HR-12HR,caspDiff,-0.343771024362675,-0.590442556201421,-0.0970994925239286,0.00405605785455576
6HR-12HR,caspDiff,-0.0821730392048053,-0.328844571043552,0.164498492633941,0.795008381163578
6HR-24HR,caspDiff,0.261597985157869,0.0149264533191233,0.508269516996616,0.0348161011120689
12HR-0HR,tunelDiff,0.148623464728799,0.0431938627885564,0.254053066669041,0.00364009387358843
24HR-0HR,tunelDiff,0.0118772267878789,-0.0935523751523636,0.117306828728121,0.9893278142368
6HR-0HR,tunelDiff,0.0341149405199784,-0.0713146614202641,0.139544542460221,0.808695227230192
24HR-12HR,tunelDiff,-0.13674623794092,-0.242175839881163,-0.0313166360006775,0.00772517178899701
6HR-12HR,tunelDiff,-0.11450852420882,-0.219938126149063,-0.00907892226857794,0.0297728255559606
6HR-24HR,tunelDiff,0.0222377137320995,-0.083191888208143,0.127667315672342,0.93657487444411
12HR-0HR,eduAreaDiff,-0.0421610005041876,-0.118150265022611,0.0338282640142363,0.435733430066045
24HR-0HR,eduAreaDiff,-0.143535073492765,-0.219524338011189,-0.0675458089743416,0.000135389026439614
6HR-0HR,eduAreaDiff,-0.112990566432489,-0.188979830950913,-0.0370013019140651,0.00215542334696173
24HR-12HR,eduAreaDiff,-0.101374072988578,-0.177363337507002,-0.025384808470154,0.00604408346970742
6HR-12HR,eduAreaDiff,-0.0708295659283014,-0.146818830446725,0.00515969859012246,0.0739451554543961
6HR-24HR,eduAreaDiff,0.0305445070602765,-0.0454447574581474,0.1065337715787,0.687681283543581
12HR-0HR,caspAreaDiff,0.0343717533940559,0.00590564566550831,0.0628378611226036,0.0138583392215769
24HR-0HR,caspAreaDiff,0.0255561898654819,-0.00290991786306572,0.0540222975940296,0.0895177759290421
6HR-0HR,caspAreaDiff,0.0434511364320731,0.0149850287035255,0.0719172441606208,0.00164578073504784
24HR-12HR,caspAreaDiff,-0.00881556352857403,-0.0372816712571217,0.0196505441999736,0.827941300620015
6HR-12HR,caspAreaDiff,0.00907938303801718,-0.0193867246905305,0.0375454907665648,0.815194750049007
6HR-24HR,caspAreaDiff,0.0178949465665912,-0.0105711611619564,0.0463610542951389,0.328787565361639
12HR-0HR,tunelAreaDiff,0.00796557046787814,-0.00210523575911688,0.0180363766948732,0.15699937620668
24HR-0HR,tunelAreaDiff,0.00361833476108316,-0.00645247146591186,0.0136891409880782,0.755797260238905
6HR-0HR,tunelAreaDiff,0.00136981098825707,-0.00870099523873795,0.0114406172152521,0.981558025677694
24HR-12HR,tunelAreaDiff,-0.00434723570679498,-0.01441804193379,0.00572357052020004,0.638343892581127
6HR-12HR,tunelAreaDiff,-0.00659575947962107,-0.0166665657066161,0.00347504674737395,0.294804521780225
6HR-24HR,tunelAreaDiff,-0.00224852377282609,-0.0123193299998211,0.00782228245416893,0.925998676573865
