Measurement,Mouse,Time,Pval
AreaShape_Area,CX18,0HR,0.884855911781293
AreaShape_Area,CX18,12HR,0.301893090549348
AreaShape_Area,CX18,24HR,0.058404562449057
AreaShape_Area,CX18,3HR,0.176536776657612
AreaShape_Area,CX18,6HR,0.0149118345796532
AreaShape_Area,CX22,0HR,0.932023610080482
AreaShape_Area,CX22,12HR,1.32794681396052e-09
AreaShape_Area,CX22,24HR,0.846669409415701
AreaShape_Area,CX22,3HR,0.120575478594382
AreaShape_Area,CX22,6HR,0.264223287600312
AreaShape_Perimeter,CX18,0HR,0.538812687422024
AreaShape_Perimeter,CX18,12HR,0.137914068114888
AreaShape_Perimeter,CX18,24HR,0.559562845676093
AreaShape_Perimeter,CX18,3HR,0.596067110934186
AreaShape_Perimeter,CX18,6HR,5.64653283817774e-06
AreaShape_Perimeter,CX22,0HR,0.526718913260468
AreaShape_Perimeter,CX22,12HR,3.64472340563538e-07
AreaShape_Perimeter,CX22,24HR,0.717768471668715
AreaShape_Perimeter,CX22,3HR,0.284469114654628
AreaShape_Perimeter,CX22,6HR,0.842848105970545
CASP.intensity.corrected,CX18,0HR,5.81645107888327e-13
CASP.intensity.corrected,CX18,12HR,3.07546823882448e-06
CASP.intensity.corrected,CX18,24HR,0.000240576237988164
CASP.intensity.corrected,CX18,3HR,1.14194627622103e-42
CASP.intensity.corrected,CX18,6HR,4.10630727067387e-36
CASP.intensity.corrected,CX22,0HR,4.93901145672059e-10
CASP.intensity.corrected,CX22,12HR,4.52048164708022e-13
CASP.intensity.corrected,CX22,24HR,0.0421048774615902
CASP.intensity.corrected,CX22,3HR,2.97100531292752e-27
CASP.intensity.corrected,CX22,6HR,4.3370960931747e-17
EDU.Intensity.corrected,CX18,0HR,1.04898189785122e-30
EDU.Intensity.corrected,CX18,12HR,2.49507385945453e-30
EDU.Intensity.corrected,CX18,24HR,3.50410633424033e-16
EDU.Intensity.corrected,CX18,3HR,2.59844462631709e-56
EDU.Intensity.corrected,CX18,6HR,4.62275107550921e-33
EDU.Intensity.corrected,CX22,0HR,0.483375797338033
EDU.Intensity.corrected,CX22,12HR,1.66034166492446e-15
EDU.Intensity.corrected,CX22,24HR,0.0798782043924609
EDU.Intensity.corrected,CX22,3HR,2.84612419748887e-29
EDU.Intensity.corrected,CX22,6HR,0.000185174912497882
TUNEL.Intensity.Corrected,CX18,0HR,0.263687525444442
TUNEL.Intensity.Corrected,CX18,12HR,5.80174845277195e-08
TUNEL.Intensity.Corrected,CX18,24HR,0.000155059247973271
TUNEL.Intensity.Corrected,CX18,3HR,0.000136579366570384
TUNEL.Intensity.Corrected,CX18,6HR,0.00243824179437505
TUNEL.Intensity.Corrected,CX22,0HR,0.280473762978209
TUNEL.Intensity.Corrected,CX22,12HR,0.000335643831374116
TUNEL.Intensity.Corrected,CX22,24HR,0.850940071985564
TUNEL.Intensity.Corrected,CX22,3HR,3.6844576093995e-18
TUNEL.Intensity.Corrected,CX22,6HR,2.07625979973876e-06
CASP.area.corrected,CX18,0HR,1.45046781370925e-15
CASP.area.corrected,CX18,12HR,5.22484983508366e-17
CASP.area.corrected,CX18,24HR,1.38508601896974e-06
CASP.area.corrected,CX18,3HR,4.69634130054306e-48
CASP.area.corrected,CX18,6HR,5.23294011406507e-37
CASP.area.corrected,CX22,0HR,8.57642965790839e-18
CASP.area.corrected,CX22,12HR,7.30630190164998e-07
CASP.area.corrected,CX22,24HR,0.0229764609823708
CASP.area.corrected,CX22,3HR,9.42795866195488e-30
CASP.area.corrected,CX22,6HR,3.60897417848698e-28
EDU.area.corrected,CX18,0HR,1.15510320435674e-34
EDU.area.corrected,CX18,12HR,8.81684339165846e-24
EDU.area.corrected,CX18,24HR,1.15064827593194e-15
EDU.area.corrected,CX18,3HR,1.75277704314741e-53
EDU.area.corrected,CX18,6HR,7.47733662081518e-34
EDU.area.corrected,CX22,0HR,0.820310024470514
EDU.area.corrected,CX22,12HR,1.8804448345418e-19
EDU.area.corrected,CX22,24HR,0.109197030075296
EDU.area.corrected,CX22,3HR,7.51802503317475e-31
EDU.area.corrected,CX22,6HR,8.11473380312806e-06
TUNEL.area.Corrected,CX18,0HR,6.98818008565671e-07
TUNEL.area.Corrected,CX18,12HR,0.896050870671131
TUNEL.area.Corrected,CX18,24HR,0.310734748197201
TUNEL.area.Corrected,CX18,3HR,1.27823573589513e-07
TUNEL.area.Corrected,CX18,6HR,0.00226036886498381
TUNEL.area.Corrected,CX22,0HR,4.27849525657571e-10
TUNEL.area.Corrected,CX22,12HR,0.837270577396337
TUNEL.area.Corrected,CX22,24HR,0.318222831116326
TUNEL.area.Corrected,CX22,3HR,3.28735543730387e-34
TUNEL.area.Corrected,CX22,6HR,0.0376803075661877
