Measurement,Time,Pval
AreaShape_Area,0HR,0.905647364122722
AreaShape_Area,3HR,0.0411323681293572
AreaShape_Area,6HR,0.0079462052480651
AreaShape_Area,12HR,2.06198759765141e-05
AreaShape_Area,24HR,0.1744526200931
AreaShape_Perimeter,0HR,0.558980428171419
AreaShape_Perimeter,3HR,0.257214629100542
AreaShape_Perimeter,6HR,0.0003493235417446
AreaShape_Perimeter,12HR,9.26158054545303e-07
AreaShape_Perimeter,24HR,0.809346456038836
CASP.intensity.corrected,0HR,3.54822029351347e-21
CASP.intensity.corrected,3HR,2.99951863198334e-66
CASP.intensity.corrected,6HR,1.5241636733474e-51
CASP.intensity.corrected,12HR,2.37810300835717e-13
CASP.intensity.corrected,24HR,2.5414062275426e-05
EDU.Intensity.corrected,0HR,0.0869696992428357
EDU.Intensity.corrected,3HR,2.28272346284746e-68
EDU.Intensity.corrected,6HR,4.15213795258879e-33
EDU.Intensity.corrected,12HR,3.85575054962329e-38
EDU.Intensity.corrected,24HR,1.11202272659386e-13
TUNEL.Intensity.Corrected,0HR,0.102421291980196
TUNEL.Intensity.Corrected,3HR,2.93115275676258e-18
TUNEL.Intensity.Corrected,6HR,0.589199430847062
TUNEL.Intensity.Corrected,12HR,0.0133141512020715
TUNEL.Intensity.Corrected,24HR,0.00165832462511976
CASP.area.corrected,0HR,2.37401079481511e-29
CASP.area.corrected,3HR,3.31951778677824e-74
CASP.area.corrected,6HR,8.38320154048849e-63
CASP.area.corrected,12HR,1.67893239083532e-20
CASP.area.corrected,24HR,1.01243252408062e-07
EDU.area.corrected,0HR,0.00904857549192275
EDU.area.corrected,3HR,1.66029348805885e-69
EDU.area.corrected,6HR,3.77256799337491e-35
EDU.area.corrected,12HR,1.60602459961219e-38
EDU.area.corrected,24HR,5.76444008830622e-13
TUNEL.area.Corrected,0HR,8.52424945307798e-16
TUNEL.area.Corrected,3HR,1.34082769674713e-35
TUNEL.area.Corrected,6HR,0.000249735302547998
TUNEL.area.Corrected,12HR,0.784326438711188
TUNEL.area.Corrected,24HR,0.760799190226356
