x,diff,lwr,upr,p adj
12HR-0HR,eduDiff,-0.422444967255185,-3.12861064045583,2.28372070594546,0.964183157983096
24HR-0HR,eduDiff,-1.71090377701558,-4.41706945021622,0.995261896185064,0.219292397748161
3HR-0HR,eduDiff,-0.202363511975002,-2.90852918517564,2.50380216122564,0.997615870207182
6HR-0HR,eduDiff,0.0857919781354619,-2.62037369506518,2.7919576513361,0.999918148212711
24HR-12HR,eduDiff,-1.28845880976039,-3.99462448296103,1.41770686344025,0.415169619077635
3HR-12HR,eduDiff,0.220081455280183,-2.48608421792046,2.92624712848082,0.996708961758596
6HR-12HR,eduDiff,0.508236945390647,-2.19792872780999,3.21440261859129,0.933871443307584
3HR-24HR,eduDiff,1.50854026504057,-1.19762540816007,4.21470593824122,0.299272093215454
6HR-24HR,eduDiff,1.79669575515104,-0.909469918049602,4.50286142835168,0.192054613365985
6HR-3HR,eduDiff,0.288155490110464,-2.41801018309018,2.99432116331111,0.990898839749687
12HR-0HR,caspDiff,-0.00939857732486724,-0.131018398290599,0.112221243640864,0.99729424658808
24HR-0HR,caspDiff,-0.0101140729291411,-0.131733893894873,0.111505748036591,0.996415770552029
3HR-0HR,caspDiff,0.0879732241595013,-0.0336465968062303,0.209593045125233,0.149904946306266
6HR-0HR,caspDiff,0.0416027481707048,-0.0800170727950269,0.163222569136436,0.666995304267876
24HR-12HR,caspDiff,-0.000715495604273891,-0.122335316570006,0.120904325361458,0.999999901655563
3HR-12HR,caspDiff,0.0973718014843686,-0.0242480194813631,0.2189916224501,0.109090211086867
6HR-12HR,caspDiff,0.051001325495572,-0.0706184954701596,0.172621146461304,0.514423286706805
3HR-24HR,caspDiff,0.0980872970886425,-0.0235325238770892,0.219707118054374,0.106513197832858
6HR-24HR,caspDiff,0.0517168210998459,-0.0699029998658857,0.173336642065578,0.503504314165038
6HR-3HR,caspDiff,-0.0463704759887965,-0.167990296954528,0.0752493449769351,0.587936181030885
12HR-0HR,tunelDiff,-0.0200773256716426,-0.111060634667661,0.070905983324376,0.891194010723185
24HR-0HR,tunelDiff,-0.0165586716194186,-0.107541980615437,0.0744246373766001,0.940243026770326
3HR-0HR,tunelDiff,0.0188609607667842,-0.0721223482292344,0.109844269762803,0.90987753263811
6HR-0HR,tunelDiff,-0.0102307851169864,-0.101214094113005,0.0807525238790322,0.988867056207343
24HR-12HR,tunelDiff,0.00351865405222404,-0.0874646549437946,0.0945019630482427,0.999819923007343
3HR-12HR,tunelDiff,0.0389382864384268,-0.0520450225575918,0.129921595434445,0.498467989706947
6HR-12HR,tunelDiff,0.00984654055465621,-0.0811367684413624,0.100829849550675,0.990334348389208
3HR-24HR,tunelDiff,0.0354196323862028,-0.0555636766098158,0.126402941382221,0.572087063192567
6HR-24HR,tunelDiff,0.00632788650243217,-0.0846554224935865,0.0973111954984508,0.998198181555137
6HR-3HR,tunelDiff,-0.0290917458837706,-0.120075054879789,0.061891563112248,0.712278264751761
12HR-0HR,eduAreaDiff,-0.0420152668467844,-0.290053886618685,0.206023352925117,0.952808447291834
24HR-0HR,eduAreaDiff,-0.160147968056304,-0.408186587828205,0.0878906517155966,0.207309201584328
3HR-0HR,eduAreaDiff,-0.0217032258450257,-0.269741845616927,0.226335393926875,0.995649362113299
6HR-0HR,eduAreaDiff,0.00904982769682732,-0.238988792075074,0.257088447468728,0.999857031379289
24HR-12HR,eduAreaDiff,-0.11813270120952,-0.366171320981421,0.129905918562381,0.414930413898404
3HR-12HR,eduAreaDiff,0.0203120410017588,-0.227726578770142,0.26835066077366,0.996620658790965
6HR-12HR,eduAreaDiff,0.0510650945436118,-0.196973525228289,0.299103714315513,0.911765778237746
