x,diff,lwr,upr,p adj
12HR-0HR,eduDiff,-0.976352118130506,-2.91685240805149,0.964148171790475,0.552352871460396
24HR-0HR,eduDiff,-0.346808617010069,-2.08244484045861,1.38882760643848,0.971050930009046
3HR-0HR,eduDiff,-0.799616793483072,-2.53525301693162,0.936019429965474,0.62952139696927
6HR-0HR,eduDiff,-0.977703190768292,-2.71333941421684,0.757933032680253,0.446831340111814
24HR-12HR,eduDiff,0.629543501120438,-1.10609272232811,2.36517972456898,0.798375560431817
3HR-12HR,eduDiff,0.176735324647435,-1.55890089880111,1.91237154809598,0.997718083289466
6HR-12HR,eduDiff,-0.00135107263778589,-1.73698729608633,1.73428515081076,0.999999999991783
3HR-24HR,eduDiff,-0.452808176473003,-1.95591323770793,1.05029688476192,0.883896868009043
6HR-24HR,eduDiff,-0.630894573758224,-2.13399963499315,0.872210487476701,0.703110401021215
6HR-3HR,eduDiff,-0.178086397285221,-1.68119145852015,1.3250186639497,0.995899466155989
12HR-0HR,caspDiff,0.110959472252497,-0.818939423340496,1.04085836784549,0.995785739876299
24HR-0HR,caspDiff,-0.047540292282453,-0.879267149381617,0.784186564816711,0.999764559003889
3HR-0HR,caspDiff,0.124877890217706,-0.706848966881459,0.95660474731687,0.989893303878549
6HR-0HR,caspDiff,0.639511443129776,-0.192215413969388,1.47123830022894,0.17830828482528
24HR-12HR,caspDiff,-0.15849976453495,-0.990226621634114,0.673227092564215,0.975598287655849
3HR-12HR,caspDiff,0.0139184179652089,-0.817808439133955,0.845645275064373,0.999998241759718
6HR-12HR,caspDiff,0.52855197087728,-0.303174886221884,1.36027882797644,0.333838666122086
3HR-24HR,caspDiff,0.172418182500159,-0.547878404757507,0.892714769757824,0.945434435110253
6HR-24HR,caspDiff,0.687051735412229,-0.0332448518454365,1.4073483226699,0.065309864647021
6HR-3HR,caspDiff,0.514633552912071,-0.205663034345595,1.23493014016974,0.233118187254023
12HR-0HR,tunelDiff,-0.00145861084148117,-0.192900581213373,0.189983359530411,0.999999924355305
24HR-0HR,tunelDiff,-0.000109758000204995,-0.171340661799425,0.171121145799015,0.999999999996241
3HR-0HR,tunelDiff,0.0713124209351896,-0.0999184828640309,0.24254332473441,0.708834340835243
6HR-0HR,tunelDiff,0.0898944254630211,-0.0813364783361993,0.261125329262242,0.513218047403561
24HR-12HR,tunelDiff,0.00134885284127617,-0.169882050957944,0.172579756640497,0.999999913565023
3HR-12HR,tunelDiff,0.0727710317766708,-0.0984598720225497,0.244001935575891,0.693818134280517
6HR-12HR,tunelDiff,0.0913530363045023,-0.0798778674947182,0.262583940103723,0.498173915164281
3HR-24HR,tunelDiff,0.0714221789353946,-0.0768681336676997,0.219712491538489,0.591391735749773
6HR-24HR,tunelDiff,0.0900041834632261,-0.0582861291398682,0.23829449606632,0.376328784041339
6HR-3HR,tunelDiff,0.0185820045278315,-0.129708308075263,0.166872317130926,0.994914643863712
12HR-0HR,eduAreaDiff,-0.0881776412503188,-0.271668251922953,0.0953129694223149,0.593360443119979
24HR-0HR,eduAreaDiff,-0.0151006574829054,-0.179219648961688,0.149018333995878,0.998463080456354
3HR-0HR,eduAreaDiff,-0.0822773339174762,-0.246396325396259,0.0818416575613068,0.555636834335599
6HR-0HR,eduAreaDiff,-0.0938947455459399,-0.258013737024723,0.0702242459328431,0.432119875400308
24HR-12HR,eduAreaDiff,0.0730769837674134,-0.0910420077113695,0.237195975246196,0.657509000565863
3HR-12HR,eduAreaDiff,0.00590030733284261,-0.15821868414594,0.170019298811626,0.999962752241933
6HR-12HR,eduAreaDiff,-0.00571710429562108,-0.169836095774404,0.158401887183162,0.999967153159233
3HR-24HR,eduAreaDiff,-0.0671766764345708,-0.209307892298679,0.0749545394295371,0.607789380554413
6HR-24HR,eduAreaDiff,-0.0787940880630345,-0.220925303927142,0.0633371278010734,0.461989268044776
6HR-3HR,eduAreaDiff,-0.0116174116284637,-0.153748627492572,0.130513804235644,0.99903354986025
12HR-0HR,caspAreaDiff,0.0315683769676254,-0.0465269313216931,0.109663685256944,0.73009231792603
24HR-0HR,caspAreaDiff,0.0192987856910904,-0.0505517815323972,0.089149352914578,0.911898624708984
3HR-0HR,caspAreaDiff,0.0370211619312246,-0.032829405292263,0.106871729154712,0.504342818407849
6HR-0HR,caspAreaDiff,0.0698115116199944,-3.90556034931544e-05,0.139662078843482,0.0501635251519457
24HR-12HR,caspAreaDiff,-0.012269591276535,-0.0821201585000225,0.0575809759469526,0.981877023060351
3HR-12HR,caspAreaDiff,0.00545278496359921,-0.0643977822598883,0.0753033521870868,0.999193366461675
6HR-12HR,caspAreaDiff,0.038243134652369,-0.0316074325711185,0.108093701875857,0.473797935025468
3HR-24HR,caspAreaDiff,0.0177223762401342,-0.0427699894441587,0.0782147419244271,0.893650433808727
