x,diff,lwr,upr,p adj
12HR-0HR,eduDiff,-1.95682203076273,-5.28888575226242,1.37524169073695,0.333258464681598
24HR-0HR,eduDiff,-0.00722252128097572,-2.36334737409909,2.34890233153713,0.999999996438038
3HR-0HR,eduDiff,-1.07534076302503,-3.43146561584314,1.28078408979308,0.547910780334475
6HR-0HR,eduDiff,-1.36984774342384,-3.72597259624195,0.986277109394272,0.341464113622652
24HR-12HR,eduDiff,1.94959950948176,-1.38246421201793,5.28166323098144,0.336270490271933
3HR-12HR,eduDiff,0.881481267737704,-2.45058245376198,4.21354498923739,0.883897161809036
6HR-12HR,eduDiff,0.586974287338896,-2.74508943416079,3.91903800883858,0.969687868646597
3HR-24HR,eduDiff,-1.06811824174405,-3.42424309456216,1.28800661107406,0.553583245066906
6HR-24HR,eduDiff,-1.36262522214286,-3.71875007496097,0.993499630675248,0.345806538878741
6HR-3HR,eduDiff,-0.294506980398808,-2.65063183321692,2.0616178724193,0.991332007827809
12HR-0HR,caspDiff,0.261618351382947,-1.56064374524259,2.08388044800848,0.985499820364414
24HR-0HR,caspDiff,-0.0274946080785116,-1.31602849370164,1.26103927754462,0.999991668607895
3HR-0HR,caspDiff,0.26390709063121,-1.02462679499192,1.55244097625434,0.948992104978151
6HR-0HR,caspDiff,0.829411308841088,-0.459122576782044,2.11794519446422,0.261927451741507
24HR-12HR,caspDiff,-0.289112959461459,-2.11137505608699,1.53314913716408,0.979132742203742
3HR-12HR,caspDiff,0.00228873924826314,-1.81997335737727,1.8245508358738,0.999999999899627
6HR-12HR,caspDiff,0.567792957458141,-1.25446913916739,2.39005505408368,0.813674713291143
3HR-24HR,caspDiff,0.291401698709722,-0.99713218691341,1.57993558433285,0.929132012171822
6HR-24HR,caspDiff,0.8569059169196,-0.431627968703532,2.14543980254273,0.238428338883543
6HR-3HR,caspDiff,0.565504218209878,-0.723029667413254,1.85403810383301,0.580571360088232
12HR-0HR,tunelDiff,-0.00271443918763841,-0.166078676340889,0.160649797965612,0.999996932017276
24HR-0HR,tunelDiff,-0.00394962283822523,-0.119465582732656,0.111566337056206,0.999945401363842
3HR-0HR,tunelDiff,-0.013757034857038,-0.129272994751469,0.101758925037393,0.992774445469668
6HR-0HR,tunelDiff,0.0459499402826588,-0.0695660196117721,0.16146590017709,0.65835277310182
24HR-12HR,tunelDiff,-0.00123518365058681,-0.164599420803837,0.162129053502664,0.999999868219085
3HR-12HR,tunelDiff,-0.0110425956693996,-0.17440683282265,0.152321641483851,0.999189132621104
