x,diff,lwr,upr,p adj
12HR-0HR,eduDiff,-1.59655562139406,-3.55703467517547,0.363923432387353,0.103171364314725
24HR-0HR,eduDiff,-1.94712274507467,-3.90760179885609,0.0133563087067365,0.0512936826705701
3HR-0HR,eduDiff,-0.0482559041431644,-2.00873495792458,1.91222314963825,0.999970094929422
6HR-0HR,eduDiff,-0.58904228479875,-2.54952133858016,1.37143676898266,0.750803466913879
24HR-12HR,eduDiff,-0.350567123680617,-2.31104617746203,1.60991193010079,0.943575328487033
3HR-12HR,eduDiff,1.54829971725089,-0.412179336530518,3.50877877103231,0.114029828867016
6HR-12HR,eduDiff,1.00751333659531,-0.952965717186103,2.96799239037672,0.357362970544981
3HR-24HR,eduDiff,1.89886684093151,-0.0616122128499008,3.85934589471292,0.0562917303605649
6HR-24HR,eduDiff,1.35808046027592,-0.602398593505487,3.31855951405734,0.170279982611727
6HR-3HR,eduDiff,-0.540786380655586,-2.501265434437,1.41969267312583,0.798197886584695
12HR-0HR,caspDiff,0.182460915132236,-0.501596393633985,0.866518223898458,0.815010699209223
24HR-0HR,caspDiff,0.0406909026658524,-0.643366406100369,0.724748211432074,0.999019172774768
3HR-0HR,caspDiff,0.103114142794889,-0.580943165971332,0.78717145156111,0.96824082490488
6HR-0HR,caspDiff,0.587091915234016,-0.0969653935322057,1.27114922400024,0.0864977106211792
24HR-12HR,caspDiff,-0.141770012466384,-0.825827321232605,0.542287296299838,0.909947549753044
3HR-12HR,caspDiff,-0.0793467723373471,-0.763404081103568,0.604710536428874,0.987522310344237
6HR-12HR,caspDiff,0.40463100010178,-0.279426308664442,1.088688308868,0.259897756596477
3HR-24HR,caspDiff,0.0624232401290367,-0.621634068637185,0.746480548895258,0.994897577250577
6HR-24HR,caspDiff,0.546401012568163,-0.137656296198058,1.23045832133438,0.109918683377171
6HR-3HR,caspDiff,0.483977772439127,-0.200079536327095,1.16803508120535,0.16010624778016
12HR-0HR,tunelDiff,-0.306329103870417,-0.537378470817607,-0.0752797369232268,0.0162253261380017
24HR-0HR,tunelDiff,-0.285612858171022,-0.516662225118212,-0.0545634912238319,0.0217125659481365
3HR-0HR,tunelDiff,-0.00161468261798209,-0.232664049565172,0.229434684329208,0.999999804212284
6HR-0HR,tunelDiff,-0.211973442157972,-0.443022809105162,0.019075924789218,0.0685185489239302
24HR-12HR,tunelDiff,0.0207162456993948,-0.210333121247795,0.251765612646585,0.995226862815964
3HR-12HR,tunelDiff,0.304714421252435,0.0736650543052447,0.535763788199625,0.0165900316786126
6HR-12HR,tunelDiff,0.0943556617124448,-0.136693705234745,0.325405028659635,0.535129145188847
3HR-24HR,tunelDiff,0.28399817555304,0.0529488086058498,0.51504754250023,0.0222238300601539
6HR-24HR,tunelDiff,0.0736394160130499,-0.15740995093414,0.30468878296024,0.714356963804776
6HR-3HR,tunelDiff,-0.21035875953999,-0.44140812648718,0.0206906074072001,0.0704086579067794
12HR-0HR,eduAreaDiff,-0.153155153942342,-0.300326116890593,-0.00598419099409192,0.0430039760974398
24HR-0HR,eduAreaDiff,-0.140539813489223,-0.287710776437474,0.00663114945902704,0.0592933112272245
