Measurement,Mouse,Time,Pval
AreaShape_Area,BY51,0HR,0.757943000482358
AreaShape_Area,BY51,24HR,0.00692031954933552
AreaShape_Area,BY51,3HR,0.0189276774634708
AreaShape_Area,BY51,6HR,0.00845457369844517
AreaShape_Area,BY53,24HR,9.7781523073907e-06
AreaShape_Area,BY53,6HR,0.00092187279893847
AreaShape_Area,BY52,0HR,0.328201820323085
AreaShape_Area,BY52,24HR,0.00359904533184106
AreaShape_Area,BY52,3HR,0.69794920349244
AreaShape_Area,BY52,6HR,0.662598067626703
AreaShape_Area,BY53,0HR,1.00474047999209e-08
AreaShape_Area,BY53,12HR,0.000532257852459445
AreaShape_Area,BY53,3HR,0.00165354291052702
AreaShape_Area,CX23,0HR,0.166073844265333
AreaShape_Area,CX23,12HR,1.19374952464167e-07
AreaShape_Area,CX23,24HR,0.255635436735994
AreaShape_Area,CX23,3HR,5.7550054838853e-07
AreaShape_Area,CX23,6HR,0.00548759872452821
AreaShape_Area,CX24,0HR,0.00420713644104182
AreaShape_Area,CX24,12HR,1.72611123174478e-08
AreaShape_Area,CX24,24HR,0.147653841718513
AreaShape_Area,CX24,3HR,0.136924348232144
AreaShape_Area,CX24,6HR,0.749584400114792
AreaShape_Perimeter,BY51,0HR,0.534204911355178
AreaShape_Perimeter,BY51,24HR,0.628813153543435
AreaShape_Perimeter,BY51,3HR,0.00291073570322984
AreaShape_Perimeter,BY51,6HR,0.026095882725736
AreaShape_Perimeter,BY53,24HR,5.35655691094226e-10
AreaShape_Perimeter,BY53,6HR,0.0808537551660636
AreaShape_Perimeter,BY52,0HR,0.891202094227233
AreaShape_Perimeter,BY52,24HR,0.582171344880217
AreaShape_Perimeter,BY52,3HR,0.771933097819629
AreaShape_Perimeter,BY52,6HR,0.113930773685657
AreaShape_Perimeter,BY53,0HR,0.0185841790779772
AreaShape_Perimeter,BY53,12HR,0.293601225249636
AreaShape_Perimeter,BY53,3HR,0.216644756128067
AreaShape_Perimeter,CX23,0HR,0.0397346045353819
AreaShape_Perimeter,CX23,12HR,0.0186512745228066
AreaShape_Perimeter,CX23,24HR,0.833163260217001
AreaShape_Perimeter,CX23,3HR,0.000417742646306149
AreaShape_Perimeter,CX23,6HR,0.971809530092248
AreaShape_Perimeter,CX24,0HR,0.400798233995529
AreaShape_Perimeter,CX24,12HR,0.000776760847376889
AreaShape_Perimeter,CX24,24HR,0.575075467807429
AreaShape_Perimeter,CX24,3HR,1.84380981164567e-05
AreaShape_Perimeter,CX24,6HR,0.27364088835723
CASP.intensity.corrected,BY51,0HR,0.0754326392036564
CASP.intensity.corrected,BY51,24HR,2.82537836892353e-05
CASP.intensity.corrected,BY51,3HR,7.8193354758169e-05
CASP.intensity.corrected,BY51,6HR,2.47730733654898e-05
CASP.intensity.corrected,BY53,24HR,5.81284528670902e-74
CASP.intensity.corrected,BY53,6HR,2.21021728879312e-15
CASP.intensity.corrected,BY52,0HR,1.16501326596042e-05
CASP.intensity.corrected,BY52,24HR,7.7062507434646e-07
CASP.intensity.corrected,BY52,3HR,0.591042635691923
CASP.intensity.corrected,BY52,6HR,9.26356926429516e-23
CASP.intensity.corrected,BY53,0HR,0.144880261713282
CASP.intensity.corrected,BY53,12HR,0.0223622570130204
CASP.intensity.corrected,BY53,3HR,0.0609352294988595
CASP.intensity.corrected,CX23,0HR,0.0395933022655622
CASP.intensity.corrected,CX23,12HR,0.207343068318434
CASP.intensity.corrected,CX23,24HR,0.000794227283220836
CASP.intensity.corrected,CX23,3HR,0.0163006517662474
CASP.intensity.corrected,CX23,6HR,9.26863001563533e-12
CASP.intensity.corrected,CX24,0HR,1.28802198384918e-11
CASP.intensity.corrected,CX24,12HR,0.118528119964022
CASP.intensity.corrected,CX24,24HR,1.03350776745442e-06
CASP.intensity.corrected,CX24,3HR,1.55928720529914e-06
CASP.intensity.corrected,CX24,6HR,2.53084265066124e-05
EDU.Intensity.corrected,BY51,0HR,4.29132895594718e-13
EDU.Intensity.corrected,BY51,24HR,0.0583316711087048
EDU.Intensity.corrected,BY51,3HR,3.44554968869497e-33
EDU.Intensity.corrected,BY51,6HR,0.00175447126929088
EDU.Intensity.corrected,BY53,24HR,1.0289524346782e-18
EDU.Intensity.corrected,BY53,6HR,5.30175466298185e-74
EDU.Intensity.corrected,BY52,0HR,0.00042653346529094
EDU.Intensity.corrected,BY52,24HR,4.4760040876741e-19
EDU.Intensity.corrected,BY52,3HR,5.30552835602669e-101
EDU.Intensity.corrected,BY52,6HR,7.23033011483156e-17
EDU.Intensity.corrected,BY53,0HR,1.48863621690069e-68
EDU.Intensity.corrected,BY53,12HR,1.05227219922339e-52
EDU.Intensity.corrected,BY53,3HR,0.000610947812660335
EDU.Intensity.corrected,CX23,0HR,0.528831530118825
EDU.Intensity.corrected,CX23,12HR,1.66834999580417e-64
EDU.Intensity.corrected,CX23,24HR,3.10721814426584e-13
EDU.Intensity.corrected,CX23,3HR,0.00141520797031182
EDU.Intensity.corrected,CX23,6HR,5.49026416095843e-05
EDU.Intensity.corrected,CX24,0HR,3.10213739349726e-10
EDU.Intensity.corrected,CX24,12HR,1.13619995128162e-113
EDU.Intensity.corrected,CX24,24HR,9.40238424017303e-07
EDU.Intensity.corrected,CX24,3HR,6.68472576348015e-17
EDU.Intensity.corrected,CX24,6HR,8.27051656225392e-10
TUNEL.Intensity.Corrected,BY51,0HR,0.0921373296364447
TUNEL.Intensity.Corrected,BY51,24HR,0.0244994424391418
TUNEL.Intensity.Corrected,BY51,3HR,0.0670802790439388
TUNEL.Intensity.Corrected,BY51,6HR,8.89629101897726e-23
TUNEL.Intensity.Corrected,BY53,24HR,2.71425549994303e-80
TUNEL.Intensity.Corrected,BY53,6HR,0.00785933218822251
TUNEL.Intensity.Corrected,BY52,0HR,0.395599800442838
TUNEL.Intensity.Corrected,BY52,24HR,8.22550472082953e-08
TUNEL.Intensity.Corrected,BY52,3HR,4.74444601986261e-06
TUNEL.Intensity.Corrected,BY52,6HR,2.16329769628841e-06
TUNEL.Intensity.Corrected,BY53,0HR,6.60532370088038e-06
TUNEL.Intensity.Corrected,BY53,12HR,0.545198317905282
TUNEL.Intensity.Corrected,BY53,3HR,0.354407843519586
TUNEL.Intensity.Corrected,CX23,0HR,2.04214480634008e-133
TUNEL.Intensity.Corrected,CX23,12HR,6.72653169921734e-34
TUNEL.Intensity.Corrected,CX23,24HR,0.000151060100683744
TUNEL.Intensity.Corrected,CX23,3HR,2.85680337896134e-101
TUNEL.Intensity.Corrected,CX23,6HR,1.59171716590311e-06
TUNEL.Intensity.Corrected,CX24,0HR,7.05136183780014e-38
TUNEL.Intensity.Corrected,CX24,12HR,1.35112422882113e-53
TUNEL.Intensity.Corrected,CX24,24HR,4.39040053974292e-08
TUNEL.Intensity.Corrected,CX24,3HR,9.21511891560111e-96
TUNEL.Intensity.Corrected,CX24,6HR,0.712272818367698
CASP.area.corrected,BY51,0HR,0.000383301622630717
CASP.area.corrected,BY51,24HR,0.0148586774523582
CASP.area.corrected,BY51,3HR,0.00010585416650282
CASP.area.corrected,BY51,6HR,4.51532687932799e-05
CASP.area.corrected,BY53,24HR,8.12858913993986e-45
CASP.area.corrected,BY53,6HR,8.28127562905053e-18
CASP.area.corrected,BY52,0HR,3.80492665812443e-09
CASP.area.corrected,BY52,24HR,0.0155634219967261
CASP.area.corrected,BY52,3HR,0.0187591796559563
CASP.area.corrected,BY52,6HR,3.61752342481647e-22
CASP.area.corrected,BY53,0HR,3.2407079318786e-13
CASP.area.corrected,BY53,12HR,0.407651928675234
CASP.area.corrected,BY53,3HR,0.021522295429941
CASP.area.corrected,CX23,0HR,0.000927874223141451
CASP.area.corrected,CX23,12HR,1.77591142928954e-14
CASP.area.corrected,CX23,24HR,0.953205928282674
CASP.area.corrected,CX23,3HR,9.24780829556811e-05
CASP.area.corrected,CX23,6HR,2.83869538763664e-09
CASP.area.corrected,CX24,0HR,2.84051688469234e-09
