x,diff,lwr,upr,p adj
12HR-0HR,eduDiff,-1.80744696505387,-3.75172928464571,0.136835354537972,0.0757023058847965
24HR-0HR,eduDiff,-0.783182610798455,-2.46698049169392,0.900615270097014,0.631532403882058
3HR-0HR,eduDiff,-0.664506819472283,-2.34830470036775,1.01929106142318,0.755038933593078
6HR-0HR,eduDiff,-1.0575255599738,-2.74132344086927,0.626272320921666,0.352775268771054
24HR-12HR,eduDiff,1.02426435425541,-0.920017965336426,2.96854667384725,0.520104296074648
3HR-12HR,eduDiff,1.14294014558158,-0.801342174010255,3.08722246517342,0.415590024518017
6HR-12HR,eduDiff,0.749921405080066,-1.19436091451177,2.69420372467191,0.769718917019953
3HR-24HR,eduDiff,0.118675791326171,-1.5651220895693,1.80247367222164,0.999493909267395
6HR-24HR,eduDiff,-0.274342949175347,-1.95814083007082,1.40945493172012,0.987054629558663
6HR-3HR,eduDiff,-0.393018740501519,-2.07681662139699,1.29077914039395,0.952501695104632
12HR-0HR,caspDiff,0.192341094297941,-0.544334405659494,0.929016594255375,0.93036867258202
24HR-0HR,caspDiff,-0.000220403780765766,-0.638200101089506,0.637759293527975,1
3HR-0HR,caspDiff,0.199589911496682,-0.438389785812059,0.837569608805422,0.875065435096348
6HR-0HR,caspDiff,0.732483551398259,0.0945038540895189,1.370463248707,0.020084188582466
24HR-12HR,caspDiff,-0.192561498078706,-0.929236998036141,0.544114001878728,0.930101007903172
3HR-12HR,caspDiff,0.00724881719874125,-0.729426682758693,0.743924317156176,0.999999802804515
6HR-12HR,caspDiff,0.540142457100319,-0.196533042857116,1.27681795705775,0.217982214026296
3HR-24HR,caspDiff,0.199810315277448,-0.438169382031293,0.837790012586188,0.874636979309084
6HR-24HR,caspDiff,0.732703955179025,0.0947242578702847,1.37068365248777,0.0200405826118959
6HR-3HR,caspDiff,0.532893639901577,-0.105086057407163,1.17087333721032,0.12853696678122
12HR-0HR,tunelDiff,-0.140182208651952,-0.363459054407245,0.0830946371033408,0.353102240352765
24HR-0HR,tunelDiff,-0.116614916971344,-0.309978337472287,0.0767485035295993,0.391126734851897
3HR-0HR,tunelDiff,-0.00890009396141565,-0.202263514462359,0.184463326539528,0.999906579475581
6HR-0HR,tunelDiff,-0.0572194126935935,-0.250582833194537,0.13614400780735,0.895122393202299
24HR-12HR,tunelDiff,0.0235672916806081,-0.199709554074685,0.246844137435901,0.99753410967025
3HR-12HR,tunelDiff,0.131282114690536,-0.0919947310647564,0.354558960445829,0.415374450622512
6HR-12HR,tunelDiff,0.0829627959583584,-0.140314049796934,0.306239641713651,0.792262511274491
3HR-24HR,tunelDiff,0.107714823009928,-0.085648597491015,0.301078243510872,0.467163925037276
6HR-24HR,tunelDiff,0.0593955042777504,-0.133967916223193,0.252758924778694,0.881996743011667
6HR-3HR,tunelDiff,-0.0483193187321779,-0.241682739233121,0.145044101768765,0.939952878157243
12HR-0HR,eduAreaDiff,-0.178436672549994,-0.336817091816385,-0.0200562532836043,0.0229846721744692
24HR-0HR,eduAreaDiff,-0.0596669285204218,-0.196828395067146,0.0774945380263024,0.685574007546933
3HR-0HR,eduAreaDiff,-0.0732942936849752,-0.210455760231699,0.063867172861749,0.506709832126899
6HR-0HR,eduAreaDiff,-0.104967427453717,-0.242128894000441,0.032194039093007,0.185717803428849
24HR-12HR,eduAreaDiff,0.118769744029573,-0.0396106752368174,0.277150163295963,0.200692300681031
3HR-12HR,eduAreaDiff,0.105142378865019,-0.0532380404013709,0.263522798131409,0.301894229465839
6HR-12HR,eduAreaDiff,0.0734692450962773,-0.0849111741701129,0.231849664362667,0.633795904944962
3HR-24HR,eduAreaDiff,-0.0136273651645535,-0.150788831711278,0.123534101382171,0.99805165908378
6HR-24HR,eduAreaDiff,-0.0453004989332955,-0.18246196548002,0.0918609676134287,0.852533942570776
6HR-3HR,eduAreaDiff,-0.031673133768742,-0.168834600315466,0.105488332777982,0.954242732995611
12HR-0HR,caspAreaDiff,0.0411361244476844,-0.016945335156606,0.0992175840519748,0.245935894215427
24HR-0HR,caspAreaDiff,0.0124931408329126,-0.0378068786732825,0.0627931603391078,0.941184068031909
3HR-0HR,caspAreaDiff,0.0286737615545686,-0.0216262579516266,0.0789737810607637,0.445069289673389
