x,diff,lwr,upr,p adj
Bai1:12HR-Control:12HR,eduDiff,-0.113140837242798,-1.04611861449712,0.819836940011519,0.999902193108249
Control:24HR-Control:12HR,eduDiff,0.18490041300759,-0.798544514474036,1.16834534048922,0.998273904672306
Bai1:24HR-Control:12HR,eduDiff,-0.423273855334769,-1.35625163258909,0.509703921919548,0.804507437673831
Control:3HR-Control:12HR,eduDiff,0.0791244899381247,-0.904320437543501,1.06256941741975,0.999993998240482
Bai1:3HR-Control:12HR,eduDiff,0.0102599331692239,-0.973184994312402,0.99370486065085,0.999999999996122
Control:6HR-Control:12HR,eduDiff,-0.0345314485384161,-1.01797637602004,0.94891347894321,0.999999980934035
Bai1:6HR-Control:12HR,eduDiff,-0.118552728569668,-1.10199765605129,0.864892198911958,0.999906026864537
Control:24HR-Bai1:12HR,eduDiff,0.298041250250389,-0.634936527003928,1.23101902750471,0.961381331818606
Bai1:24HR-Bai1:12HR,eduDiff,-0.310133018091971,-1.18975290208248,0.569486865898536,0.9362117536413
Control:3HR-Bai1:12HR,eduDiff,0.192265327180923,-0.740712450073394,1.12524310443524,0.996932490766132
Bai1:3HR-Bai1:12HR,eduDiff,0.123400770412022,-0.809577006842295,1.05637854766634,0.999825243896118
Control:6HR-Bai1:12HR,eduDiff,0.0786093887043823,-0.854368388549935,1.0115871659587,0.999991760878914
Bai1:6HR-Bai1:12HR,eduDiff,-0.00541189132686914,-0.938389668581186,0.927565885927448,1
Bai1:24HR-Control:24HR,eduDiff,-0.60817426834236,-1.54115204559668,0.324803508911957,0.414983078969359
Control:3HR-Control:24HR,eduDiff,-0.105775923069466,-1.08922085055109,0.87766900441216,0.999956452802082
Bai1:3HR-Control:24HR,eduDiff,-0.174640479838367,-1.15808540731999,0.808804447643259,0.998799749325346
Control:6HR-Control:24HR,eduDiff,-0.219431861546007,-1.20287678902763,0.764013065935619,0.995002405060257
Bai1:6HR-Control:24HR,eduDiff,-0.303453141577258,-1.28689806905888,0.679991785904368,0.967859097348092
Control:3HR-Bai1:24HR,eduDiff,0.502398345272894,-0.430579431981423,1.43537612252721,0.643427894876231
Bai1:3HR-Bai1:24HR,eduDiff,0.433533788503993,-0.499443988750324,1.36651156575831,0.785577202301434
Control:6HR-Bai1:24HR,eduDiff,0.388742406796353,-0.544235370457964,1.32172018405067,0.86211739013049
Bai1:6HR-Bai1:24HR,eduDiff,0.304721126765102,-0.628256650489215,1.23769890401942,0.956655489066332
Bai1:3HR-Control:3HR,eduDiff,-0.0688645567689008,-1.05230948425053,0.914580370712725,0.999997694104907
Control:6HR-Control:3HR,eduDiff,-0.113655938476541,-1.09710086595817,0.869788989005085,0.999929242696738
Bai1:6HR-Control:3HR,eduDiff,-0.197677218507792,-1.18112214598942,0.785767708973834,0.997373040033644
Control:6HR-Bai1:3HR,eduDiff,-0.0447913817076401,-1.02823630918927,0.938653545773986,0.999999883193623
Bai1:6HR-Bai1:3HR,eduDiff,-0.128812661738892,-1.11225758922052,0.854632265742734,0.999836243908532
Bai1:6HR-Control:6HR,eduDiff,-0.0840212800312515,-1.06746620751288,0.899423647450375,0.999990936973509
Bai1:12HR-Control:12HR,caspDiff,-0.00422390670533279,-0.135363678547036,0.126915865136371,0.999999989559695
Control:24HR-Control:12HR,caspDiff,-0.0985180105145091,-0.236751467466041,0.0397154464370233,0.30881166146565
Bai1:24HR-Control:12HR,caspDiff,-0.132893220002276,-0.264032991843979,-0.00175344816057235,0.0453556762860776
Control:3HR-Control:12HR,caspDiff,-0.13876029975267,-0.276993756704203,-0.000526842801137906,0.048633986302601
Bai1:3HR-Control:12HR,caspDiff,-0.144525874419975,-0.282759331371508,-0.00629241746844278,0.0357573727159495
Control:6HR-Control:12HR,caspDiff,-0.0548267903278645,-0.193060247279397,0.0834066666236679,0.888935896218595
Bai1:6HR-Control:12HR,caspDiff,-0.041449212083844,-0.179682669035376,0.0967842448676884,0.972452538510927
Control:24HR-Bai1:12HR,caspDiff,-0.0942941038091763,-0.22543387565088,0.0368456680325272,0.298787048106173
Bai1:24HR-Bai1:12HR,caspDiff,-0.128669313296943,-0.25230907590031,-0.00502955069357612,0.0370717300840975
Control:3HR-Bai1:12HR,caspDiff,-0.134536393047337,-0.265676164889041,-0.00339662120563403,0.0413641935135203
Bai1:3HR-Bai1:12HR,caspDiff,-0.140301967714642,-0.271441739556346,-0.0091621958729389,0.0297769905105399
Control:6HR-Bai1:12HR,caspDiff,-0.0506028836225317,-0.181742655464235,0.0805368882191718,0.901970004586773
Bai1:6HR-Bai1:12HR,caspDiff,-0.0372253053785112,-0.168365077220215,0.0939144664631922,0.979618513538557
Bai1:24HR-Control:24HR,caspDiff,-0.0343752094877667,-0.16551498132947,0.0967645623539367,0.98702132405308
Control:3HR-Control:24HR,caspDiff,-0.0402422892381612,-0.178475746189694,0.0979911677133712,0.976560350503447
Bai1:3HR-Control:24HR,caspDiff,-0.0460078639054661,-0.184241320856998,0.0922255930460663,0.952240790459585
Control:6HR-Control:24HR,caspDiff,0.0436912201866446,-0.0945422367648878,0.181924677138177,0.963483974921376
Bai1:6HR-Control:24HR,caspDiff,0.0570687984306651,-0.0811646585208673,0.195302255382197,0.867484210809683
Control:3HR-Bai1:24HR,caspDiff,-0.00586707975039446,-0.137006851592098,0.125272692091309,0.999999896846448
Bai1:3HR-Bai1:24HR,caspDiff,-0.0116326544176993,-0.142772426259403,0.119507117424004,0.999988279044028
Control:6HR-Bai1:24HR,caspDiff,0.0780664296744113,-0.0530733421672922,0.209206201516115,0.526556295601851
Bai1:6HR-Bai1:24HR,caspDiff,0.0914440079184318,-0.0396957639232717,0.222583779760135,0.33400154303768
Bai1:3HR-Control:3HR,caspDiff,-0.00576557466730488,-0.143999031618837,0.132467882284228,0.999999936698633
Control:6HR-Control:3HR,caspDiff,0.0839335094248058,-0.0542999475267266,0.222166966376338,0.502397325200602
Bai1:6HR-Control:3HR,caspDiff,0.0973110876688263,-0.0409223692827061,0.235544544620359,0.322953249548601
Control:6HR-Bai1:3HR,caspDiff,0.0896990840921107,-0.0485343728594217,0.227932541043643,0.420582351106173
Bai1:6HR-Bai1:3HR,caspDiff,0.103076662336131,-0.0351567946154012,0.241310119287664,0.25901552235816
Bai1:6HR-Control:6HR,caspDiff,0.0133775782440205,-0.124855878707512,0.151611035195553,0.999978753915485
Bai1:12HR-Control:12HR,tunelDiff,-0.287343707071428,-1.14158029459218,0.566892880449324,0.949588338735464
Control:24HR-Control:12HR,tunelDiff,-0.0809993988299794,-0.981443824568427,0.819445026908469,0.999987100684868
Bai1:24HR-Control:12HR,tunelDiff,-0.274187965178487,-1.12842455269924,0.580048622342265,0.960407930593508
Control:3HR-Control:12HR,tunelDiff,-0.143038248804063,-1.04348267454251,0.757406176934385,0.999415607460588
Bai1:3HR-Control:12HR,tunelDiff,-0.307271065685577,-1.20771549142403,0.593173360052871,0.945787997323718
Control:6HR-Control:12HR,tunelDiff,-0.325776907791649,-1.2262213335301,0.574667517946799,0.927650937160331
Bai1:6HR-Control:12HR,tunelDiff,-0.222360458308535,-1.12280488404698,0.678083967429913,0.99083060561051
Control:24HR-Bai1:12HR,tunelDiff,0.206344308241448,-0.647892279279304,1.0605808957622,0.991951732320531
Bai1:24HR-Bai1:12HR,tunelDiff,0.0131557418929403,-0.792226236471832,0.818537720257713,0.99999999990924
Control:3HR-Bai1:12HR,tunelDiff,0.144305458267365,-0.709931129253387,0.998542045788117,0.999129259526717
Bai1:3HR-Bai1:12HR,tunelDiff,-0.0199273586141498,-0.874163946134902,0.834309228906602,0.999999998903288
Control:6HR-Bai1:12HR,tunelDiff,-0.0384332007202215,-0.892669788240973,0.81580338680053,0.999999892731595
Bai1:6HR-Bai1:12HR,tunelDiff,0.0649832487628925,-0.789253338757859,0.919219836283644,0.999995918012955
Bai1:24HR-Control:24HR,tunelDiff,-0.193188566348508,-1.04742515386926,0.661048021172244,0.994576783734619
Control:3HR-Control:24HR,tunelDiff,-0.0620388499740833,-0.962483275712531,0.838405575764365,0.999997938219719
Bai1:3HR-Control:24HR,tunelDiff,-0.226271666855598,-1.12671609259405,0.67417275888285,0.989842693406509
Control:6HR-Control:24HR,tunelDiff,-0.24477750896167,-1.14522193470012,0.655666916776778,0.984019606362786
Bai1:6HR-Control:24HR,tunelDiff,-0.141361059478556,-1.041805485217,0.759083366259892,0.99945885970421
Control:3HR-Bai1:24HR,tunelDiff,0.131149716374424,-0.723086871146327,0.985386303895176,0.999532234436825
Bai1:3HR-Bai1:24HR,tunelDiff,-0.0330831005070901,-0.887319688027842,0.821153487013662,0.999999962239014
Control:6HR-Bai1:24HR,tunelDiff,-0.0515889426131618,-0.905825530133914,0.80264764490759,0.999999171303751
Bai1:6HR-Bai1:24HR,tunelDiff,0.0518275068699522,-0.8024090806508,0.906064094390704,0.999999144391646
